date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2013-01-01,2462,1894,-1.0,0.7,-1.8,-0.2,34.0,4.2,12.8,0.0,814.4,809.0
2013-01-01,3100B,540,5.2,0.0,0.3,10.2,28.0,0.6,3.6,,,
2013-01-01,3111D,1450,1.2,0.0,0.6,1.9,24.0,1.7,9.7,,862.2,856.3
2013-01-01,3129,609,5.6,0.0,1.4,9.9,22.0,1.4,6.1,3.0,956.3,950.7
2013-01-01,3175,607,4.9,0.0,0.6,9.2,20.0,1.1,5.3,2.8,952.8,947.6
2013-01-01,3191E,1004,3.3,0.0,-0.5,7.1,26.0,1.4,7.2,5.8,908.2,903.2
2013-01-01,3194U,664,5.6,0.4,1.1,10.2,88.0,0.3,4.4,,,
2013-01-01,3195,667,6.4,0.0,3.4,9.4,27.0,1.1,5.8,,945.9,940.2
2013-01-01,3196,690,6.4,0.0,2.2,10.5,24.0,1.1,8.3,3.9,944.0,938.5
2013-01-01,3200,620,6.6,0.0,3.2,10.0,25.0,1.7,5.6,1.1,952.1,947.0
2013-01-01,3338,763,6.2,,1.9,10.6,,,,,940.3,934.2
2013-01-02,2462,1894,-2.4,0.0,-3.4,-1.3,35.0,2.2,8.1,0.0,819.9,814.4
2013-01-02,3100B,540,6.2,0.0,0.4,11.9,3.0,1.4,7.2,,,
2013-01-02,3111D,1450,-0.2,0.0,-1.4,1.0,34.0,2.8,17.5,,868.2,861.6
2013-01-02,3129,609,5.6,0.0,0.1,11.2,2.0,6.4,16.4,7.7,960.5,956.1
2013-01-02,3175,607,5.6,0.0,0.0,11.3,35.0,6.7,16.9,6.0,957.0,952.7
2013-01-02,3191E,1004,6.4,0.0,2.9,9.9,2.0,2.8,16.9,6.4,912.2,908.2
2013-01-02,3194U,664,5.0,0.0,-1.1,11.0,88.0,0.8,9.7,,,
2013-01-02,3195,667,5.8,0.0,0.7,10.8,2.0,0.6,10.3,,950.3,945.9
2013-01-02,3196,690,6.0,0.0,0.6,11.5,2.0,1.1,8.9,5.9,948.2,943.7
2013-01-02,3200,620,5.2,0.0,-1.6,12.0,3.0,2.2,8.9,6.9,956.3,951.7
2013-01-02,3338,763,8.6,,5.5,11.6,,,,,943.8,939.8
2013-01-03,2462,1894,-0.7,0.0,-3.3,1.9,10.0,1.7,8.1,6.7,827.5,819.9
2013-01-03,3100B,540,5.7,0.0,-1.8,13.2,35.0,0.8,6.4,,,
2013-01-03,3111D,1450,3.4,0.0,-1.2,7.9,33.0,1.9,13.6,,875.7,867.3
2013-01-03,3129,609,6.4,0.0,0.0,12.9,27.0,0.6,4.7,8.5,970.4,960.4
2013-01-03,3175,607,5.8,0.0,-1.4,13.1,2.0,0.6,6.1,8.9,966.7,957.0
2013-01-03,3191E,1004,5.5,0.0,1.5,9.5,3.0,1.7,9.7,8.3,921.2,912.2
2013-01-03,3194U,664,5.8,0.0,-0.8,12.5,88.0,1.1,10.3,,,
2013-01-03,3195,667,6.8,0.0,2.8,10.8,8.0,0.8,7.5,,959.8,950.3
2013-01-03,3196,690,6.3,0.0,0.6,12.0,7.0,1.1,6.7,9.0,957.8,948.2
2013-01-03,3200,620,6.7,0.0,1.2,12.2,5.0,1.9,6.7,9.0,964.2,956.3
2013-01-03,3338,763,6.1,,0.7,11.5,,,,,953.4,943.7
2013-01-04,2462,1894,5.8,0.0,1.0,10.7,9.0,2.2,8.1,6.7,827.4,826.0
2013-01-04,3100B,540,4.8,0.0,-3.0,12.6,11.0,1.1,3.9,,,
2013-01-04,3111D,1450,7.0,0.0,1.6,12.5,10.0,0.6,4.2,,875.7,873.0
2013-01-04,3129,609,4.7,0.0,-3.2,12.6,99.0,1.7,5.0,8.4,970.6,966.8
2013-01-04,3175,607,4.1,0.0,-3.4,11.6,2.0,0.8,5.3,8.4,966.9,963.3
2013-01-04,3191E,1004,7.2,0.0,2.8,11.6,8.0,0.3,5.3,8.4,921.2,918.7
2013-01-04,3194U,664,5.2,0.0,-2.9,13.2,88.0,0.3,3.1,,,
2013-01-04,3195,667,6.2,0.0,1.6,10.8,5.0,0.6,4.2,,959.8,956.7
2013-01-04,3196,690,6.0,0.0,-0.5,12.6,20.0,0.3,7.2,9.0,957.9,954.3
2013-01-04,3200,620,5.8,0.0,-1.0,12.6,22.0,0.8,3.1,9.0,966.2,962.6
2013-01-04,3338,763,6.4,,-0.8,13.6,,,,,953.5,949.9
2013-01-05,2462,1894,8.0,0.0,5.4,10.6,36.0,2.5,7.2,8.0,826.0,822.8
2013-01-05,3100B,540,4.2,0.0,-4.5,12.8,10.0,0.3,3.9,,,
2013-01-05,3111D,1450,7.0,0.0,3.0,10.9,33.0,1.7,6.7,,873.0,869.6
2013-01-05,3129,609,4.4,0.0,-3.3,12.1,99.0,1.4,5.0,8.4,967.0,962.9
2013-01-05,3175,607,3.8,0.0,-3.4,10.9,2.0,0.6,5.3,8.9,963.3,959.4
2013-01-05,3191E,1004,7.6,0.0,3.7,11.5,8.0,0.3,4.2,8.4,918.7,915.2
2013-01-05,3194U,664,4.8,0.0,-2.6,12.1,88.0,0.3,3.3,,,
2013-01-05,3195,667,4.9,0.0,-0.4,10.2,22.0,0.6,3.6,,956.8,952.9
2013-01-05,3196,690,5.7,0.0,-0.6,12.0,10.0,0.6,4.2,7.6,954.3,950.7
2013-01-05,3200,620,5.8,0.0,-0.8,12.5,23.0,0.3,3.1,8.4,962.6,958.9
2013-01-05,3266A,1532,5.7,,1.9,9.5,,4.2,,,863.5,859.4
2013-01-05,3338,763,5.8,,-0.7,12.3,,,,,949.9,946.3
2013-01-06,2462,1894,11.6,0.0,6.8,16.3,16.0,0.8,4.7,8.1,822.8,820.1
2013-01-06,3100B,540,4.0,0.0,-4.3,12.2,10.0,0.8,4.2,,,
2013-01-06,3111D,1450,10.2,0.0,4.0,16.4,2.0,0.8,3.3,,869.6,866.4
2013-01-06,3129,609,3.6,0.0,-3.8,11.0,99.0,1.7,7.8,8.4,963.3,959.4
2013-01-06,3175,607,3.2,0.0,-4.2,10.6,3.0,0.8,5.3,8.9,959.7,956.0
2013-01-06,3191E,1004,7.0,0.0,3.4,10.5,17.0,0.6,4.2,8.3,915.2,912.2
2013-01-06,3194U,664,4.0,0.0,-3.0,11.0,,0.6,,,,
2013-01-06,3195,667,5.1,0.0,0.7,9.5,,0.6,,,953.0,949.6
2013-01-06,3196,690,5.0,0.0,-1.2,11.1,18.0,0.3,4.2,7.8,950.7,947.4
2013-01-06,3200,620,5.1,0.0,-1.2,11.4,23.0,0.0,4.2,8.3,959.0,955.4
2013-01-06,3266A,1532,8.2,0.0,1.9,14.4,31.0,2.2,7.5,,863.5,856.6
2013-01-06,3338,763,5.2,,-1.0,11.5,,,,,946.5,943.1
2013-01-07,2462,1894,10.0,0.0,4.7,15.3,17.0,3.1,6.9,8.1,820.1,818.1
2013-01-07,3100B,540,1.6,0.0,-2.2,5.5,12.0,0.8,4.2,,,
2013-01-07,3111D,1450,7.0,0.0,1.0,13.0,99.0,0.8,4.2,,866.5,864.4
2013-01-07,3129,609,0.7,0.0,-2.0,3.4,99.0,1.4,3.1,0.0,961.6,959.4
2013-01-07,3175,607,0.0,0.0,-3.2,3.2,2.0,0.3,3.6,0.0,957.9,955.9
2013-01-07,3191E,1004,1.9,0.0,-0.7,4.5,23.0,0.3,4.2,1.8,912.3,910.9
2013-01-07,3194U,664,0.8,0.0,-2.3,3.8,88.0,0.0,3.1,,,
2013-01-07,3195,667,3.2,0.0,1.5,4.8,28.0,0.0,3.1,,951.3,949.6
2013-01-07,3196,690,2.3,0.0,-1.0,5.6,9.0,0.8,12.5,0.0,948.9,947.0
2013-01-07,3200,620,2.2,0.0,-1.0,5.4,27.0,0.8,4.2,0.0,957.0,954.2
2013-01-07,3266A,1532,6.0,0.0,0.3,11.7,31.0,1.9,5.0,,856.6,854.5
2013-01-07,3338,763,1.8,,-1.3,4.9,,,,,944.6,942.6
2013-01-08,2462,1894,5.2,0.0,-0.5,10.9,16.0,5.6,10.8,8.2,819.4,816.5
2013-01-08,3100B,540,3.5,0.0,2.1,4.9,3.0,1.1,3.9,,,
2013-01-08,3111D,1450,2.6,0.0,-4.2,9.4,99.0,1.1,5.0,,866.7,864.1
2013-01-08,3129,609,1.9,0.0,0.5,3.3,99.0,1.7,3.6,0.0,963.0,960.5
2013-01-08,3175,607,1.2,0.0,-0.2,2.5,11.0,1.1,6.7,0.0,959.4,956.9
2013-01-08,3191E,1004,-0.8,0.0,-2.3,0.7,15.0,0.0,3.1,0.0,913.1,911.5
2013-01-08,3194U,664,1.8,0.0,0.2,3.3,88.0,1.4,5.3,,,
2013-01-08,3195,667,2.3,0.0,0.4,4.2,7.0,1.4,5.8,,952.7,950.6
2013-01-08,3196,690,2.8,0.0,0.6,5.0,3.0,1.4,5.3,0.0,950.2,947.6
2013-01-08,3200,620,2.8,0.0,1.2,4.4,4.0,1.9,6.1,0.0,958.6,954.4
2013-01-08,3266A,1532,2.6,0.0,-3.4,8.6,30.0,2.8,10.3,,856.6,853.7
2013-01-08,3338,763,2.0,,0.8,3.1,,,,,946.0,943.4
2013-01-09,2462,1894,-0.2,12.1,-2.7,2.4,30.0,3.9,15.0,0.0,816.7,815.0
2013-01-09,3100B,540,3.8,0.0,1.4,6.1,35.0,0.3,3.1,,,
2013-01-09,3111D,1450,0.2,8.6,-4.1,4.4,,1.4,,,864.2,862.4
2013-01-09,3129,609,2.8,0.0,0.5,5.0,24.0,0.8,4.7,0.2,960.6,957.9
2013-01-09,3175,607,2.7,0.1,0.2,5.2,7.0,0.3,5.3,0.1,956.9,954.4
2013-01-09,3191E,1004,-0.6,0.6,-2.5,1.4,23.0,0.6,4.7,0.0,911.5,904.5
2013-01-09,3194U,664,2.7,0.1,0.2,5.2,88.0,0.8,5.3,,,
2013-01-09,3195,667,3.0,0.4,0.4,5.6,4.0,0.3,6.4,,950.6,947.9
2013-01-09,3196,690,2.7,0.3,0.0,5.4,23.0,0.3,7.2,0.0,947.8,945.4
2013-01-09,3200,620,3.6,0.0,1.2,6.0,3.0,0.6,4.7,0.0,956.1,953.6
2013-01-09,3266A,1532,0.4,3.3,-2.9,3.7,30.0,6.9,14.7,,853.7,851.0
2013-01-09,3338,763,2.6,,0.0,5.2,,,,,943.5,941.5
2013-01-10,2462,1894,1.0,0.8,0.4,1.5,33.0,4.4,16.7,0.0,816.8,815.1
2013-01-10,3100B,540,8.6,0.0,5.1,12.2,25.0,0.6,4.7,,,
2013-01-10,3111D,1450,4.0,0.0,2.7,5.2,25.0,1.7,10.6,,864.3,862.6
2013-01-10,3129,609,7.4,0.0,3.6,11.2,22.0,1.1,4.7,1.9,958.2,955.5
2013-01-10,3175,607,6.8,0.1,1.9,11.8,10.0,0.6,5.6,3.0,954.6,952.1
2013-01-10,3191E,1004,5.4,0.0,1.0,9.7,5.0,1.1,5.6,6.1,909.6,908.1
2013-01-10,3194U,664,8.0,0.1,4.0,12.1,88.0,0.8,4.7,,,
2013-01-10,3195,667,7.8,0.0,4.8,10.7,4.0,0.8,6.4,,947.9,945.9
2013-01-10,3196,690,8.5,0.0,4.0,13.0,21.0,0.8,6.1,6.1,945.8,943.4
2013-01-10,3200,620,9.5,0.0,5.6,13.4,24.0,1.7,6.7,6.1,953.8,951.3
2013-01-10,3266A,1532,3.2,0.8,2.2,4.3,32.0,8.6,18.9,,853.1,851.5
2013-01-10,3338,763,9.0,,3.8,14.2,,,,,941.5,938.7
2013-01-11,2462,1894,0.8,1.8,-1.0,2.5,31.0,3.9,11.9,3.3,815.6,812.6
2013-01-11,3100B,540,7.8,0.4,5.4,10.3,8.0,0.8,4.2,,,
2013-01-11,3111D,1450,3.4,5.0,0.9,5.9,27.0,1.1,6.7,,863.3,860.1
2013-01-11,3129,609,6.5,0.0,4.2,8.8,99.0,1.7,6.1,0.0,957.1,953.9
2013-01-11,3175,607,6.4,0.0,4.2,8.6,14.0,0.8,4.7,0.3,953.4,950.4
2013-01-11,3191E,1004,2.4,0.4,0.4,4.5,23.0,1.4,4.7,0.0,908.7,906.3
2013-01-11,3194U,664,6.8,0.0,5.1,8.6,88.0,0.6,5.6,,,
2013-01-11,3195,667,7.4,0.1,5.8,9.0,27.0,1.4,4.7,,947.3,944.4
2013-01-11,3196,690,6.6,0.0,4.3,8.9,23.0,0.8,6.7,0.3,944.8,941.8
2013-01-11,3200,620,6.8,0.0,4.0,9.5,23.0,0.6,6.7,0.6,952.9,949.5
2013-01-11,3266A,1532,2.8,0.4,0.6,4.9,30.0,4.7,11.7,,852.7,849.3
2013-01-11,3338,763,5.2,,1.1,9.2,,,,,940.7,937.7
2013-01-12,2462,1894,-1.6,9.4,-4.6,1.3,27.0,5.3,19.2,0.0,812.6,804.7
2013-01-12,3100B,540,8.2,2.0,3.8,12.6,28.0,1.9,8.3,,,
2013-01-12,3111D,1450,0.8,11.8,-1.2,2.9,23.0,2.5,15.0,,860.2,852.6
2013-01-12,3129,609,7.8,1.7,3.3,12.2,23.0,5.8,18.1,6.2,954.1,945.8
2013-01-12,3175,607,7.4,5.8,3.2,11.7,24.0,5.8,13.3,6.5,950.6,942.3
2013-01-12,3191E,1004,5.2,1.3,2.2,8.1,26.0,2.2,15.6,3.9,906.3,898.3
2013-01-12,3194U,664,7.0,0.8,2.7,11.4,88.0,4.7,13.3,,,
2013-01-12,3195,667,7.7,2.9,4.0,11.4,25.0,3.3,13.3,,944.4,936.8
2013-01-12,3196,690,7.3,2.9,3.4,11.2,23.0,6.7,16.1,7.7,941.8,934.1
2013-01-12,3200,620,7.4,1.0,3.2,11.6,99.0,6.9,13.9,7.5,949.5,942.1
2013-01-12,3266A,1532,0.5,1.0,-2.8,3.8,30.0,5.0,18.9,,849.8,841.7
2013-01-12,3338,763,6.2,,2.4,9.9,,,,,937.7,930.4
2013-01-13,2462,1894,-4.8,10.2,-6.4,-3.3,32.0,6.1,15.0,0.0,809.8,803.2
2013-01-13,3100B,540,5.5,0.0,1.7,9.3,33.0,2.2,10.0,,,
2013-01-13,3111D,1450,-2.2,14.3,-3.7,-0.8,14.0,2.5,14.7,,857.9,851.9
2013-01-13,3129,609,5.9,0.0,3.5,8.3,99.0,5.8,13.3,4.4,951.9,945.6
2013-01-13,3175,607,4.8,0.0,1.5,8.0,32.0,2.8,15.6,5.4,948.1,942.3
2013-01-13,3191E,1004,2.9,0.0,0.3,5.5,36.0,1.9,19.2,4.2,903.3,898.2
2013-01-13,3194U,664,4.4,1.6,0.5,8.3,88.0,2.8,13.9,,,
2013-01-13,3195,667,4.9,0.0,2.2,7.6,26.0,2.8,10.6,,941.7,936.9
2013-01-13,3196,690,4.6,0.2,1.4,7.8,29.0,5.6,14.4,4.8,939.6,934.2
2013-01-13,3200,620,5.4,0.2,3.0,7.8,31.0,5.8,14.4,4.9,947.6,942.2
2013-01-13,3266A,1532,-1.6,0.2,-4.8,1.6,30.0,8.9,20.3,,849.8,839.2
2013-01-13,3338,763,4.4,,2.4,6.3,,,,,936.6,930.3
2013-01-14,2462,1894,-4.3,0.0,-5.4,-3.2,31.0,5.8,18.6,0.0,811.5,809.8
2013-01-14,3100B,540,4.0,0.0,-2.4,10.4,33.0,1.9,10.6,,,
2013-01-14,3111D,1450,-1.4,0.6,-2.8,-0.1,34.0,2.2,10.0,,860.1,857.7
2013-01-14,3129,609,5.1,0.0,0.1,10.1,28.0,4.2,12.5,7.2,954.6,951.6
2013-01-14,3175,607,5.0,0.0,0.1,9.8,33.0,1.7,15.0,7.4,951.2,948.0
2013-01-14,3191E,1004,4.0,0.0,1.3,6.7,35.0,2.5,19.2,6.2,906.0,903.3
2013-01-14,3194U,664,4.8,0.6,0.0,9.7,88.0,2.5,13.3,,,
2013-01-14,3195,667,4.6,0.0,0.5,8.7,27.0,1.4,10.0,,944.3,941.6
2013-01-14,3196,690,4.2,0.0,-0.5,9.0,29.0,5.3,13.3,7.9,942.6,939.6
2013-01-14,3200,620,4.5,0.0,-0.4,9.4,30.0,6.9,16.1,9.3,950.6,947.6
2013-01-14,3266A,1532,-3.1,0.0,-4.4,-1.8,32.0,1.9,8.3,,849.6,846.1
2013-01-14,3338,763,5.4,,3.1,7.8,,,,,939.1,936.5
2013-01-15,2462,1894,-3.8,10.5,-5.2,-2.5,33.0,6.7,18.6,0.1,810.3,808.8
2013-01-15,3100B,540,6.0,0.0,1.1,11.0,29.0,1.4,8.6,,,
2013-01-15,3110C,1030,3.0,1.2,1.0,4.9,32.0,2.5,14.4,,897.9,894.3
2013-01-15,3111D,1450,-0.4,4.6,-2.5,1.6,32.0,1.9,12.5,,858.9,857.2
2013-01-15,3129,609,6.7,0.0,2.5,10.9,99.0,8.1,15.3,6.9,952.4,949.4
2013-01-15,3175,607,4.3,0.0,-1.7,10.3,28.0,4.4,12.5,7.3,948.9,945.9
2013-01-15,3191E,1004,5.0,0.1,0.9,9.0,30.0,2.5,16.1,6.4,904.0,902.3
2013-01-15,3194U,664,6.6,0.0,2.4,10.8,88.0,3.6,11.1,,,
2013-01-15,3195,667,6.4,0.0,2.8,10.0,30.0,3.6,11.9,,942.9,939.9
2013-01-15,3196,690,6.4,0.0,2.4,10.5,26.0,6.1,16.4,7.2,940.6,938.0
2013-01-15,3200,620,8.4,0.0,5.0,11.7,29.0,7.2,16.9,7.0,949.2,946.4
2013-01-15,3266A,1532,-2.4,0.1,-3.7,-1.1,,,,,847.0,844.8
2013-01-15,3338,763,7.0,,3.9,10.1,,,,,937.2,934.7
2013-01-16,2462,1894,-1.0,40.0,-3.1,1.2,31.0,6.9,24.2,0.0,808.8,803.8
2013-01-16,3100B,540,6.0,0.7,3.1,9.0,28.0,3.1,12.8,,,
2013-01-16,3110C,1030,4.6,7.7,1.6,7.6,28.0,4.7,15.8,,895.6,886.7
2013-01-16,3111D,1450,1.4,29.6,-0.7,3.4,29.0,3.3,14.2,,857.3,851.3
2013-01-16,3129,609,8.0,0.8,5.7,10.4,22.0,7.8,18.6,0.0,950.4,942.9
2013-01-16,3175,607,7.0,0.6,4.7,9.4,23.0,6.7,13.9,0.0,947.0,939.9
2013-01-16,3191E,1004,5.6,3.6,2.9,8.4,29.0,6.7,23.3,0.0,902.9,895.6
