date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2010-01-01,28079004,12.0,0.3,4.0,12.0,,,18.0,,,,,,,
2010-01-01,28079008,9.0,0.3,18.0,29.0,7.0,12.0,57.0,50.0,1.4,0.3,1.6,1.32,1.2,0.12
2010-01-01,28079011,,,9.0,26.0,,,39.0,,0.5,0.2,1.0,,,
2010-01-01,28079016,,0.3,7.0,27.0,,,38.0,41.0,,,,,,
2010-01-01,28079017,7.0,,8.0,18.0,,,30.0,41.0,,,,,,
2010-01-01,28079018,5.0,0.2,6.0,19.0,,6.0,28.0,65.0,2.1,0.9,0.9,,,
2010-01-01,28079024,7.0,0.7,2.0,4.0,5.0,7.0,6.0,82.0,,,,1.37,0.99,0.38
2010-01-01,28079027,,,14.0,31.0,,,52.0,25.0,,,,1.34,1.21,0.13
2010-01-01,28079035,10.0,0.3,6.0,24.0,,,34.0,58.0,,,,,,
2010-01-01,28079036,7.0,0.3,23.0,35.0,,13.0,70.0,,,,,,,
2010-01-01,28079038,10.0,,7.0,19.0,8.0,11.0,30.0,,3.0,0.9,0.5,,,
2010-01-01,28079039,,0.3,9.0,23.0,,,38.0,55.0,,,,,,
2010-01-01,28079040,6.0,,7.0,21.0,,13.0,32.0,,,,,,,
2010-01-01,28079047,,,2.0,24.0,8.0,11.0,26.0,,,,,,,
2010-01-01,28079049,,,3.0,13.0,,,18.0,99.0,,,,,,
2010-01-01,28079054,,,1.0,21.0,,,22.0,71.0,,,,,,
2010-01-01,28079057,6.0,0.2,3.0,16.0,,9.0,21.0,,,,,,,
2010-01-01,28079058,,,3.0,7.0,,,12.0,78.0,,,,,,
2010-01-01,28079059,,,3.0,17.0,,,22.0,62.0,,,,,,
2010-01-02,28079004,15.0,0.4,20.0,40.0,,,70.0,,,,,,,
2010-01-02,28079008,10.0,0.4,28.0,42.0,9.0,16.0,85.0,24.0,2.6,0.5,1.7,1.39,1.26,0.13
2010-01-02,28079011,,,29.0,55.0,,,100.0,,0.5,0.2,1.0,,,
2010-01-02,28079016,,0.4,21.0,49.0,,,80.0,19.0,,,,,,
2010-01-02,28079017,7.0,,20.0,30.0,,,61.0,19.0,,,,,,
2010-01-02,28079018,6.0,0.3,19.0,41.0,,11.0,70.0,32.0,4.1,1.8,0.7,,,
2010-01-02,28079024,7.0,0.7,7.0,25.0,8.0,11.0,36.0,43.0,,,,1.42,1.09,0.34
2010-01-02,28079027,,,25.0,53.0,,,91.0,11.0,,,,1.44,1.29,0.15
2010-01-02,28079035,11.0,0.4,26.0,46.0,,,85.0,26.0,,,,,,
2010-01-02,28079036,12.0,0.5,43.0,62.0,,18.0,127.0,,,,,,,
