date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,average_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure,wind_direction,maximum_wind_speed
2006-01-05,3196,690,5.6,0.3,0.8,10.4,2.5,7.3,936.8,931.0,24.0,9.2
2006-01-05,3200,620,5.1,0.4,-0.4,10.6,2.5,7.8,945.1,939.5,23.0,7.2
2006-01-05,3266A,1532,1.5,0.1,-0.6,3.6,5.3,,846.7,840.6,29.0,13.3
2006-01-05,3338,763,6.6,0.5,1.7,11.6,1.1,,932.6,926.8,31.0,6.4
2006-01-06,2462,1894,-2.1,24.0,-3.0,-1.2,1.9,0.0,802.5,799.7,,
2006-01-06,3100B,540,6.6,12.7,4.9,8.4,1.7,,,,17.0,6.4
2006-01-06,3110C,1030,1.2,0.0,-0.8,3.2,0.3,,890.5,887.0,14.0,2.5
2006-01-06,3111D,1450,0.2,0.6,-0.7,1.1,1.9,,850.2,847.3,17.0,6.1
2006-01-06,3129,609,4.6,21.2,2.0,7.1,1.7,0.0,943.2,939.8,21.0,8.9
2006-01-06,3175,607,5.7,21.4,3.4,8.0,1.4,0.0,939.6,936.9,17.0,6.7
2006-01-06,3191E,1004,1.8,25.0,0.2,3.4,1.9,0.0,896.5,893.1,4.0,9.7
2006-01-06,3194U,664,5.6,2.0,4.1,7.0,0.6,,,,8.0,5.8
2006-01-06,3195,667,5.4,19.2,4.0,6.8,1.4,0.0,933.5,927.0,16.0,3.9
2006-01-06,3196,690,5.2,21.1,3.8,6.6,2.5,0.0,931.0,927.6,25.0,8.3
2006-01-06,3200,620,5.8,17.7,4.6,7.0,2.5,0.0,939.5,935.8,24.0,7.2
2006-01-06,3266A,1532,-0.2,2.7,-1.0,0.5,2.2,,840.7,837.6,29.0,8.9
2006-01-06,3338,763,4.6,16.6,3.4,5.9,,,926.8,923.3,,
2006-01-07,2462,1894,-2.0,0.4,-3.2,-0.8,3.6,0.0,804.9,801.7,,
2006-01-07,3100B,540,6.6,1.4,4.4,8.8,0.6,,,,3.0,4.7
2006-01-07,3110C,1030,1.6,0.0,0.4,2.9,0.6,,893.2,890.1,28.0,3.6
2006-01-07,3111D,1450,2.0,4.7,-0.4,4.5,1.4,,853.3,850.0,15.0,7.8
2006-01-07,3129,609,5.6,1.0,3.7,7.5,2.8,0.0,946.3,943.1,99.0,5.8
2006-01-07,3175,607,6.2,1.0,4.5,8.0,3.1,0.0,942.3,939.3,4.0,8.9
2006-01-07,3191E,1004,2.4,0.5,0.4,4.5,4.7,0.0,899.0,895.8,6.0,10.8
2006-01-07,3194U,664,6.0,1.4,4.0,8.0,3.1,,,,7.0,8.1
2006-01-07,3195,667,5.5,0.3,3.3,7.7,2.8,0.0,936.1,933.4,5.0,9.2
2006-01-07,3196,690,4.8,0.5,2.5,7.0,2.2,0.0,934.1,930.9,10.0,6.7
2006-01-07,3200,620,5.7,0.2,3.6,7.8,3.6,0.0,941.4,939.1,5.0,7.8
2006-01-07,3266A,1532,-0.8,0.4,-1.8,0.1,2.8,,843.9,840.4,32.0,8.9
2006-01-07,3338,763,3.0,0.7,0.4,5.6,,,930.1,926.7,,
2006-01-08,2462,1894,-1.8,1.0,-3.0,-0.5,1.1,0.0,812.5,804.7,,
2006-01-08,3100B,540,7.2,0.0,4.8,9.5,0.0,,,,13.0,2.8
2006-01-08,3110C,1030,4.1,0.0,1.5,6.7,0.6,,900.9,892.8,32.0,2.8
2006-01-08,3111D,1450,1.3,2.1,0.0,2.6,0.6,,861.0,853.0,14.0,4.7
2006-01-08,3129,609,6.9,0.0,4.4,9.4,1.9,0.4,954.7,946.1,99.0,4.2
2006-01-08,3175,607,6.8,0.5,4.2,9.5,1.4,0.5,950.5,942.3,9.0,4.7
2006-01-08,3191E,1004,4.4,0.0,3.0,5.8,0.8,0.0,906.6,899.0,3.0,8.3
2006-01-08,3194U,664,7.3,1.0,5.4,9.2,0.6,,,,6.0,4.2
2006-01-08,3195,667,7.2,0.0,5.9,8.6,1.4,0.5,944.3,936.1,28.0,6.7
2006-01-08,3196,690,6.7,0.0,4.8,8.6,0.8,0.0,942.5,933.9,20.0,3.6
2006-01-08,3200,620,6.6,0.0,4.6,8.6,0.0,0.0,950.2,940.5,2.0,3.6
2006-01-08,3266A,1532,-0.3,7.3,-1.8,1.2,1.1,,851.6,843.5,12.0,4.7
2006-01-08,3338,763,5.3,0.0,2.8,7.8,,,938.1,929.8,,
2006-01-09,2462,1894,-3.2,2.4,-4.8,-1.6,1.1,0.0,814.7,812.2,,
2006-01-09,3100B,540,7.2,0.2,4.2,10.2,0.8,,,,13.0,4.2
2006-01-09,3110C,1030,3.5,0.0,1.5,5.5,0.3,,903.0,900.1,28.0,4.7
2006-01-09,3111D,1450,0.0,0.1,-2.0,1.9,0.8,,863.4,860.6,30.0,6.4
2006-01-09,3129,609,5.9,0.1,3.4,8.4,2.2,0.0,957.5,954.4,19.0,9.7
2006-01-09,3175,607,6.4,0.6,4.0,8.8,1.4,0.0,953.1,950.5,2.0,10.3
2006-01-09,3191E,1004,3.0,0.2,0.8,5.1,1.7,0.0,910.2,906.6,7.0,8.9
2006-01-09,3194U,664,6.4,0.7,4.2,8.6,0.3,,,,6.0,6.7
2006-01-09,3195,667,6.3,0.4,4.4,8.2,1.1,0.0,947.3,944.3,4.0,6.7
2006-01-09,3196,690,6.1,0.0,4.2,8.0,1.1,0.0,945.2,942.1,4.0,6.1
2006-01-09,3200,620,6.5,0.0,4.6,8.4,1.4,0.2,953.1,950.2,5.0,6.7
2006-01-09,3266A,1532,-0.8,3.1,-2.5,1.0,3.1,,853.4,851.0,32.0,11.7
2006-01-09,3338,763,5.3,0.2,2.4,8.2,,,940.6,937.7,,
2006-01-10,2462,1894,-3.9,0.0,-6.0,-1.8,3.1,0.0,817.3,811.3,,
2006-01-10,3100B,540,5.5,0.0,2.7,8.3,1.9,,,,11.0,8.6
2006-01-10,3110C,1030,2.7,0.0,0.5,4.9,0.8,,906.7,901.0,4.0,5.8
2006-01-10,3111D,1450,-0.6,1.5,-3.4,2.1,2.5,,866.6,859.9,12.0,9.7
2006-01-10,3129,609,5.4,0.0,2.4,8.5,3.9,0.9,961.0,954.5,3.0,10.8
2006-01-10,3175,607,5.9,0.0,3.0,8.8,5.3,0.4,956.8,949.5,4.0,10.8
2006-01-10,3191E,1004,3.0,0.0,0.8,5.2,7.5,0.2,912.3,906.2,5.0,15.6
2006-01-10,3194U,664,5.6,0.6,3.5,7.8,3.6,,,,6.0,10.0
2006-01-10,3195,667,5.2,0.0,3.2,7.3,3.9,0.0,950.0,944.7,3.0,11.7
2006-01-10,3196,690,5.2,0.0,3.0,7.4,3.3,0.3,948.5,941.9,5.0,11.9
2006-01-10,3200,620,5.2,0.0,3.0,7.3,4.7,0.0,956.5,949.8,4.0,11.1
2006-01-10,3266A,1532,-1.8,0.0,-3.6,-0.1,2.8,,856.9,851.0,12.0,10.8
2006-01-10,3338,763,3.7,0.0,0.9,6.5,0.0,,944.2,937.6,5.0,4.4
2006-01-11,2462,1894,-0.9,0.0,-3.4,1.6,1.4,7.2,819.7,816.9,,
2006-01-11,3100B,540,6.8,0.0,0.8,12.8,0.6,,,,99.0,3.3
2006-01-11,3110C,1030,4.4,0.0,-1.5,10.2,1.1,,909.6,904.7,15.0,4.4
2006-01-11,3111D,1450,1.9,0.0,-1.3,5.1,1.7,,868.4,866.4,15.0,5.8
2006-01-11,3129,609,6.2,0.0,0.8,11.7,1.1,4.3,963.4,960.2,99.0,5.8
2006-01-11,3175,607,7.1,0.0,2.0,12.2,0.6,4.5,959.4,956.6,2.0,4.2
2006-01-11,3191E,1004,5.7,0.0,3.0,8.4,1.7,4.8,915.0,912.3,2.0,6.7
2006-01-11,3194U,664,7.0,0.5,1.9,12.0,0.0,,,,24.0,3.9
2006-01-11,3195,667,7.4,0.0,4.9,10.0,0.8,3.7,953.1,948.8,3.0,5.8
2006-01-11,3196,690,8.5,0.0,3.9,13.1,1.4,4.7,951.0,948.1,25.0,5.6
2006-01-11,3200,620,7.3,0.0,3.6,11.0,0.3,5.0,958.9,956.2,5.0,4.7
2006-01-11,3266A,1532,0.9,15.5,-1.6,3.4,4.4,,859.0,855.9,28.0,8.6
2006-01-11,3338,763,6.2,0.0,0.7,11.7,,,946.6,943.4,,
2006-01-12,2462,1894,0.8,0.0,-2.7,4.4,0.3,8.3,819.5,814.5,,
2006-01-12,3100B,540,4.7,0.0,-1.8,11.2,0.8,,,,99.0,4.7
2006-01-12,3110C,1030,4.2,0.0,-2.4,10.8,0.6,,909.5,901.9,15.0,4.4
2006-01-12,3111D,1450,3.1,0.0,-1.3,7.5,1.4,,867.8,862.6,17.0,5.0
2006-01-12,3129,609,5.1,0.0,-1.6,11.8,1.7,7.9,962.5,956.9,21.0,6.7
2006-01-12,3175,607,5.4,0.0,-1.0,11.8,0.8,7.8,958.3,952.9,2.0,5.6
2006-01-12,3191E,1004,5.1,0.0,2.0,8.2,1.1,8.4,914.1,909.2,8.0,7.2
2006-01-12,3194U,664,6.0,0.4,0.0,11.9,0.3,,,,17.0,3.3
2006-01-12,3195,667,5.9,0.0,2.2,9.6,1.1,8.1,950.1,946.7,5.0,5.6
2006-01-12,3196,690,5.3,0.0,0.4,10.2,0.8,8.6,949.7,944.7,9.0,4.7
2006-01-12,3200,620,6.0,0.0,0.4,11.6,0.0,8.7,958.7,952.7,10.0,3.6
2006-01-12,3266A,1532,1.8,0.3,-1.0,4.7,3.3,,858.5,852.5,11.0,6.1
2006-01-12,3338,763,5.2,0.1,-0.5,10.9,,,945.3,940.3,,
2006-01-13,2462,1894,-0.8,0.0,-4.5,2.8,2.2,8.0,814.5,812.7,,
2006-01-13,3100B,540,2.0,0.0,-2.9,6.8,1.4,,,,99.0,5.0
2006-01-13,3110C,1030,2.2,0.0,-2.5,6.9,0.8,,904.3,900.4,13.0,3.6
2006-01-13,3111D,1450,1.2,0.1,-1.7,4.1,2.2,,862.9,861.3,15.0,5.0
2006-01-13,3129,609,4.4,0.0,-1.6,10.3,1.9,5.3,958.0,955.5,21.0,9.2
2006-01-13,3175,607,4.6,0.0,-1.0,10.2,0.8,4.2,954.0,951.8,3.0,4.7
2006-01-13,3191E,1004,3.5,0.0,1.6,5.4,1.7,0.5,909.2,908.1,14.0,6.1
2006-01-13,3194U,664,4.6,0.4,-0.8,10.0,0.0,,,,23.0,4.7
2006-01-13,3195,667,5.5,0.0,2.0,9.0,1.4,7.0,947.7,945.5,16.0,6.1
2006-01-13,3196,690,4.5,0.0,0.4,8.6,0.8,7.9,945.4,943.5,10.0,5.3
2006-01-13,3200,620,3.9,0.0,-0.6,8.4,1.1,8.0,953.8,951.7,16.0,5.6
2006-01-13,3266A,1532,-0.7,0.3,-2.2,0.8,2.8,,853.7,851.2,10.0,7.8
2006-01-13,3338,763,4.6,0.1,-0.2,9.3,,,940.9,938.8,,
2006-01-14,2462,1894,-1.9,0.0,-5.1,1.3,1.9,2.8,813.7,811.5,,
2006-01-14,3100B,540,3.4,0.0,0.9,6.0,1.7,,,,12.0,5.3
2006-01-14,3110C,1030,2.2,0.0,-2.1,6.4,0.8,,904.0,900.0,14.0,5.0
2006-01-14,3111D,1450,0.0,0.0,-3.1,3.0,2.5,,862.5,860.0,17.0,5.8
2006-01-14,3129,609,3.4,0.0,-0.5,7.4,1.7,0.2,957.8,954.9,21.0,5.0
2006-01-14,3175,607,4.1,0.0,0.4,7.8,0.6,0.6,953.5,950.6,8.0,5.6
2006-01-14,3191E,1004,2.8,0.0,0.5,5.2,2.5,0.7,908.6,907.2,3.0,5.6
2006-01-14,3194U,664,4.8,0.4,1.6,8.0,0.8,,,,15.0,5.8
2006-01-14,3195,667,4.8,0.0,2.6,7.0,1.7,0.8,947.6,944.7,31.0,6.7
2006-01-14,3196,690,4.0,0.2,1.0,7.0,1.9,1.6,945.0,942.2,10.0,5.6
2006-01-14,3200,620,3.7,0.0,1.0,6.4,1.9,0.0,956.3,950.7,9.0,4.7
2006-01-14,3266A,1532,-0.7,0.1,-2.9,1.5,2.5,,853.3,850.5,12.0,5.8
2006-01-14,3338,763,3.6,0.3,0.3,7.0,,,940.6,938.2,,
2006-01-15,2462,1894,-4.2,15.0,-5.3,-3.2,7.5,0.0,811.5,805.8,,
2006-01-15,3100B,540,6.6,10.2,3.2,10.1,0.8,,,,22.0,6.1
2006-01-15,3110C,1030,2.4,0.0,-1.1,5.9,1.9,,901.2,894.5,17.0,8.1
