date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2011-01-01,28079004,8.0,0.4,28.0,36.0,,,79.0,,,,,,,
2011-01-01,28079008,13.0,0.4,21.0,50.0,11.0,16.0,83.0,18.0,1.9,0.9,1.4,1.32,1.15,0.16
2011-01-01,28079011,,,29.0,48.0,,,92.0,,3.2,1.8,0.4,,,
2011-01-01,28079016,,0.3,12.0,41.0,,,60.0,23.0,,,,,,
2011-01-01,28079017,10.0,,22.0,52.0,,,85.0,11.0,,,,,,
2011-01-01,28079018,9.0,0.5,20.0,44.0,,15.0,74.0,16.0,1.4,0.2,0.3,,,
2011-01-01,28079024,7.0,0.3,4.0,27.0,9.0,11.0,33.0,23.0,1.0,0.6,0.9,1.31,1.18,0.13
2011-01-01,28079027,,,16.0,42.0,,,66.0,22.0,,,,1.41,1.19,0.22
2011-01-01,28079035,12.0,0.4,21.0,48.0,,,80.0,16.0,,,,,,
2011-01-01,28079036,14.0,0.4,20.0,45.0,,16.0,76.0,,,,,,,
2011-01-01,28079038,13.0,,22.0,53.0,10.0,15.0,88.0,,1.9,0.6,0.4,,,
2011-01-01,28079039,,0.4,14.0,44.0,,,66.0,21.0,,,,,,
2011-01-01,28079040,9.0,,12.0,47.0,,14.0,65.0,,,,,,,
2011-01-01,28079047,,,10.0,46.0,12.0,14.0,61.0,,,,,,,
2011-01-01,28079048,,,11.0,38.0,4.0,11.0,55.0,,,,,,,
2011-01-01,28079049,,,4.0,37.0,,,43.0,21.0,,,,,,
2011-01-01,28079050,,,27.0,39.0,10.0,18.0,81.0,,,,,,,
2011-01-01,28079054,,,8.0,36.0,,,48.0,25.0,,,,,,
2011-01-01,28079055,,,24.0,48.0,,13.0,85.0,,0.6,0.3,0.2,1.48,1.37,0.11
2011-01-01,28079056,,0.5,36.0,55.0,,,111.0,19.0,,,,,,
2011-01-01,28079057,12.0,0.3,7.0,37.0,,11.0,48.0,,,,,,,
2011-01-01,28079058,,,12.0,19.0,,,37.0,18.0,,,,,,
2011-01-01,28079059,,,9.0,25.0,,,38.0,29.0,,,,,,
2011-01-01,28079060,,,7.0,38.0,,11.0,49.0,25.0,,,,,,
2011-01-02,28079004,9.0,0.5,79.0,52.0,,,172.0,,,,,,,
2011-01-02,28079008,13.0,0.4,36.0,57.0,11.0,17.0,112.0,13.0,2.8,1.1,1.6,1.5,1.32,0.19
2011-01-02,28079011,,,36.0,57.0,,,112.0,,4.0,2.1,0.5,,,
2011-01-02,28079016,,0.4,30.0,52.0,,,98.0,17.0,,,,,,
2011-01-02,28079017,10.0,,35.0,55.0,,,109.0,10.0,,,,,,
2011-01-02,28079018,9.0,0.6,37.0,52.0,,15.0,109.0,13.0,2.0,0.3,0.5,,,
2011-01-02,28079024,8.0,0.3,10.0,36.0,9.0,11.0,52.0,18.0,1.2,0.7,1.0,1.44,1.29,0.15
2011-01-02,28079027,,,21.0,47.0,,,80.0,17.0,,,,1.74,1.46,0.28
2011-01-02,28079035,12.0,0.5,41.0,58.0,,,121.0,12.0,,,,,,
2011-01-02,28079036,21.0,0.5,28.0,48.0,,16.0,90.0,,,,,,,
2011-01-02,28079038,14.0,,28.0,62.0,9.0,15.0,105.0,,2.5,0.8,0.5,,,
2011-01-02,28079039,,0.4,21.0,49.0,,,81.0,17.0,,,,,,
2011-01-02,28079040,9.0,,22.0,50.0,,13.0,83.0,,,,,,,
2011-01-02,28079047,,,24.0,51.0,12.0,14.0,87.0,,,,,,,
2011-01-02,28079048,,,17.0,44.0,4.0,11.0,70.0,,,,,,,
2011-01-02,28079049,,,17.0,45.0,,,70.0,13.0,,,,,,
