station,date,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
28079004,2015-01-01,15.0,0.8,155.0,76.0,,,314.0,,,,,,,
28079008,2015-01-01,20.0,1.0,180.0,118.0,33.0,42.0,395.0,10.0,9.1,2.4,1.1,2.03,1.54,0.49
28079011,2015-01-01,,,144.0,106.0,,,326.0,,8.1,3.9,1.9,,,
28079016,2015-01-01,,1.0,141.0,107.0,,,323.0,10.0,,,,,,
28079017,2015-01-01,10.0,,244.0,118.0,,,492.0,6.0,,,,,,
28079018,2015-01-01,13.0,0.7,110.0,81.0,,29.0,249.0,8.0,,,,,,
28079024,2015-01-01,5.0,0.6,52.0,69.0,23.0,23.0,149.0,9.0,0.4,0.2,0.1,1.76,1.41,0.36
28079027,2015-01-01,,,105.0,76.0,,,237.0,13.0,,,,,,
28079035,2015-01-01,16.0,1.0,140.0,93.0,,,308.0,5.0,,,,,,
28079036,2015-01-01,19.0,1.3,199.0,127.0,,64.0,432.0,,,,,,,
28079038,2015-01-01,17.0,,153.0,101.0,,33.0,335.0,,7.3,2.4,1.5,,,
28079039,2015-01-01,,1.3,218.0,125.0,,,459.0,6.0,,,,,,
28079040,2015-01-01,14.0,,148.0,102.0,,42.0,329.0,,,,,,,
28079047,2015-01-01,,,126.0,93.0,30.0,33.0,286.0,,,,,,,
28079048,2015-01-01,,,147.0,96.0,,41.0,321.0,,,,,,,
28079049,2015-01-01,,,128.0,81.0,,,278.0,7.0,,,,,,
28079050,2015-01-01,,,137.0,112.0,,41.0,322.0,,,,,,,
28079054,2015-01-01,,,181.0,108.0,,,386.0,15.0,,,,,,
28079055,2015-01-01,,,137.0,94.0,,32.0,304.0,,5.2,2.1,1.1,2.44,1.44,1.0
28079056,2015-01-01,,1.0,160.0,105.0,,,351.0,11.0,,,,,,
28079057,2015-01-01,12.0,0.7,99.0,97.0,,29.0,248.0,,,,,,,
28079058,2015-01-01,,,11.0,40.0,,,56.0,12.0,,,,,,
28079059,2015-01-01,,,85.0,69.0,,,199.0,20.0,,,,,,
28079060,2015-01-01,,,101.0,93.0,,30.0,248.0,15.0,,,,,,
28079004,2015-01-02,19.0,1.0,235.0,89.0,,,448.0,,,,,,,
28079008,2015-01-02,22.0,1.1,202.0,125.0,22.0,36.0,436.0,6.0,11.1,2.4,1.5,2.01,1.54,0.47
28079011,2015-01-02,,,192.0,119.0,,,414.0,,10.4,4.0,2.4,,,
28079016,2015-01-02,,0.9,136.0,106.0,,,315.0,8.0,,,,,,
28079017,2015-01-02,11.0,,286.0,131.0,,,570.0,2.0,,,,,,
28079018,2015-01-02,13.0,0.7,134.0,91.0,,28.0,297.0,4.0,,,,,,
28079024,2015-01-02,6.0,0.5,70.0,74.0,18.0,20.0,181.0,5.0,0.5,0.2,0.1,1.71,1.36,0.35
28079027,2015-01-02,,,94.0,74.0,,,219.0,11.0,,,,,,
28079035,2015-01-02,21.0,1.1,165.0,103.0,,,356.0,2.0,,,,,,
28079036,2015-01-02,15.0,0.9,148.0,113.0,,34.0,339.0,,,,,,,
28079038,2015-01-02,19.0,,226.0,112.0,,29.0,458.0,,11.5,3.0,2.1,,,
28079039,2015-01-02,,1.5,327.0,165.0,,,666.0,5.0,,,,,,
28079040,2015-01-02,15.0,,137.0,105.0,,30.0,315.0,,,,,,,
28079047,2015-01-02,,,141.0,100.0,23.0,30.0,317.0,,,,,,,
28079048,2015-01-02,,,137.0,96.0,,32.0,306.0,,,,,,,
28079049,2015-01-02,,,134.0,89.0,,,295.0,1.0,,,,,,
28079050,2015-01-02,,,157.0,116.0,,31.0,357.0,,,,,,,
28079054,2015-01-02,,,178.0,117.0,,,391.0,8.0,,,,,,
28079055,2015-01-02,,,133.0,96.0,,24.0,300.0,,3.8,1.6,0.7,2.31,1.39,0.92
28079056,2015-01-02,,1.1,221.0,126.0,,,465.0,7.0,,,,,,
28079057,2015-01-02,13.0,0.8,163.0,116.0,,27.0,366.0,,,,,,,
28079058,2015-01-02,,,11.0,36.0,,,53.0,10.0,,,,,,
28079059,2015-01-02,,,68.0,61.0,,,165.0,22.0,,,,,,
28079060,2015-01-02,,,130.0,102.0,,24.0,300.0,13.0,,,,,,
28079004,2015-01-03,17.0,0.9,198.0,80.0,,,384.0,,,,,,,
28079008,2015-01-03,18.0,0.8,145.0,103.0,18.0,30.0,325.0,6.0,9.1,1.9,1.0,1.99,1.58,0.41
28079011,2015-01-03,,,138.0,98.0,,,310.0,,8.8,3.6,2.0,,,
28079016,2015-01-03,,0.7,94.0,89.0,,,234.0,9.0,,,,,,
28079017,2015-01-03,11.0,,275.0,122.0,,,544.0,3.0,,,,,,
28079018,2015-01-03,11.0,0.6,120.0,82.0,,24.0,266.0,5.0,5.7,1.5,0.5,,,
28079024,2015-01-03,6.0,0.5,75.0,73.0,17.0,21.0,188.0,5.0,0.8,0.2,0.1,1.74,1.38,0.36
28079027,2015-01-03,,,88.0,70.0,,,205.0,10.0,,,,,,
28079035,2015-01-03,20.0,1.0,146.0,96.0,,,319.0,3.0,,,,,,
28079036,2015-01-03,12.0,0.7,100.0,89.0,,23.0,242.0,,,,,,,
28079038,2015-01-03,19.0,,212.0,101.0,,26.0,426.0,,12.8,2.8,2.1,,,
28079039,2015-01-03,,1.5,301.0,143.0,,,605.0,4.0,,,,,,
28079040,2015-01-03,11.0,,71.0,81.0,,20.0,190.0,,,,,,,
28079047,2015-01-03,,,138.0,93.0,22.0,28.0,304.0,,,,,,,
28079048,2015-01-03,,,96.0,84.0,,24.0,231.0,,,,,,,
28079049,2015-01-03,,,93.0,76.0,,,218.0,2.0,,,,,,
28079050,2015-01-03,,,108.0,99.0,,25.0,264.0,,,,,,,
28079054,2015-01-03,,,148.0,99.0,,,326.0,11.0,,,,,,
28079055,2015-01-03,,,142.0,96.0,,24.0,314.0,,4.5,1.7,1.0,2.43,1.49,0.93
28079056,2015-01-03,,1.0,201.0,115.0,,,423.0,8.0,,,,,,
28079057,2015-01-03,12.0,0.7,138.0,99.0,,23.0,310.0,,,,,,,
28079058,2015-01-03,,,14.0,40.0,,,61.0,9.0,,,,,,
28079059,2015-01-03,,,48.0,53.0,,,127.0,24.0,,,,,,
28079060,2015-01-03,,,84.0,82.0,,19.0,211.0,14.0,,,,,,
28079004,2015-01-04,21.0,1.3,259.0,97.0,,,494.0,,,,,,,
28079008,2015-01-04,22.0,1.1,171.0,119.0,18.0,33.0,381.0,8.0,9.7,2.3,1.5,1.84,1.42,0.42
28079011,2015-01-04,,,124.0,98.0,,,288.0,,8.1,3.5,2.6,,,
28079016,2015-01-04,,0.6,66.0,80.0,,,182.0,14.0,,,,,,
28079017,2015-01-04,9.0,,230.0,117.0,,,469.0,6.0,,,,,,
28079018,2015-01-04,12.0,0.6,104.0,83.0,,22.0,242.0,6.0,5.3,1.5,0.6,,,
28079024,2015-01-04,7.0,0.5,60.0,72.0,16.0,18.0,164.0,6.0,0.6,0.2,0.1,1.68,1.34,0.34
28079027,2015-01-04,,,72.0,71.0,,,182.0,13.0,,,,,,
28079035,2015-01-04,21.0,1.2,160.0,106.0,,,352.0,3.0,,,,,,
28079036,2015-01-04,11.0,0.7,85.0,88.0,,21.0,218.0,,,,,,,
28079038,2015-01-04,17.0,,185.0,99.0,,24.0,383.0,,11.9,3.2,2.3,,,
28079039,2015-01-04,,1.5,270.0,141.0,,,556.0,7.0,,,,,,
28079040,2015-01-04,12.0,,64.0,86.0,,18.0,184.0,,,,,,,
28079047,2015-01-04,,,145.0,101.0,20.0,26.0,323.0,,,,,,,
28079048,2015-01-04,,,104.0,90.0,,24.0,249.0,,,,,,,
28079049,2015-01-04,,,105.0,86.0,,,247.0,4.0,,,,,,
28079050,2015-01-04,,,81.0,93.0,,20.0,218.0,,,,,,,
28079054,2015-01-04,,,133.0,98.0,,,302.0,15.0,,,,,,
28079055,2015-01-04,,,111.0,91.0,,19.0,262.0,,3.5,1.6,0.7,2.24,1.33,0.92
28079056,2015-01-04,,1.1,177.0,114.0,,,386.0,9.0,,,,,,
28079057,2015-01-04,10.0,0.6,106.0,93.0,,18.0,255.0,,,,,,,
28079058,2015-01-04,,,12.0,31.0,,,49.0,15.0,,,,,,
28079059,2015-01-04,,,22.0,42.0,,,76.0,32.0,,,,,,
28079060,2015-01-04,,,48.0,75.0,,14.0,148.0,17.0,,,,,,
28079004,2015-01-05,16.0,0.9,203.0,78.0,,,390.0,,,,,,,
28079008,2015-01-05,18.0,0.9,159.0,106.0,18.0,31.0,350.0,9.0,9.9,2.0,1.3,1.87,1.46,0.41
28079011,2015-01-05,,,91.0,77.0,,,216.0,,7.1,3.1,2.4,,,
28079016,2015-01-05,,0.6,93.0,82.0,,,224.0,12.0,,,,,,
