date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,average_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure,wind_direction,maximum_wind_speed
2001-01-01,2462,1894,0.3,10.1,-1.0,1.6,7.5,0.0,806.3,800.1,,
2001-01-01,3100B,540,10.8,5.5,8.2,13.3,2.5,,,,99.0,9.7
2001-01-01,3110C,1030,4.6,4.9,2.2,7.1,2.5,,,,15.0,8.9
2001-01-01,3129,609,7.2,3.3,3.8,10.6,3.6,0.1,948.6,939.7,25.0,14.4
2001-01-01,3175,607,8.4,3.6,5.3,11.5,3.6,0.0,944.6,936.6,21.0,11.4
2001-01-01,3191E,1004,4.5,10.4,2.4,6.6,3.3,0.0,900.5,893.0,24.0,15.0
2001-01-01,3194U,664,8.3,4.3,5.8,10.8,1.1,,,,24.0,12.2
2001-01-01,3195,667,8.2,5.2,5.6,10.7,2.2,0.0,937.9,930.1,23.0,11.7
2001-01-01,3196,690,7.7,5.4,4.8,10.6,5.6,0.2,936.9,928.6,26.0,12.2
2001-01-01,3200,620,8.9,6.9,6.6,11.2,5.0,0.0,943.5,935.3,27.0,16.4
2001-01-01,3338,763,7.0,0.0,5.0,9.1,,,931.2,923.3,,
2001-01-02,2462,1894,-1.2,2.1,-2.4,0.0,5.8,1.6,808.1,800.3,,
2001-01-02,3100B,540,9.2,0.5,6.4,12.1,1.9,,,,27.0,11.9
2001-01-02,3110C,1030,6.2,0.4,3.9,8.4,1.9,,897.4,887.9,18.0,11.7
2001-01-02,3129,609,8.4,0.0,6.5,10.4,5.8,3.0,950.5,941.1,25.0,17.5
2001-01-02,3175,607,9.2,0.0,6.4,12.0,5.8,4.5,945.4,938.3,24.0,12.2
2001-01-02,3191E,1004,5.8,0.0,4.0,7.6,4.2,2.1,902.3,893.9,26.0,15.6
2001-01-02,3194U,664,8.9,0.1,6.4,11.4,3.6,,,,24.0,14.7
2001-01-02,3195,667,8.8,0.1,6.3,11.2,4.4,4.3,939.7,931.0,28.0,12.8
2001-01-02,3196,690,8.3,0.5,6.4,10.2,6.9,4.5,938.6,929.8,25.0,13.3
2001-01-02,3200,620,8.5,0.0,6.4,10.6,8.9,4.1,946.2,937.7,25.0,18.1
2001-01-02,3338,763,7.6,0.0,5.7,9.5,,,934.0,924.7,,
2001-01-03,2462,1894,-1.1,7.5,-2.8,0.6,4.2,0.0,809.9,806.9,,
2001-01-03,3100B,540,8.6,0.3,5.1,12.0,1.9,,,,21.0,7.8
2001-01-03,3110C,1030,5.0,1.8,3.3,6.8,1.4,,899.2,893.3,16.0,9.7
2001-01-03,3129,609,7.8,1.1,6.0,9.5,5.0,0.4,952.1,948.2,24.0,13.3
2001-01-03,3175,607,7.2,1.6,4.6,9.7,4.7,0.0,948.7,944.3,21.0,10.8
2001-01-03,3191E,1004,4.6,4.5,3.0,6.2,6.4,0.0,904.5,900.1,24.0,14.7
2001-01-03,3194U,664,7.2,2.2,4.9,9.6,1.7,,,,24.0,9.4
2001-01-03,3195,667,7.5,2.8,5.6,9.4,3.9,0.5,942.2,936.9,22.0,10.0
2001-01-03,3196,690,6.8,3.1,4.4,9.2,5.8,0.6,940.3,936.6,26.0,10.3
2001-01-03,3200,620,7.7,4.3,5.6,9.8,6.1,0.7,948.5,943.9,24.0,11.9
2001-01-03,3338,763,5.8,0.0,4.1,7.6,,,935.6,930.4,,
2001-01-04,2462,1894,1.5,0.5,-0.6,3.6,7.5,5.9,811.1,805.5,,
2001-01-04,3100B,540,10.0,0.4,6.1,14.0,2.2,,,,30.0,9.7
2001-01-04,3110C,1030,7.6,0.4,3.3,12.0,3.6,,899.0,891.9,28.0,16.7
2001-01-04,3129,609,8.7,0.8,5.9,11.5,5.6,3.7,953.1,946.6,27.0,14.4
2001-01-04,3175,607,9.6,0.4,6.7,12.4,4.4,2.4,949.3,943.4,24.0,11.4
2001-01-04,3191E,1004,7.4,2.6,5.4,9.3,6.7,3.1,904.6,899.3,26.0,17.5
2001-01-04,3194U,664,10.0,2.4,8.1,11.8,3.3,,,,23.0,11.4
2001-01-04,3195,667,9.2,0.7,7.1,11.2,3.1,1.4,941.9,935.8,23.0,11.4
2001-01-04,3196,690,8.3,0.8,5.0,11.6,6.4,2.0,941.3,935.0,30.0,13.3
2001-01-04,3200,620,8.6,0.1,5.6,11.6,6.7,1.8,948.5,943.9,24.0,15.6
2001-01-04,3266A,1532,,,,,7.5,,,,,
2001-01-04,3338,763,9.2,0.0,7.3,11.2,,,935.9,929.5,,
2001-01-05,2462,1894,3.3,35.5,1.0,5.6,7.2,0.0,810.7,800.3,,
2001-01-05,3100B,540,12.2,8.3,8.1,16.4,2.5,,,,22.0,10.8
2001-01-05,3110C,1030,7.6,17.0,2.5,12.7,2.2,,897.0,886.6,28.0,11.1
2001-01-05,3129,609,9.8,15.2,5.4,14.1,3.9,0.0,950.5,938.2,21.0,18.9
2001-01-05,3175,607,10.3,11.1,6.2,14.4,5.8,0.0,946.5,935.0,20.0,15.6
2001-01-05,3191E,1004,8.6,24.8,5.2,12.0,7.8,0.0,902.5,891.7,24.0,13.1
2001-01-05,3194U,664,11.0,13.3,8.0,14.0,1.1,,,,17.0,12.8
2001-01-05,3195,667,10.0,12.2,6.5,13.6,2.5,0.0,941.0,927.5,20.0,12.8
2001-01-05,3196,690,9.3,10.4,5.0,13.6,5.8,0.0,939.4,927.3,25.0,13.9
2001-01-05,3200,620,10.1,8.0,5.6,14.6,5.8,0.1,945.3,933.9,19.0,14.7
2001-01-05,3338,763,10.0,0.0,6.6,13.4,,,933.2,922.1,,
2001-01-06,2462,1894,-1.4,5.1,-4.4,1.6,1.9,0.0,805.1,798.7,,
2001-01-06,3100B,540,9.6,1.8,5.1,14.0,1.9,,,,18.0,10.0
2001-01-06,3110C,1030,4.8,1.5,2.4,7.3,2.5,,895.0,885.0,32.0,10.8
2001-01-06,3129,609,8.4,0.6,3.8,12.9,3.6,3.4,947.3,937.8,24.0,15.3
2001-01-06,3175,607,9.0,0.0,4.6,13.5,0.8,3.6,943.4,934.5,18.0,15.6
2001-01-06,3191E,1004,5.2,0.0,3.0,7.5,3.3,4.2,899.7,890.9,27.0,9.2
2001-01-06,3194U,664,8.5,0.0,4.1,12.9,2.5,,,,30.0,11.4
2001-01-06,3195,667,9.0,0.0,5.0,13.0,2.8,5.3,936.6,927.1,20.0,11.1
2001-01-06,3196,690,7.3,0.0,4.4,10.2,4.2,6.1,935.0,926.7,22.0,12.2
2001-01-06,3200,620,8.7,0.1,4.6,12.8,5.6,4.8,942.9,933.9,28.0,14.2
2001-01-06,3338,763,6.6,0.0,4.0,9.2,,,931.0,921.3,,
2001-01-07,2462,1894,-4.9,0.0,-5.4,-4.4,1.9,0.0,810.5,805.1,,
2001-01-07,3100B,540,5.4,0.0,0.4,10.3,1.4,,,,31.0,6.4
2001-01-07,3110C,1030,2.8,0.0,1.4,4.2,2.2,,901.0,894.8,99.0,9.7
2001-01-07,3129,609,4.4,0.0,0.8,8.1,1.9,5.2,954.2,947.3,25.0,9.7
2001-01-07,3175,607,5.4,0.0,1.0,9.9,1.1,6.1,949.7,943.4,1.0,7.2
2001-01-07,3191E,1004,3.2,0.0,0.0,6.4,0.6,7.1,905.7,899.7,2.0,11.7
2001-01-07,3194U,664,5.6,0.0,1.7,9.6,2.2,,,,26.0,8.6
2001-01-07,3195,667,5.5,0.0,2.4,8.6,1.9,5.5,943.3,936.6,30.0,8.6
2001-01-07,3196,690,4.6,0.0,1.4,7.8,3.3,7.9,942.2,935.0,35.0,10.3
2001-01-07,3200,620,6.0,0.0,2.8,9.2,4.2,6.6,949.8,942.9,34.0,10.3
2001-01-07,3338,763,5.2,0.0,2.5,7.9,,,937.8,931.0,,
2001-01-08,2462,1894,-3.6,0.0,-5.6,-1.6,1.7,6.3,811.8,808.5,,
2001-01-08,3100B,540,4.6,0.0,-1.4,10.7,0.8,,,,12.0,3.6
2001-01-08,3110C,1030,3.2,0.0,-0.8,7.3,0.8,,901.7,898.9,30.0,9.7
2001-01-08,3129,609,2.2,0.0,-3.0,7.5,1.9,7.7,955.9,948.1,24.0,5.6
2001-01-08,3175,607,3.8,0.0,-2.0,9.6,0.6,6.5,950.2,947.3,22.0,4.7
2001-01-08,3191E,1004,2.4,0.0,-0.3,5.2,2.2,6.8,906.9,904.2,16.0,8.1
2001-01-08,3194U,664,4.4,0.0,0.6,8.3,0.3,,,,25.0,6.4
2001-01-08,3195,667,4.6,0.0,1.4,7.8,1.7,6.3,943.7,940.5,27.0,5.8
2001-01-08,3196,690,5.1,0.0,1.4,8.8,2.2,7.0,943.0,939.5,29.0,7.8
2001-01-08,3200,620,4.2,0.0,0.4,8.1,1.9,6.6,951.3,946.9,31.0,8.9
2001-01-08,3338,763,4.8,0.0,1.4,8.3,0.6,,938.4,934.2,14.0,4.7
2001-01-09,2462,1894,-2.1,0.5,-4.0,-0.2,8.1,0.0,808.5,802.1,,
2001-01-09,3100B,540,4.6,1.0,0.2,9.1,1.7,,,,14.0,7.8
2001-01-09,3110C,1030,0.2,0.0,-1.7,2.1,1.1,,899.1,893.6,15.0,6.7
2001-01-09,3129,609,1.1,0.9,-1.7,3.9,1.1,0.1,949.8,946.5,36.0,4.7
2001-01-09,3175,607,2.1,1.7,-0.8,5.0,1.4,0.0,947.3,942.9,20.0,5.6
2001-01-09,3191E,1004,1.3,1.0,-0.2,2.8,1.4,0.0,904.2,898.1,14.0,8.6
2001-01-09,3194U,664,2.8,1.5,0.6,5.0,0.6,,,,8.0,5.3
2001-01-09,3195,667,3.0,2.2,1.8,4.3,1.4,0.0,940.5,935.5,11.0,7.8
2001-01-09,3196,690,2.8,2.8,0.8,4.8,1.9,0.0,939.5,934.5,3.0,5.3
