date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2012-01-01,28079004,9.0,0.6,77.0,47.0,,,166.0,,,,,,,
2012-01-01,28079008,16.0,0.5,64.0,62.0,27.0,37.0,161.0,11.0,5.0,1.9,1.7,1.6,1.33,0.27
2012-01-01,28079011,,,45.0,54.0,,,123.0,,5.5,2.8,0.6,,,
2012-01-01,28079016,,0.6,45.0,58.0,,,127.0,10.0,,,,,,
2012-01-01,28079017,7.0,,152.0,75.0,,,308.0,9.0,,,,,,
2012-01-01,28079018,11.0,0.8,53.0,50.0,,23.0,131.0,12.0,1.0,0.4,0.2,,,
2012-01-01,28079024,4.0,0.5,30.0,39.0,21.0,21.0,84.0,16.0,2.4,1.3,0.7,1.5,1.28,0.22
2012-01-01,28079027,,,41.0,55.0,,,118.0,10.0,,,,1.81,1.54,0.28
2012-01-01,28079035,12.0,0.6,67.0,60.0,,,164.0,7.0,,,,,,
2012-01-01,28079036,9.0,0.7,71.0,62.0,,21.0,170.0,,,,,,,
2012-01-01,28079038,12.0,,89.0,58.0,30.0,33.0,195.0,,4.6,0.9,0.7,,,
2012-01-01,28079039,,0.7,80.0,66.0,,,189.0,9.0,,,,,,
2012-01-01,28079040,6.0,,37.0,54.0,,22.0,111.0,,,,,,,
2012-01-01,28079047,,,57.0,60.0,25.0,27.0,148.0,,,,,,,
2012-01-01,28079048,,,45.0,57.0,21.0,26.0,127.0,,,,,,,
2012-01-01,28079049,,,51.0,52.0,,,130.0,8.0,,,,,,
2012-01-01,28079050,,,49.0,58.0,14.0,30.0,134.0,,,,,,,
2012-01-01,28079054,,,32.0,42.0,,,91.0,17.0,,,,,,
2012-01-01,28079055,,,63.0,68.0,,24.0,164.0,,3.5,1.6,0.9,1.89,1.68,0.22
2012-01-01,28079056,,0.8,112.0,76.0,,,248.0,6.0,,,,,,
2012-01-01,28079057,8.0,0.4,26.0,56.0,,22.0,96.0,,,,,,,
2012-01-01,28079058,,,22.0,42.0,,,76.0,16.0,,,,,,
2012-01-01,28079059,,,20.0,40.0,,,71.0,13.0,,,,,,
2012-01-01,28079060,,,36.0,53.0,,27.0,109.0,15.0,,,,,,
2012-01-02,28079004,6.0,0.3,15.0,28.0,,,51.0,,,,,,,
2012-01-02,28079008,10.0,0.2,26.0,43.0,8.0,13.0,82.0,25.0,3.5,1.0,1.1,1.26,1.1,0.16
2012-01-02,28079011,,,18.0,30.0,,,57.0,,3.4,1.6,0.4,,,
2012-01-02,28079016,,0.3,10.0,30.0,,,45.0,34.0,,,,,,
2012-01-02,28079017,2.0,,10.0,27.0,,,43.0,33.0,,,,,,
2012-01-02,28079018,3.0,0.4,4.0,20.0,,12.0,26.0,40.0,0.5,0.2,0.3,,,
2012-01-02,28079024,2.0,0.2,1.0,4.0,5.0,5.0,5.0,54.0,0.4,0.5,0.4,1.23,1.1,0.14
2012-01-02,28079027,,,8.0,24.0,,,36.0,38.0,,,,1.29,1.14,0.15
2012-01-02,28079035,6.0,0.3,12.0,33.0,,,50.0,22.0,,,,,,
2012-01-02,28079036,5.0,0.3,12.0,32.0,,7.0,50.0,,,,,,,
2012-01-02,28079038,5.0,,14.0,25.0,7.0,9.0,46.0,,1.0,0.2,0.2,,,
2012-01-02,28079039,,0.3,19.0,34.0,,,63.0,30.0,,,,,,
2012-01-02,28079040,3.0,,8.0,27.0,,9.0,40.0,,,,,,,
2012-01-02,28079047,,,2.0,27.0,6.0,7.0,30.0,,,,,,,
2012-01-02,28079048,,,14.0,31.0,6.0,8.0,53.0,,,,,,,
2012-01-02,28079049,,,1.0,22.0,,,24.0,36.0,,,,,,
2012-01-02,28079050,,,40.0,42.0,6.0,12.0,103.0,,,,,,,
2012-01-02,28079054,,,4.0,22.0,,,29.0,38.0,,,,,,
2012-01-02,28079055,,,12.0,29.0,,9.0,47.0,,1.1,0.4,0.4,1.34,1.26,0.09
2012-01-02,28079056,,0.4,13.0,31.0,,,52.0,30.0,,,,,,
2012-01-02,28079057,5.0,0.2,10.0,31.0,,6.0,47.0,,,,,,,
2012-01-02,28079058,,,5.0,19.0,,,27.0,47.0,,,,,,
2012-01-02,28079059,,,4.0,19.0,,,25.0,39.0,,,,,,
2012-01-02,28079060,,,7.0,25.0,,8.0,36.0,38.0,,,,,,
2012-01-03,28079004,9.0,0.7,114.0,53.0,,,228.0,,,,,,,
2012-01-03,28079008,14.0,0.5,94.0,70.0,18.0,31.0,215.0,10.0,7.4,2.0,1.9,1.62,1.34,0.27
2012-01-03,28079011,,,74.0,63.0,,,177.0,,7.2,2.6,1.2,,,
2012-01-03,28079016,,0.6,84.0,74.0,,,203.0,7.0,,,,,,
2012-01-03,28079017,5.0,,126.0,72.0,,,265.0,8.0,,,,,,
2012-01-03,28079018,7.0,0.7,75.0,60.0,,25.0,174.0,13.0,3.2,0.5,0.3,,,
2012-01-03,28079024,3.0,0.3,29.0,38.0,11.0,14.0,83.0,22.0,2.5,0.8,0.6,1.4,1.2,0.2
2012-01-03,28079027,,,81.0,69.0,,,194.0,7.0,,,,1.73,1.44,0.29
2012-01-03,28079035,10.0,0.6,72.0,66.0,,,176.0,10.0,,,,,,
2012-01-03,28079036,11.0,0.7,97.0,72.0,,23.0,221.0,,,,,,,
2012-01-03,28079038,9.0,,81.0,58.0,15.0,22.0,181.0,,4.3,0.8,0.6,,,
2012-01-03,28079039,,0.7,118.0,80.0,,,261.0,11.0,,,,,,
2012-01-03,28079040,5.0,,72.0,69.0,,23.0,179.0,,,,,,,
2012-01-03,28079047,,,85.0,78.0,18.0,28.0,209.0,,,,,,,
2012-01-03,28079048,,,63.0,59.0,12.0,20.0,156.0,,,,,,,
2012-01-03,28079049,,,58.0,58.0,,,147.0,6.0,,,,,,
2012-01-03,28079050,,,86.0,68.0,9.0,25.0,201.0,,,,,,,
2012-01-03,28079054,,,80.0,64.0,,,186.0,9.0,,,,,,
2012-01-03,28079055,,,109.0,83.0,,25.0,250.0,,6.0,1.6,1.3,1.81,1.57,0.24
2012-01-03,28079056,,0.9,157.0,93.0,,,334.0,4.0,,,,,,
2012-01-03,28079057,9.0,0.6,83.0,80.0,,22.0,208.0,,,,,,,
2012-01-03,28079058,,,34.0,44.0,,,96.0,16.0,,,,,,
2012-01-03,28079059,,,68.0,60.0,,,165.0,8.0,,,,,,
2012-01-03,28079060,,,79.0,67.0,,21.0,189.0,13.0,,,,,,
2012-01-04,28079004,12.0,1.0,199.0,61.0,,,366.0,,,,,,,
2012-01-04,28079008,18.0,0.7,147.0,77.0,22.0,37.0,302.0,9.0,9.4,2.4,2.4,1.68,1.37,0.32
2012-01-04,28079011,,,191.0,90.0,,,383.0,,12.9,3.6,1.5,,,
2012-01-04,28079016,,0.9,155.0,85.0,,,323.0,5.0,,,,,,
2012-01-04,28079017,7.0,,204.0,88.0,,,400.0,6.0,,,,,,
2012-01-04,28079018,8.0,0.9,120.0,70.0,,29.0,254.0,6.0,4.4,0.7,0.3,,,
2012-01-04,28079024,5.0,0.5,73.0,62.0,17.0,23.0,174.0,6.0,5.2,1.3,1.0,1.54,1.29,0.25
2012-01-04,28079027,,,134.0,82.0,,,287.0,6.0,,,,1.74,1.41,0.33
2012-01-04,28079035,12.0,0.7,117.0,79.0,,,258.0,5.0,,,,,,
2012-01-04,28079036,16.0,0.9,155.0,80.0,,33.0,318.0,,,,,,,
2012-01-04,28079038,15.0,,158.0,85.0,23.0,35.0,327.0,,12.7,1.7,2.0,,,
2012-01-04,28079039,,1.1,218.0,106.0,,,439.0,5.0,,,,,,
2012-01-04,28079040,6.0,,113.0,73.0,,29.0,247.0,,,,,,,
2012-01-04,28079047,,,135.0,88.0,23.0,37.0,295.0,,,,,,,
2012-01-04,28079048,,,150.0,81.0,20.0,36.0,311.0,,,,,,,
2012-01-04,28079049,,,99.0,63.0,,,215.0,6.0,,,,,,
2012-01-04,28079050,,,184.0,95.0,13.0,40.0,377.0,,,,,,,
2012-01-04,28079054,,,153.0,77.0,,,311.0,11.0,,,,,,
2012-01-04,28079055,,,191.0,103.0,,32.0,396.0,,7.6,2.3,1.5,1.83,1.55,0.28
2012-01-04,28079056,,1.1,210.0,103.0,,,426.0,3.0,,,,,,
2012-01-04,28079057,14.0,0.9,171.0,107.0,,34.0,370.0,,,,,,,
2012-01-04,28079058,,,62.0,60.0,,,155.0,7.0,,,,,,
2012-01-04,28079059,,,124.0,72.0,,,262.0,9.0,,,,,,
2012-01-04,28079060,,,134.0,86.0,,27.0,292.0,6.0,,,,,,
2012-01-05,28079004,14.0,1.2,245.0,64.0,,,440.0,,,,,,,
2012-01-05,28079008,21.0,1.0,248.0,100.0,34.0,49.0,480.0,5.0,15.8,3.6,4.6,2.07,1.62,0.46
2012-01-05,28079011,,,210.0,95.0,,,418.0,,17.3,4.3,1.8,,,
2012-01-05,28079016,,1.1,201.0,99.0,,,408.0,3.0,,,,,,
2012-01-05,28079017,9.0,,269.0,98.0,,,511.0,5.0,,,,,,
2012-01-05,28079018,10.0,1.1,155.0,76.0,,34.0,314.0,4.0,4.2,0.7,0.3,,,
2012-01-05,28079024,6.0,0.6,89.0,64.0,20.0,24.0,200.0,6.0,6.6,1.5,1.3,1.6,1.33,0.28
2012-01-05,28079027,,,167.0,87.0,,,343.0,5.0,,,,2.1,1.69,0.42
2012-01-05,28079035,16.0,1.1,178.0,93.0,,,365.0,4.0,,,,,,
2012-01-05,28079036,16.0,1.2,230.0,95.0,,40.0,448.0,,,,,,,
2012-01-05,28079038,19.0,,248.0,105.0,32.0,47.0,486.0,,20.5,3.3,3.6,,,
2012-01-05,28079039,,1.3,282.0,118.0,,,550.0,4.0,,,,,,
2012-01-05,28079040,8.0,,173.0,92.0,,45.0,357.0,,,,,,,
2012-01-05,28079047,,,169.0,93.0,28.0,40.0,352.0,,,,,,,
