date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2019-01-01,2462,1894,6.4,0.0,1.6,11.3,36.0,3.3,8.9,7.9,823.1,821.7
2019-01-01,3100B,540,4.8,0.0,-4.8,14.4,12.0,0.6,5.3,,,
2019-01-01,3110C,1030,4.2,0.0,-5.4,13.7,29.0,0.8,4.4,,915.3,913.3
2019-01-01,3111D,1450,-1.0,0.0,-4.9,3.0,31.0,1.7,8.3,,,
2019-01-01,3129,609,5.8,0.0,-3.5,15.2,99.0,0.6,3.6,8.4,963.8,961.2
2019-01-01,3175,607,5.2,0.0,-3.8,14.1,2.0,1.1,5.3,9.1,960.2,957.8
2019-01-01,3191E,1004,8.8,0.0,5.0,12.6,15.0,0.3,3.6,8.4,915.0,914.0
2019-01-01,3194U,664,5.9,0.0,-3.0,14.8,24.0,0.3,3.6,,,
2019-01-01,3195,667,6.6,0.0,1.4,11.7,6.0,0.3,5.3,,953.9,951.5
2019-01-01,3196,690,7.5,0.0,0.0,15.0,9.0,1.1,3.6,9.0,951.2,949.3
2019-01-01,3200,620,6.4,0.0,-1.4,14.2,14.0,1.1,3.6,9.0,959.5,957.3
2019-01-01,3266A,1532,4.4,0.0,-0.5,9.2,10.0,5.6,11.7,,859.7,858.0
2019-01-01,3338,763,6.8,0.0,-0.3,14.0,34.0,0.8,9.2,,942.4,940.2
2019-01-02,2462,1894,5.2,0.0,-0.8,11.3,4.0,2.8,11.4,7.9,822.0,818.8
2019-01-02,3100B,540,4.0,0.0,-5.2,13.1,10.0,0.8,4.2,,,
2019-01-02,3110C,1030,5.8,0.0,-3.8,15.5,1.0,1.1,6.1,,914.3,909.8
2019-01-02,3111D,1450,-0.2,0.2,-4.4,4.1,99.0,1.7,7.5,,,
2019-01-02,3129,609,4.4,0.0,-4.6,13.5,99.0,1.4,4.2,8.5,962.4,957.5
2019-01-02,3175,607,4.8,0.0,-4.4,14.1,1.0,1.1,6.1,9.1,958.7,954.1
2019-01-02,3191E,1004,8.6,0.0,3.0,14.3,22.0,0.8,4.2,8.4,914.0,911.2
2019-01-02,3194U,664,5.5,0.0,-3.9,14.9,7.0,0.6,8.9,,,
2019-01-02,3195,667,6.0,0.0,0.4,11.7,6.0,0.6,7.8,,952.5,948.3
2019-01-02,3196,690,6.8,0.0,-0.5,14.2,99.0,1.7,4.2,9.1,949.8,945.6
2019-01-02,3200,620,6.5,0.0,-1.6,14.6,5.0,1.4,6.7,8.1,958.2,953.7
2019-01-02,3266A,1532,3.2,0.0,-1.6,8.0,10.0,5.0,15.8,,858.4,855.0
2019-01-02,3338,763,8.0,0.0,0.8,15.2,31.0,1.1,9.2,,940.8,936.5
2019-01-03,2462,1894,7.6,0.0,2.7,12.6,15.0,1.9,8.9,7.3,819.5,818.0
2019-01-03,3100B,540,4.4,0.0,-5.2,14.0,12.0,0.3,5.8,,,
2019-01-03,3110C,1030,2.6,0.0,-6.6,11.7,7.0,1.1,3.6,,912.9,910.3
2019-01-03,3111D,1450,4.6,0.0,-0.4,9.5,32.0,2.2,10.3,,,
2019-01-03,3129,609,5.3,0.0,-3.4,14.0,99.0,1.4,4.2,6.9,961.0,958.5
2019-01-03,3175,607,5.8,0.0,-3.0,14.5,4.0,1.7,5.6,7.4,957.4,955.1
2019-01-03,3191E,1004,6.8,0.0,2.7,11.0,7.0,0.6,8.9,6.7,912.6,911.5
2019-01-03,3194U,664,5.6,0.0,-2.3,13.6,8.0,0.8,6.7,,,
2019-01-03,3195,667,7.3,0.0,2.8,11.8,5.0,0.6,7.8,,951.4,949.0
2019-01-03,3196,690,7.0,0.0,1.1,12.9,11.0,1.7,5.3,7.7,948.5,946.4
2019-01-03,3200,620,6.8,0.0,0.0,13.5,7.0,1.4,4.7,8.2,956.7,954.4
2019-01-03,3266A,1532,4.9,0.0,1.7,8.1,30.0,4.4,9.7,,856.1,854.2
2019-01-03,3338,763,6.2,0.0,0.3,12.0,10.0,1.4,4.7,,939.5,937.4
2019-01-04,2462,1894,6.0,0.0,1.7,10.2,15.0,1.4,8.3,8.0,822.7,818.5
2019-01-04,3100B,540,4.0,0.0,-5.0,13.1,10.0,0.6,3.6,,,
2019-01-04,3110C,1030,3.4,0.0,-6.4,13.2,28.0,0.6,3.3,,915.3,911.8
2019-01-04,3111D,1450,5.9,0.0,0.7,11.1,20.0,2.2,11.7,,,
2019-01-04,3129,609,5.2,0.0,-4.0,14.4,22.0,0.8,4.7,8.4,963.4,960.0
2019-01-04,3175,607,4.6,0.0,-4.5,13.8,3.0,1.9,6.7,9.0,959.8,956.5
2019-01-04,3191E,1004,8.4,0.0,3.5,13.2,13.0,0.3,3.6,8.3,915.1,912.3
2019-01-04,3194U,664,5.6,0.0,-3.6,14.8,99.0,0.3,2.8,,,
2019-01-04,3195,667,5.9,0.0,0.4,11.4,6.0,0.3,3.6,,952.9,949.9
2019-01-04,3196,690,7.1,0.0,-0.3,14.5,28.0,1.1,4.7,9.1,950.8,947.4
2019-01-04,3200,620,5.9,0.0,-0.8,12.6,21.0,0.6,3.6,9.0,960.0,955.6
2019-01-04,3266A,1532,5.2,0.0,0.8,9.6,99.0,2.5,6.1,,859.4,854.9
2019-01-04,3338,763,6.0,0.0,-1.7,13.6,19.0,0.6,3.3,,941.9,938.6
2019-01-05,2462,1894,7.2,0.0,1.8,12.5,3.0,3.1,8.3,8.2,824.3,822.4
2019-01-05,3100B,540,3.1,0.0,-6.3,12.5,10.0,0.6,3.6,,,
2019-01-05,3110C,1030,5.0,0.0,-6.6,16.6,34.0,1.7,5.8,,916.9,914.5
2019-01-05,3111D,1450,3.7,0.0,-1.3,8.7,26.0,0.6,6.9,,,
2019-01-05,3129,609,4.2,0.0,-4.8,13.1,22.0,1.4,4.7,8.5,965.7,962.4
2019-01-05,3175,607,4.1,0.0,-5.2,13.4,2.0,1.1,5.6,9.1,962.1,959.0
2019-01-05,3191E,1004,9.2,0.0,3.9,14.6,14.0,0.3,7.8,8.4,916.5,915.1
2019-01-05,3194U,664,5.2,0.0,-4.0,14.4,26.0,0.3,2.5,,,
2019-01-05,3195,667,5.4,0.0,-0.1,10.8,9.0,0.6,3.1,,955.2,952.5
2019-01-05,3196,690,6.8,0.0,-1.0,14.5,28.0,0.6,4.7,9.0,953.0,950.4
2019-01-05,3200,620,5.6,0.0,-2.2,13.4,32.0,0.6,3.6,9.0,961.4,958.4
2019-01-05,3266A,1532,5.3,0.0,0.6,10.0,11.0,3.1,7.8,,861.0,858.9
2019-01-05,3338,763,6.2,0.0,-2.0,14.4,13.0,0.6,5.0,,944.1,941.3
2019-01-06,2462,1894,4.6,0.0,0.9,8.2,35.0,3.3,11.9,8.0,823.3,821.0
2019-01-06,3100B,540,3.7,0.0,-7.0,14.4,99.0,0.6,4.4,,,
2019-01-06,3110C,1030,5.3,0.0,-3.1,13.7,34.0,3.3,10.3,,915.7,912.5
2019-01-06,3111D,1450,-0.6,3.3,-3.1,1.8,32.0,1.1,9.2,,,
2019-01-06,3129,609,5.0,0.0,-5.7,15.7,19.0,1.7,5.0,8.6,963.5,959.5
2019-01-06,3175,607,5.6,0.0,-5.9,17.0,6.0,1.7,6.7,9.1,959.8,956.0
2019-01-06,3191E,1004,10.5,0.0,5.9,15.1,3.0,3.9,9.2,8.4,915.5,913.1
2019-01-06,3194U,664,6.4,0.0,-4.2,17.0,30.0,0.6,3.3,,,
2019-01-06,3195,667,6.6,0.0,-0.5,13.8,2.0,1.1,3.3,,953.3,950.2
2019-01-06,3196,690,6.8,0.0,-2.0,15.6,29.0,1.4,5.6,9.1,950.8,947.8
2019-01-06,3200,620,6.6,0.0,-2.8,16.0,34.0,0.8,4.2,8.5,959.1,955.6
2019-01-06,3266A,1532,2.3,0.0,-1.4,6.0,99.0,4.4,7.8,,860.0,857.5
2019-01-06,3338,763,8.0,0.0,-0.6,16.7,9.0,1.4,5.3,,941.8,938.7
2019-01-07,2462,1894,4.1,0.0,1.2,7.0,36.0,2.8,7.2,8.1,821.8,820.0
2019-01-07,3100B,540,4.0,0.0,-7.3,15.4,25.0,0.8,3.6,,,
2019-01-07,3110C,1030,5.0,0.0,-3.7,13.7,32.0,1.9,10.0,,914.0,911.6
2019-01-07,3111D,1450,-1.6,0.1,-4.5,1.3,35.0,0.3,5.6,,,
2019-01-07,3129,609,5.8,0.0,-4.4,16.0,99.0,2.5,5.0,8.6,962.0,958.8
2019-01-07,3175,607,6.6,0.0,-4.7,17.8,6.0,1.1,8.3,9.1,958.5,955.4
2019-01-07,3191E,1004,10.6,0.0,5.1,16.0,6.0,1.7,8.3,8.5,913.7,912.2
2019-01-07,3194U,664,6.6,0.0,-3.5,16.7,15.0,0.6,3.6,,,
2019-01-07,3195,667,7.1,0.0,0.5,13.7,8.0,0.6,5.0,,951.2,948.6
2019-01-07,3196,690,8.4,0.0,0.4,16.4,10.0,0.8,5.3,9.2,949.5,947.0
2019-01-07,3200,620,7.1,0.0,-2.0,16.2,5.0,1.4,5.6,9.2,957.7,955.0
2019-01-07,3266A,1532,2.6,0.0,-1.7,6.8,9.0,4.7,10.0,,858.7,856.7
2019-01-07,3338,763,8.7,0.0,0.0,17.4,32.0,1.4,5.6,,940.2,937.7
2019-01-08,2462,1894,6.2,0.0,1.4,10.9,2.0,2.8,11.1,8.1,821.3,818.4
2019-01-08,3100B,540,4.4,0.0,-4.9,13.7,26.0,1.1,3.6,,,
2019-01-08,3110C,1030,5.2,0.0,-4.7,15.2,34.0,1.7,12.2,,913.7,910.1
2019-01-08,3111D,1450,-0.8,0.8,-3.0,1.4,16.0,1.7,5.8,,,
2019-01-08,3129,609,5.4,0.0,-3.7,14.4,99.0,1.4,4.2,8.6,962.5,957.3
2019-01-08,3175,607,6.2,0.0,-3.6,15.9,2.0,1.4,6.1,9.1,959.0,953.8
2019-01-08,3191E,1004,9.0,0.0,4.0,14.0,36.0,0.3,7.8,8.5,913.9,910.2
2019-01-08,3194U,664,6.3,0.0,-3.4,16.0,32.0,0.8,4.4,,,
2019-01-08,3195,667,7.1,0.0,1.2,13.0,34.0,0.8,3.6,,952.5,947.8
2019-01-08,3196,690,7.5,0.0,0.4,14.6,29.0,1.7,5.3,9.2,950.1,945.2
2019-01-08,3200,620,7.5,0.0,-0.6,15.6,35.0,1.9,5.3,9.2,958.2,953.3
2019-01-08,3266A,1532,3.8,0.0,-0.5,8.0,8.0,4.2,11.4,,858.1,854.1
2019-01-08,3338,763,7.0,0.0,-0.5,14.4,30.0,1.4,6.7,,941.1,936.3
2019-01-09,2462,1894,-0.8,0.0,-3.5,2.0,36.0,5.3,12.8,3.6,818.5,811.5
2019-01-09,3100B,540,5.0,0.0,-4.5,14.5,3.0,1.7,7.5,,,
2019-01-09,3110C,1030,4.4,0.0,0.1,8.7,34.0,2.8,11.9,,910.2,903.9
2019-01-09,3111D,1450,0.2,5.0,-1.2,1.5,35.0,4.2,16.1,,,
2019-01-09,3129,609,6.2,0.0,-2.5,14.8,34.0,4.4,12.5,8.6,957.4,950.8
2019-01-09,3175,607,6.3,0.0,-2.1,14.7,35.0,5.6,15.6,8.8,954.0,947.2
2019-01-09,3191E,1004,8.5,0.0,3.8,13.2,36.0,4.4,11.9,8.6,910.2,903.7
2019-01-09,3194U,664,7.0,0.0,-1.5,15.5,5.0,1.7,7.8,,,
2019-01-09,3195,667,7.6,0.0,2.0,13.2,3.0,1.4,9.7,,948.2,941.3
2019-01-09,3196,690,8.0,0.0,1.5,14.6,3.0,0.8,6.7,9.2,945.2,938.9
