date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2016-01-01,2462,1894,1.6,15.2,-0.9,4.1,27.0,8.3,23.1,0.0,815.0,809.5
2016-01-01,3100B,540,12.8,9.7,7.6,18.0,,,,,,
2016-01-01,3110C,1030,5.2,0.0,3.0,7.3,29.0,1.1,10.0,,900.4,892.4
2016-01-01,3111D,1450,4.1,11.8,2.3,5.9,17.0,4.4,11.9,,862.7,856.3
2016-01-01,3129,609,11.4,1.7,8.2,14.5,19.0,3.6,12.5,0.1,956.6,948.2
2016-01-01,3175,607,11.1,1.3,7.5,14.7,21.0,3.1,16.1,0.1,953.0,944.9
2016-01-01,3191E,1004,7.0,11.4,5.1,9.0,27.0,1.7,13.9,0.0,909.6,902.6
2016-01-01,3194U,664,10.2,1.6,7.3,13.2,23.0,1.4,9.2,,,
2016-01-01,3195,667,11.3,3.2,8.2,14.4,26.0,1.9,8.9,,946.9,939.6
2016-01-01,3196,690,10.8,3.9,7.6,14.0,23.0,3.9,10.8,0.5,944.6,936.7
2016-01-01,3200,620,11.6,2.9,7.8,15.4,21.0,2.5,13.6,1.5,952.5,944.5
2016-01-01,3266A,1532,3.2,20.8,0.8,5.6,31.0,3.3,20.0,,852.2,846.1
2016-01-01,3338,763,,,,,,,,,940.1,932.4
2016-01-02,2462,1894,-2.2,2.6,-3.6,-0.7,30.0,4.7,15.8,0.0,813.8,810.1
2016-01-02,3100B,540,7.4,,1.6,13.2,,,,,,
2016-01-02,3110C,1030,2.5,0.1,-2.3,7.3,25.0,1.9,9.7,,900.3,894.5
2016-01-02,3111D,1450,1.8,0.5,0.0,3.7,6.0,1.4,10.6,,861.6,857.6
2016-01-02,3129,609,7.2,0.0,2.3,12.1,22.0,4.7,15.3,5.4,955.2,950.5
2016-01-02,3175,607,6.4,0.0,1.2,11.5,26.0,2.8,11.4,6.1,951.5,947.1
2016-01-02,3191E,1004,5.6,0.0,2.9,8.2,28.0,3.6,13.3,5.9,907.0,902.8
2016-01-02,3194U,664,7.8,0.0,3.4,12.3,31.0,3.1,9.7,,,
2016-01-02,3195,667,8.2,0.0,5.0,11.4,28.0,1.9,9.2,,945.2,940.9
2016-01-02,3196,690,7.2,0.0,3.5,10.9,26.0,4.2,10.8,6.3,943.3,938.9
2016-01-02,3200,620,7.8,0.0,3.2,12.4,29.0,4.2,11.9,6.1,951.1,947.1
2016-01-02,3266A,1532,-0.4,0.6,-2.2,1.3,31.0,7.8,18.3,,850.7,846.3
2016-01-02,3338,763,,,,,,,,,939.2,934.6
2016-01-03,2462,1894,1.4,24.9,-3.3,6.0,28.0,7.5,24.7,0.0,811.9,804.5
2016-01-03,3110C,1030,3.7,0.1,-1.9,9.3,6.0,1.7,6.1,,898.7,884.6
2016-01-03,3111D,1450,4.3,44.9,0.0,8.6,15.0,1.9,16.1,,859.6,850.9
2016-01-03,3129,609,7.3,0.1,2.0,12.6,21.0,3.6,15.3,0.0,953.7,941.6
2016-01-03,3175,607,6.6,0.2,1.1,12.2,23.0,5.3,12.8,0.0,950.3,938.7
2016-01-03,3191E,1004,5.6,1.8,1.5,9.6,23.0,2.5,11.4,0.0,905.7,895.6
2016-01-03,3194U,664,7.8,0.0,3.9,11.6,24.0,1.7,13.9,,,
2016-01-03,3195,667,8.3,0.4,4.7,11.9,22.0,2.5,10.3,,944.1,932.7
2016-01-03,3196,690,7.8,0.6,4.0,11.6,22.0,5.8,16.1,0.0,941.4,930.4
2016-01-03,3200,620,7.4,0.2,3.2,11.6,23.0,4.4,16.1,0.0,949.5,939.5
2016-01-03,3266A,1532,3.6,,-1.8,9.0,29.0,4.4,20.3,,849.1,838.9
2016-01-03,3338,763,,,,,,,,,937.2,925.8
2016-01-04,2462,1894,2.4,24.1,-1.3,6.0,23.0,8.1,32.8,0.0,804.5,797.2
2016-01-04,3100B,540,11.0,9.0,7.5,14.6,,,,,,
2016-01-04,3110C,1030,8.6,0.1,3.2,14.0,25.0,1.9,15.0,,885.2,877.6
2016-01-04,3111D,1450,4.8,34.0,0.0,9.7,99.0,2.2,16.7,,851.0,843.4
2016-01-04,3129,609,11.0,3.7,7.4,14.6,24.0,11.7,24.7,0.2,941.6,934.6
2016-01-04,3175,607,10.2,3.7,5.9,14.4,23.0,10.8,22.2,0.7,938.7,931.2
2016-01-04,3191E,1004,7.8,11.9,4.9,10.8,24.0,7.8,22.2,0.1,895.6,887.1
2016-01-04,3194U,664,9.4,2.0,5.9,13.0,23.0,7.2,20.8,,,
2016-01-04,3195,667,10.2,4.1,6.8,13.5,26.0,6.4,23.3,,933.1,925.6
2016-01-04,3196,690,9.7,4.4,6.4,13.0,24.0,11.4,22.8,0.0,930.4,923.1
2016-01-04,3200,620,10.6,3.7,7.4,13.8,25.0,8.3,24.2,1.2,939.5,930.8
2016-01-04,3266A,1532,4.1,34.0,-1.8,10.0,29.0,9.4,23.6,,839.6,832.2
2016-01-04,3338,763,,,,,,,,,925.8,918.7
2016-01-05,2462,1894,-3.1,4.6,-5.5,-0.7,29.0,4.7,19.7,0.0,804.1,798.5
2016-01-05,3100B,540,6.8,0.0,2.1,11.4,,,,,,
2016-01-05,3110C,1030,2.6,0.0,0.0,5.1,29.0,1.7,13.1,,889.9,882.3
2016-01-05,3111D,1450,-0.6,2.3,-2.5,1.4,8.0,1.9,12.8,,851.9,846.0
2016-01-05,3129,609,7.6,0.0,5.1,10.1,99.0,6.9,14.4,5.7,945.4,937.9
2016-01-05,3175,607,6.0,0.0,2.7,9.4,30.0,5.6,15.6,7.8,941.9,934.4
2016-01-05,3191E,1004,4.2,0.0,2.0,6.4,32.0,3.6,16.1,7.8,897.0,891.0
2016-01-05,3194U,664,6.2,0.0,2.5,10.0,27.0,4.2,13.3,,,
2016-01-05,3195,667,6.8,0.0,4.1,9.6,27.0,3.1,11.9,,936.2,928.3
2016-01-05,3196,690,6.5,0.0,3.7,9.3,25.0,6.7,15.0,7.3,933.7,926.2
2016-01-05,3200,620,7.0,0.0,4.2,9.8,28.0,4.7,12.8,6.8,941.7,934.0
