date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2017-01-01,28079004,6.0,0.5,55.0,50.0,,,134.0,,,,,,,
2017-01-01,28079008,8.0,0.2,27.0,53.0,20.0,25.0,94.0,16.0,1.4,1.0,0.2,2.03,1.89,0.14
2017-01-01,28079011,,,24.0,49.0,,,86.0,,3.3,2.4,0.1,,,
2017-01-01,28079016,,0.4,10.0,43.0,,,59.0,18.0,,,,,,
2017-01-01,28079017,12.0,,89.0,73.0,,,209.0,12.0,,,,,,
2017-01-01,28079018,10.0,0.6,48.0,54.0,,32.0,128.0,10.0,,,,,,
2017-01-01,28079024,3.0,0.6,25.0,37.0,26.0,30.0,75.0,12.0,1.2,0.7,0.1,1.47,1.36,0.11
2017-01-01,28079027,,,27.0,45.0,,,86.0,11.0,,,,,,
2017-01-01,28079035,9.0,0.5,51.0,55.0,,,132.0,,,,,,,
2017-01-01,28079036,7.0,0.4,30.0,47.0,,30.0,93.0,,,,,,,
2017-01-01,28079038,8.0,,44.0,55.0,22.0,27.0,122.0,,5.0,0.9,,,,
2017-01-01,28079039,,0.5,43.0,53.0,,,120.0,10.0,,,,,,
2017-01-01,28079040,12.0,,23.0,50.0,,25.0,86.0,,,,,,,
2017-01-01,28079047,,,46.0,52.0,28.0,24.0,122.0,,,,,,,
2017-01-01,28079048,,,17.0,44.0,17.0,21.0,71.0,,,,,,,
2017-01-01,28079049,,,18.0,41.0,,,68.0,10.0,,,,,,
2017-01-01,28079050,,,14.0,52.0,21.0,24.0,74.0,,,,,,,
2017-01-01,28079054,,,16.0,36.0,,,60.0,18.0,,,,,,
2017-01-01,28079055,,,36.0,49.0,,28.0,105.0,,1.8,0.9,0.2,1.55,1.31,0.24
2017-01-01,28079056,,0.6,96.0,48.0,,,195.0,14.0,,,,,,
2017-01-01,28079057,15.0,0.5,16.0,45.0,,15.0,69.0,,,,,,,
2017-01-01,28079058,,,15.0,35.0,,,58.0,12.0,,,,,,
2017-01-01,28079059,,,15.0,28.0,,,51.0,21.0,,,,,,
2017-01-01,28079060,,,22.0,58.0,,17.0,91.0,15.0,,,,,,
2017-01-02,28079004,8.0,0.5,59.0,62.0,,,152.0,,,,,,,
2017-01-02,28079008,12.0,0.3,38.0,64.0,21.0,25.0,123.0,16.0,2.5,1.0,0.3,1.87,1.72,0.15
2017-01-02,28079011,,,20.0,47.0,,,78.0,,3.4,2.2,0.2,,,
2017-01-02,28079016,,0.4,17.0,49.0,,,75.0,19.0,,,,,,
2017-01-02,28079017,11.0,,49.0,66.0,,,141.0,14.0,,,,,,
2017-01-02,28079018,8.0,0.5,43.0,64.0,,36.0,130.0,10.0,,,,,,
2017-01-02,28079024,3.0,0.5,15.0,41.0,24.0,29.0,64.0,16.0,1.1,0.4,0.1,1.36,1.26,0.1
2017-01-02,28079027,,,37.0,52.0,,,109.0,13.0,,,,,,
2017-01-02,28079035,5.0,0.5,40.0,63.0,,,124.0,,,,,,,
2017-01-02,28079036,26.0,0.8,41.0,55.0,,33.0,118.0,,,,,,,
2017-01-02,28079038,6.0,,36.0,54.0,20.0,26.0,109.0,,5.8,0.9,,,,
