date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2004-01-01,2462,1894,0.5,10.5,-2.0,3.0,35.0,6.4,16.7,0.0,813.3,809.4
2004-01-01,3100B,540,4.2,0.0,-1.6,9.9,13.0,1.1,6.1,,,
2004-01-01,3110C,1030,6.0,0.2,2.2,9.8,31.0,2.8,10.3,,901.3,894.4
2004-01-01,3129,609,4.3,0.0,-2.1,10.7,22.0,1.1,6.7,5.4,954.9,948.3
2004-01-01,3175,607,4.4,0.0,-1.5,10.3,4.0,1.4,7.2,3.8,950.6,944.1
2004-01-01,3191E,1004,6.3,0.0,1.4,11.2,35.0,1.7,9.7,3.3,907.0,901.7
2004-01-01,3194U,664,11.0,0.0,6.5,15.4,24.0,,12.5,,,
2004-01-01,3195,667,6.6,0.0,1.6,11.7,18.0,1.1,8.3,2.3,944.7,938.3
2004-01-01,3196,690,6.3,0.0,0.6,12.0,29.0,3.1,12.2,4.1,943.0,937.4
2004-01-01,3200,620,5.8,0.0,-0.2,11.8,5.0,1.7,8.6,2.0,950.2,944.3
2004-01-01,3266A,1532,1.4,0.0,-2.1,4.8,29.0,9.4,20.6,,851.6,845.6
2004-01-01,3338,763,9.8,0.0,4.0,15.7,31.0,1.9,13.6,,937.9,931.4
2004-01-02,2462,1894,-2.6,5.6,-4.2,-1.0,36.0,4.4,12.5,0.0,810.2,808.1
2004-01-02,3100B,540,5.6,0.0,0.6,10.7,33.0,1.1,8.3,,,
2004-01-02,3110C,1030,4.4,0.0,3.1,5.7,31.0,1.7,10.6,,898.4,895.5
2004-01-02,3129,609,4.8,0.0,-1.3,10.9,4.0,0.8,10.3,6.6,959.5,948.9
2004-01-02,3175,607,6.4,0.0,0.3,12.5,32.0,2.2,15.0,4.4,947.5,944.1
2004-01-02,3191E,1004,5.2,0.0,1.4,9.0,34.0,4.7,28.9,6.7,904.2,901.0
2004-01-02,3194U,664,5.9,0.0,0.6,11.2,29.0,0.6,9.2,,,
2004-01-02,3195,667,5.9,0.0,2.3,9.5,9.0,0.8,7.5,4.1,942.1,939.0
2004-01-02,3196,690,5.4,0.0,1.0,9.8,31.0,3.1,13.3,5.9,940.7,937.8
2004-01-02,3200,620,5.8,0.0,1.0,10.6,30.0,4.2,12.8,3.5,947.8,945.1
2004-01-02,3266A,1532,-1.2,0.0,-2.6,0.1,27.0,7.8,18.6,,849.8,846.2
2004-01-02,3338,763,7.0,0.0,4.6,9.3,36.0,3.3,16.4,,935.7,932.8
2004-01-03,2462,1894,-1.9,2.8,-3.0,-0.8,36.0,1.7,5.8,0.0,811.3,808.2
2004-01-03,3100B,540,6.6,0.0,1.2,12.1,34.0,1.4,10.3,,,
2004-01-03,3110C,1030,4.8,0.0,3.7,6.0,31.0,4.2,14.7,,899.3,896.4
2004-01-03,3129,609,8.0,0.0,4.7,11.3,4.0,5.8,12.2,7.5,952.6,949.5
2004-01-03,3175,607,8.9,0.0,5.4,12.4,36.0,6.4,13.3,6.5,947.8,945.5
2004-01-03,3191E,1004,6.5,0.0,3.6,9.4,3.0,4.4,15.8,5.5,904.7,901.3
2004-01-03,3194U,664,8.0,0.0,2.9,13.1,5.0,1.1,10.8,,,
2004-01-03,3195,667,7.8,0.0,4.8,10.8,3.0,1.4,14.2,5.6,942.9,939.9
2004-01-03,3196,690,7.5,0.0,3.0,12.0,3.0,3.1,10.3,6.1,941.3,938.3
2004-01-03,3200,620,7.9,0.0,3.0,12.8,1.0,5.3,15.6,7.0,948.2,945.1
2004-01-03,3266A,1532,-0.3,0.0,-1.4,0.8,31.0,8.3,17.8,,850.4,847.1
2004-01-03,3338,763,8.6,0.0,5.5,11.7,99.0,3.6,13.9,,936.3,933.9
2004-01-04,2462,1894,-1.6,2.2,-3.4,0.2,34.0,1.7,3.3,0.0,813.7,810.3
2004-01-04,3100B,540,6.7,0.0,-1.9,15.3,35.0,1.4,5.8,,,
2004-01-04,3110C,1030,4.2,0.0,-0.8,9.2,31.0,3.6,13.6,,901.2,897.2
2004-01-04,3129,609,6.9,0.0,-0.6,14.4,3.0,4.4,10.3,8.6,953.8,950.5
2004-01-04,3175,607,7.3,0.0,0.6,14.0,36.0,4.7,10.3,6.9,949.4,944.7
2004-01-04,3191E,1004,8.7,0.0,4.9,12.5,3.0,3.6,13.3,7.5,906.1,903.9
2004-01-04,3194U,664,8.7,0.0,1.7,15.7,6.0,0.0,5.8,,,
2004-01-04,3195,667,8.1,0.0,2.6,13.6,6.0,2.5,11.1,8.4,943.0,940.3
2004-01-04,3196,690,9.1,0.0,2.2,16.0,7.0,1.1,5.8,8.7,941.9,939.4
2004-01-04,3200,620,7.5,0.0,0.4,14.6,6.0,2.2,8.3,7.9,950.2,946.6
2004-01-04,3266A,1532,1.0,0.0,-0.8,2.9,31.0,5.8,16.4,,852.2,848.7
2004-01-04,3338,763,8.3,0.0,2.3,14.3,30.0,1.7,11.4,,937.0,934.0
2004-01-05,2462,1894,1.1,0.0,-3.4,5.6,21.0,3.1,10.6,8.1,814.9,813.1
2004-01-05,3100B,540,4.9,0.0,-3.9,13.7,12.0,0.6,4.4,,,
2004-01-05,3110C,1030,4.8,0.0,-3.9,13.4,9.0,1.1,3.6,,902.2,898.5
2004-01-05,3129,609,4.2,0.0,-2.7,11.2,21.0,0.8,4.7,5.9,955.9,953.3
2004-01-05,3175,607,5.3,0.0,-2.4,13.0,4.0,0.6,5.3,7.6,951.3,949.4
2004-01-05,3191E,1004,6.0,0.0,1.9,10.0,6.0,1.4,5.3,8.5,906.6,906.1
2004-01-05,3194U,664,5.6,0.0,-1.8,13.1,24.0,0.0,2.2,,,
2004-01-05,3195,667,6.4,0.0,2.3,10.5,24.0,1.1,7.2,8.2,946.1,943.0
2004-01-05,3196,690,7.0,0.0,0.4,13.6,33.0,0.3,11.9,8.9,943.9,941.7
2004-01-05,3200,620,5.7,0.0,-1.0,12.4,9.0,0.0,3.1,8.5,952.1,949.1
2004-01-05,3266A,1532,3.4,0.0,-1.3,8.2,10.0,2.5,5.8,,852.1,849.6
2004-01-05,3338,763,6.2,0.0,-1.6,13.9,99.0,0.3,5.6,,938.4,936.1
2004-01-06,2462,1894,3.4,0.0,-0.5,7.3,22.0,4.7,10.0,7.6,814.3,812.1
2004-01-06,3100B,540,4.6,0.0,-4.0,13.1,10.0,0.6,4.2,,,
2004-01-06,3110C,1030,3.3,0.0,-4.6,11.2,15.0,1.1,3.3,,902.0,898.0
2004-01-06,3129,609,3.4,0.0,-3.6,10.5,36.0,0.8,4.7,8.9,955.7,953.1
2004-01-06,3175,607,4.2,0.0,-3.0,11.5,4.0,0.6,4.2,5.8,951.0,949.3
2004-01-06,3191E,1004,5.4,0.0,2.0,8.7,16.0,0.8,4.2,7.5,907.0,905.7
2004-01-06,3194U,664,4.8,0.0,-2.3,11.8,99.0,0.0,1.7,,,
2004-01-06,3195,667,5.7,0.0,1.2,10.2,4.0,1.1,3.9,5.9,945.4,942.7
2004-01-06,3196,690,5.1,0.0,-0.4,10.6,12.0,0.8,3.1,7.6,943.1,941.9
2004-01-06,3200,620,5.1,0.0,-1.4,11.6,11.0,0.0,3.1,8.6,952.3,948.7
2004-01-06,3266A,1532,3.8,0.0,-0.1,7.7,12.0,2.2,5.3,,851.8,849.6
2004-01-06,3338,763,4.9,0.1,-1.5,11.3,13.0,0.8,4.2,,938.4,936.0
2004-01-07,2462,1894,0.2,0.0,-2.2,2.6,33.0,2.8,9.4,7.5,812.7,811.1
2004-01-07,3100B,540,3.8,0.0,-3.5,11.1,99.0,0.0,3.6,,,
2004-01-07,3110C,1030,2.6,0.0,-3.9,9.2,13.0,0.8,3.6,,901.3,897.3
2004-01-07,3129,609,3.2,0.0,-2.7,9.2,23.0,0.8,6.9,7.6,955.3,952.5
2004-01-07,3175,607,3.6,0.0,-2.4,9.5,20.0,1.1,4.2,6.0,950.9,948.9
2004-01-07,3191E,1004,4.2,0.0,1.6,6.9,17.0,0.8,4.7,6.9,906.2,904.7
2004-01-07,3194U,664,4.4,0.0,-1.4,10.1,23.0,0.0,5.0,,,
2004-01-07,3195,667,5.2,0.0,1.5,8.8,26.0,1.1,5.6,1.6,944.6,942.3
2004-01-07,3196,690,4.1,0.0,-1.6,9.8,24.0,1.1,7.8,6.1,942.9,941.1
2004-01-07,3200,620,4.5,0.0,-1.2,10.2,22.0,1.1,6.7,4.0,950.7,948.6
2004-01-07,3266A,1532,1.6,0.0,-1.7,4.9,30.0,3.9,10.8,,851.1,848.7
2004-01-07,3338,763,4.5,0.2,-1.2,10.2,22.0,0.8,5.6,,938.0,935.3
2004-01-08,2462,1894,2.2,2.3,-1.0,5.5,33.0,5.8,20.0,0.0,814.9,811.9
2004-01-08,3100B,540,5.8,0.0,-0.7,12.2,30.0,1.4,5.8,,,
2004-01-08,3110C,1030,5.4,0.1,-0.2,10.9,28.0,1.1,10.8,,900.7,898.1
2004-01-08,3129,609,5.3,0.0,-0.2,10.8,27.0,3.3,15.8,0.0,955.1,952.2
2004-01-08,3175,607,5.8,0.0,0.5,11.0,23.0,2.2,9.7,0.0,950.5,948.5
2004-01-08,3191E,1004,4.8,0.0,-0.5,10.2,26.0,3.6,13.9,0.0,906.7,904.9
2004-01-08,3194U,664,6.8,0.0,2.8,10.7,24.0,1.1,11.1,,,
2004-01-08,3195,667,6.9,0.0,3.4,10.4,16.0,1.4,12.8,0.0,944.5,942.3
2004-01-08,3196,690,6.0,0.0,2.0,10.0,25.0,3.6,13.3,0.0,942.7,941.4
2004-01-08,3200,620,5.8,0.0,1.0,10.6,25.0,4.2,13.9,0.0,950.7,948.2
2004-01-08,3266A,1532,3.9,0.0,-0.2,8.0,28.0,6.7,21.1,,851.1,848.3
2004-01-09,2462,1894,3.2,0.9,2.2,4.3,34.0,8.1,20.3,0.0,818.5,814.5
2004-01-09,3100B,540,,,,,,1.9,,,,
2004-01-09,3110C,1030,10.8,0.0,9.5,12.0,27.0,2.2,10.0,,905.1,899.8
2004-01-09,3129,609,12.2,0.0,8.1,16.2,25.0,6.9,13.9,3.5,958.9,954.2
2004-01-09,3175,607,11.3,0.0,6.4,16.2,23.0,4.4,9.2,2.6,954.6,950.3
2004-01-09,3191E,1004,9.9,0.0,5.9,13.9,29.0,1.1,11.9,2.1,911.3,906.7
2004-01-09,3194U,664,12.5,0.0,10.0,15.0,29.0,0.8,11.4,,,
2004-01-09,3195,667,11.8,0.0,9.2,14.4,27.0,1.4,9.7,0.0,948.7,944.1
2004-01-09,3196,690,11.9,0.0,7.4,16.4,25.0,6.1,13.3,3.3,947.0,942.5
2004-01-09,3200,620,11.9,0.0,8.4,15.4,25.0,5.8,11.7,4.0,954.6,950.5
2004-01-09,3266A,1532,5.5,0.0,4.5,6.5,30.0,12.2,25.6,,855.5,850.7
2004-01-09,3338,763,11.6,0.0,7.6,15.6,32.0,0.8,10.3,,942.4,937.9
2004-01-10,2462,1894,4.8,0.1,2.0,7.6,36.0,4.2,14.2,4.2,820.7,818.2
2004-01-10,3100B,540,10.2,0.0,4.2,16.1,23.0,1.1,5.0,,,
2004-01-10,3110C,1030,9.4,0.0,5.2,13.5,34.0,3.3,10.6,,906.2,903.5
2004-01-10,3129,609,9.6,0.0,3.4,15.7,27.0,2.2,8.1,8.1,960.9,957.0
2004-01-10,3175,607,10.6,0.0,4.7,16.6,20.0,1.4,5.3,6.0,956.7,953.5
2004-01-10,3191E,1004,10.3,0.0,6.6,14.0,17.0,1.9,5.3,6.7,912.9,910.3
2004-01-10,3194U,664,12.0,0.0,6.7,17.3,31.0,0.0,9.4,,,
2004-01-10,3195,667,12.2,0.0,8.4,16.0,25.0,1.1,7.8,6.0,950.5,947.0
2004-01-10,3196,690,12.0,0.0,8.0,16.0,27.0,3.3,11.4,6.6,948.7,945.9
2004-01-10,3200,620,11.7,0.3,7.2,16.2,26.0,3.1,8.6,7.1,956.6,953.1
2004-01-10,3266A,1532,5.0,0.0,4.1,5.8,30.0,9.4,17.8,,857.9,854.8
2004-01-10,3338,763,13.8,0.0,10.7,17.0,31.0,2.8,13.6,,943.3,940.0
2004-01-11,2462,1894,3.5,0.1,2.5,4.5,36.0,5.3,11.4,0.0,819.0,817.4
2004-01-11,3100B,540,6.8,0.1,4.8,8.7,11.0,0.8,3.9,,,
2004-01-11,3110C,1030,8.6,0.0,4.3,13.0,6.0,1.9,10.0,,905.4,902.8
2004-01-11,3129,609,5.8,0.0,3.0,8.5,21.0,1.1,5.0,0.0,960.1,957.9
2004-01-11,3175,607,5.8,0.2,3.0,8.6,18.0,0.3,3.1,0.0,955.8,954.2
2004-01-11,3191E,1004,6.4,0.2,3.0,9.7,16.0,1.4,5.3,1.2,912.1,910.2
2004-01-11,3194U,664,7.2,0.0,4.7,9.8,17.0,0.0,2.8,,,
2004-01-11,3195,667,7.5,0.0,5.5,9.5,20.0,1.1,3.3,0.0,949.7,947.4
2004-01-11,3196,690,6.2,0.1,3.0,9.4,18.0,1.7,3.6,0.0,947.9,946.3
2004-01-11,3200,620,7.0,0.0,4.4,9.6,26.0,0.8,3.6,0.0,955.4,953.8
2004-01-11,3266A,1532,5.8,0.0,4.7,6.8,29.0,8.1,15.0,,856.2,853.5
2004-01-11,3338,763,7.6,0.0,2.8,12.5,32.0,0.8,6.4,,942.8,940.3
2004-01-12,2462,1894,3.0,0.0,1.4,4.7,36.0,5.3,11.4,1.3,818.7,816.5
2004-01-12,3100B,540,7.8,0.3,5.2,10.3,13.0,1.1,4.4,,,
2004-01-12,3110C,1030,6.8,0.0,1.0,12.6,30.0,0.6,11.4,,905.0,901.6
2004-01-12,3129,609,7.3,0.0,5.8,8.8,23.0,2.2,8.6,0.0,959.7,956.6
2004-01-12,3175,607,7.5,0.0,6.4,8.6,20.0,2.2,5.3,0.0,955.8,952.1
2004-01-12,3191E,1004,4.1,0.4,1.8,6.4,14.0,1.4,5.3,0.0,912.1,909.3
2004-01-12,3194U,664,8.0,0.3,6.6,9.3,26.0,0.3,3.9,,,
2004-01-12,3195,667,7.8,0.0,6.5,9.2,14.0,0.8,4.7,0.0,949.3,946.9
