date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2018-01-01,2462,1894,-1.9,5.5,-4.9,1.1,27.0,5.6,21.4,2.3,821.2,819.0
2018-01-01,3100B,540,5.7,0.0,-0.2,11.6,28.0,3.1,11.7,,,
2018-01-01,3110C,1030,,0.0,,,29.0,4.2,19.2,,915.0,911.6
2018-01-01,3111D,1450,1.4,3.7,-1.0,3.9,15.0,1.9,13.1,,869.6,867.2
2018-01-01,3129,609,7.3,0.0,1.9,12.7,19.0,5.6,15.3,4.7,964.3,960.5
2018-01-01,3175,607,5.6,0.0,-0.3,11.6,23.0,3.1,11.4,5.7,960.9,957.2
2018-01-01,3191E,1004,6.1,0.0,1.9,10.3,27.0,6.9,19.2,6.0,915.3,911.5
2018-01-01,3194U,664,6.9,0.0,1.7,12.1,23.0,1.7,9.7,,,
2018-01-01,3195,667,7.6,0.0,3.6,11.6,27.0,3.1,10.0,,954.3,950.7
2018-01-01,3196,690,6.2,0.0,1.5,11.0,26.0,5.3,11.9,5.9,952.2,949.3
2018-01-01,3200,620,5.8,0.0,1.0,10.6,24.0,6.1,11.4,5.9,960.2,957.2
2018-01-01,3266A,1532,-0.2,0.0,-3.3,2.9,99.0,12.8,25.8,,857.5,854.4
2018-01-01,3338,763,6.2,0.0,0.7,11.7,,,,,,
2018-01-02,2462,1894,1.8,15.4,-0.7,4.4,32.0,5.0,20.3,0.0,823.4,820.1
2018-01-02,3100B,540,8.6,0.0,4.2,13.1,28.0,1.9,7.8,,,
2018-01-02,3110C,1030,,0.0,,,,,,,,
2018-01-02,3111D,1450,4.4,8.8,2.1,6.8,17.0,1.7,11.7,,870.8,868.1
2018-01-02,3129,609,10.8,0.0,7.3,14.3,22.0,4.2,16.1,4.7,963.9,961.3
2018-01-02,3175,607,8.6,0.0,3.2,14.1,21.0,3.1,9.2,5.5,960.6,957.9
2018-01-02,3191E,1004,8.6,0.0,5.6,11.7,29.0,2.5,15.6,4.4,915.9,913.5
2018-01-02,3194U,664,10.4,0.0,6.3,14.6,27.0,2.8,14.2,,,
2018-01-02,3195,667,10.4,0.0,7.5,13.4,29.0,2.5,11.4,,954.3,952.2
2018-01-02,3196,690,9.4,0.0,5.5,13.2,29.0,4.2,11.9,7.0,952.2,949.6
2018-01-02,3200,620,8.8,0.0,6.0,11.6,29.0,4.2,15.6,5.7,960.1,957.6
2018-01-02,3266A,1532,3.4,4.8,0.8,6.1,23.0,9.4,25.8,,859.4,855.1
2018-01-02,3338,763,10.6,0.0,7.8,13.4,,,,,,
2018-01-03,2462,1894,4.8,3.2,4.2,5.4,33.0,4.7,18.1,0.0,824.8,822.1
