station,date,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
28079004,2016-01-01,8.0,0.4,28.0,40.0,,,83.0,,,,,,,
28079008,2016-01-01,14.0,0.3,17.0,43.0,15.0,20.0,69.0,23.0,1.1,0.7,0.2,1.49,1.43,0.06
28079011,2016-01-01,,,13.0,41.0,,,61.0,,2.9,1.5,0.2,,,
28079016,2016-01-01,,0.3,11.0,41.0,,,58.0,20.0,,,,,,
28079017,2016-01-01,7.0,,6.0,30.0,,,39.0,25.0,,,,,,
28079018,2016-01-01,5.0,0.3,17.0,37.0,,15.0,63.0,24.0,0.8,0.4,0.1,,,
28079024,2016-01-01,2.0,0.2,8.0,21.0,10.0,11.0,34.0,26.0,1.1,0.4,0.1,1.25,1.23,0.02
28079027,2016-01-01,,,10.0,34.0,,,48.0,21.0,,,,,,
28079035,2016-01-01,6.0,0.4,12.0,40.0,,,58.0,22.0,,,,,,
28079036,2016-01-01,9.0,0.3,11.0,33.0,,12.0,50.0,,,,,,,
28079038,2016-01-01,11.0,,12.0,35.0,12.0,17.0,53.0,,3.9,0.2,0.2,,,
28079039,2016-01-01,,0.4,13.0,41.0,,,60.0,23.0,,,,,,
28079040,2016-01-01,6.0,,6.0,31.0,,11.0,41.0,,,,,,,
28079047,2016-01-01,,,5.0,34.0,14.0,20.0,42.0,,,,,,,
28079048,2016-01-01,,,10.0,41.0,11.0,16.0,57.0,,,,,,,
28079049,2016-01-01,,,6.0,31.0,,,41.0,23.0,,,,,,
28079050,2016-01-01,,,23.0,45.0,13.0,19.0,80.0,,,,,,,
28079054,2016-01-01,,,4.0,18.0,,,24.0,44.0,,,,,,
28079055,2016-01-01,,,17.0,39.0,,11.0,64.0,,1.4,0.7,0.3,1.64,1.5,0.14
28079056,2016-01-01,,0.3,25.0,43.0,,,81.0,31.0,,,,,,
28079057,2016-01-01,14.0,0.4,12.0,36.0,,11.0,54.0,,,,,,,
28079058,2016-01-01,,,6.0,17.0,,,25.0,19.0,,,,,,
28079059,2016-01-01,,,9.0,18.0,,,32.0,39.0,,,,,,
28079060,2016-01-01,,,11.0,44.0,,12.0,61.0,39.0,,,,,,
28079004,2016-01-02,7.0,0.3,21.0,28.0,,,60.0,,,,,,,
28079008,2016-01-02,15.0,0.4,24.0,45.0,7.0,13.0,81.0,32.0,1.2,0.7,0.2,1.34,1.28,0.06
28079011,2016-01-02,,,10.0,26.0,,,41.0,,1.8,1.1,0.2,,,
28079016,2016-01-02,,0.3,8.0,30.0,,,43.0,37.0,,,,,,
28079017,2016-01-02,7.0,,19.0,33.0,,,63.0,36.0,,,,,,
28079018,2016-01-02,3.0,0.2,9.0,27.0,,11.0,40.0,41.0,0.5,0.2,0.1,,,
28079024,2016-01-02,2.0,0.2,3.0,11.0,3.0,6.0,16.0,55.0,0.5,0.3,0.1,1.16,1.13,0.03
28079027,2016-01-02,,,7.0,24.0,,,34.0,45.0,,,,,,
28079035,2016-01-02,3.0,0.2,10.0,34.0,,,50.0,35.0,,,,,,
28079036,2016-01-02,9.0,0.3,12.0,32.0,,10.0,51.0,,,,,,,
28079038,2016-01-02,10.0,,11.0,25.0,5.0,10.0,42.0,,2.1,0.2,0.2,,,
28079039,2016-01-02,,0.3,17.0,30.0,,,56.0,43.0,,,,,,
28079040,2016-01-02,6.0,,9.0,29.0,,10.0,42.0,,,,,,,
28079047,2016-01-02,,,6.0,27.0,5.0,10.0,36.0,,,,,,,
28079048,2016-01-02,,,8.0,29.0,5.0,10.0,41.0,,,,,,,
28079049,2016-01-02,,,5.0,21.0,,,29.0,44.0,,,,,,
28079050,2016-01-02,,,28.0,34.0,6.0,12.0,78.0,,,,,,,
28079054,2016-01-02,,,5.0,23.0,,,31.0,51.0,,,,,,
28079055,2016-01-02,,,19.0,30.0,,7.0,59.0,,1.0,0.6,0.2,1.23,1.07,0.16
28079056,2016-01-02,,0.3,29.0,36.0,,,81.0,48.0,,,,,,
28079057,2016-01-02,14.0,0.3,12.0,31.0,,7.0,49.0,,,,,,,
28079058,2016-01-02,,,3.0,13.0,,,17.0,41.0,,,,,,
28079059,2016-01-02,,,7.0,13.0,,,23.0,61.0,,,,,,
28079060,2016-01-02,,,7.0,28.0,,7.0,39.0,59.0,,,,,,
28079004,2016-01-03,6.0,0.3,14.0,31.0,,,52.0,,,,,,,
28079008,2016-01-03,14.0,0.4,19.0,43.0,6.0,11.0,73.0,24.0,1.0,0.7,0.2,1.37,1.31,0.06
28079011,2016-01-03,,,5.0,26.0,,,34.0,,,,,,,
28079016,2016-01-03,,0.4,12.0,39.0,,,57.0,23.0,,,,,,
28079017,2016-01-03,6.0,,8.0,27.0,,,39.0,32.0,,,,,,
28079018,2016-01-03,3.0,0.2,8.0,24.0,,10.0,37.0,37.0,0.6,0.3,0.1,,,
28079024,2016-01-03,2.0,0.2,2.0,13.0,4.0,6.0,16.0,40.0,0.6,0.3,0.1,1.17,1.14,0.02
28079027,2016-01-03,,,13.0,37.0,,,57.0,20.0,,,,,,
28079035,2016-01-03,3.0,0.3,10.0,33.0,,,48.0,29.0,,,,,,
28079036,2016-01-03,8.0,0.3,7.0,30.0,,8.0,41.0,,,,,,,
28079038,2016-01-03,9.0,,6.0,23.0,5.0,8.0,32.0,,1.2,0.1,0.1,,,
28079039,2016-01-03,,0.3,8.0,25.0,,,37.0,38.0,,,,,,
28079040,2016-01-03,5.0,,6.0,34.0,,7.0,42.0,,,,,,,
28079047,2016-01-03,,,5.0,31.0,5.0,9.0,38.0,,,,,,,
28079048,2016-01-03,,,7.0,36.0,5.0,10.0,47.0,,,,,,,
28079049,2016-01-03,,,7.0,30.0,,,40.0,27.0,,,,,,
28079050,2016-01-03,,,23.0,33.0,7.0,12.0,67.0,,,,,,,
28079054,2016-01-03,,,4.0,20.0,,,26.0,43.0,,,,,,
28079055,2016-01-03,,,23.0,44.0,,11.0,78.0,,1.2,0.8,0.3,1.39,1.22,0.17
28079056,2016-01-03,,0.3,18.0,31.0,,,59.0,43.0,,,,,,
28079057,2016-01-03,15.0,0.3,5.0,27.0,,8.0,35.0,,,,,,,
28079058,2016-01-03,,,4.0,12.0,,,18.0,29.0,,,,,,
28079059,2016-01-03,,,15.0,19.0,,,42.0,38.0,,,,,,
28079060,2016-01-03,,,3.0,22.0,,7.0,27.0,55.0,,,,,,
28079004,2016-01-04,6.0,0.2,8.0,20.0,,,32.0,,,,,,,
28079008,2016-01-04,14.0,0.3,20.0,35.0,5.0,7.0,65.0,28.0,0.9,0.4,0.2,1.28,1.24,0.04
28079011,2016-01-04,,,7.0,19.0,,,30.0,,,,,,,
28079016,2016-01-04,,0.3,6.0,26.0,,,35.0,28.0,,,,,,
28079017,2016-01-04,7.0,,6.0,21.0,,,30.0,34.0,,,,,,
28079018,2016-01-04,2.0,0.2,3.0,17.0,,4.0,21.0,37.0,0.6,0.1,0.1,,,
28079024,2016-01-04,2.0,0.2,1.0,6.0,2.0,2.0,7.0,40.0,0.4,0.1,0.1,1.13,1.11,0.01
28079027,2016-01-04,,,3.0,19.0,,,24.0,36.0,,,,,,
28079035,2016-01-04,7.0,0.3,6.0,24.0,,,34.0,31.0,,,,,,
28079036,2016-01-04,9.0,0.2,6.0,23.0,,4.0,33.0,,,,,,,
28079038,2016-01-04,9.0,,9.0,16.0,3.0,4.0,29.0,,0.8,0.1,0.1,,,
28079039,2016-01-04,,0.2,11.0,19.0,,,36.0,44.0,,,,,,
28079040,2016-01-04,6.0,,5.0,21.0,,4.0,29.0,,,,,,,
28079047,2016-01-04,,,1.0,19.0,3.0,5.0,21.0,,,,,,,
28079048,2016-01-04,,,8.0,26.0,3.0,5.0,38.0,,,,,,,
28079049,2016-01-04,,,3.0,20.0,,,25.0,29.0,,,,,,
28079050,2016-01-04,,,25.0,26.0,4.0,7.0,64.0,,,,,,,
28079054,2016-01-04,,,5.0,16.0,,,24.0,46.0,,,,,,
28079055,2016-01-04,,,14.0,28.0,,3.0,49.0,,0.8,0.7,0.2,1.18,1.06,0.12
