date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2020-01-01,2462,1894,10.4,0.0,6.3,14.4,99.0,2.2,3.9,7.9,824.2,822.3
2020-01-01,3100B,540,5.0,0.0,-2.4,12.5,12.0,0.3,3.9,,,
2020-01-01,3110C,1030,6.0,0.0,-3.2,15.3,88.0,0.6,3.3,,916.2,913.6
2020-01-01,3111D,1450,8.1,,3.2,13.0,88.0,0.0,0.0,,,
2020-01-01,3129,609,5.4,0.0,-2.1,12.8,22.0,0.8,3.6,8.3,964.6,961.5
2020-01-01,3175,607,5.0,0.0,-3.2,13.3,99.0,1.4,5.3,8.6,961.1,958.1
2020-01-01,3191E,1004,8.6,0.0,4.8,12.3,17.0,0.3,3.6,7.9,916.1,914.4
2020-01-01,3194U,664,5.8,0.0,-2.0,13.7,,,,,,
2020-01-01,3195,667,6.6,0.0,1.9,11.2,5.0,0.3,3.3,,954.2,952.0
2020-01-01,3196,690,7.2,0.0,0.8,13.5,36.0,1.4,3.1,8.7,952.2,949.5
2020-01-01,3200,620,6.1,0.0,-0.6,12.8,25.0,0.0,2.5,7.8,960.5,957.6
2020-01-01,3266A,1532,9.6,0.0,5.6,13.5,28.0,4.4,8.1,,860.5,858.3
2020-01-01,3338,763,6.8,0.2,0.0,13.5,22.0,0.8,3.1,,943.3,940.3
2020-01-02,2462,1894,9.1,0.0,5.8,12.4,18.0,1.4,7.5,8.0,822.6,821.1
2020-01-02,3100B,540,5.0,0.0,-3.4,13.4,10.0,0.6,3.9,,,
2020-01-02,3110C,1030,4.4,0.0,-3.6,12.5,88.0,0.8,3.6,,915.1,912.9
2020-01-02,3111D,1450,8.4,,2.4,14.4,88.0,0.0,0.0,,,
2020-01-02,3129,609,5.3,0.0,-2.3,12.9,20.0,1.1,5.0,8.2,963.7,960.9
2020-01-02,3175,607,4.6,0.0,-3.1,12.2,2.0,1.1,4.7,8.6,960.2,957.5
