date,station,SO_2,CO,NO,NO_2,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2001-01-01,28079004,17.0,0.8,45.0,58.0,,127.0,,,,,,,
2001-01-01,28079008,11.0,1.0,59.0,53.0,20.0,143.0,21.0,10.2,4.2,2.3,,,
2001-01-01,28079011,,,46.0,45.0,,115.0,,,,,,,
2001-01-01,28079016,,0.6,23.0,47.0,,82.0,23.0,,,,,,
2001-01-01,28079017,12.0,,61.0,46.0,,140.0,23.0,,,,,,
2001-01-01,28079018,24.0,2.2,186.0,67.0,34.0,352.0,10.0,,,,,,
2001-01-01,28079024,10.0,0.7,15.0,31.0,15.0,54.0,25.0,4.9,0.4,,1.43,1.3,0.13
2001-01-01,28079035,22.0,0.6,27.0,43.0,,84.0,26.0,,,,,,
2001-01-01,28079036,10.0,0.8,21.0,48.0,14.0,81.0,,,,,,,
2001-01-01,28079038,32.0,,40.0,43.0,22.0,105.0,,,,,,,
2001-01-01,28079039,,0.8,30.0,46.0,,91.0,18.0,,,,,,
2001-01-01,28079040,8.0,,18.0,34.0,24.0,61.0,,,,,,,
2001-01-02,28079004,15.0,0.5,12.0,60.0,,78.0,,,,,,,
2001-01-02,28079008,10.0,1.0,75.0,65.0,28.0,179.0,25.0,11.5,4.7,2.5,,,
2001-01-02,28079011,,,15.0,34.0,,56.0,,,,,,,
2001-01-02,28079016,,0.6,20.0,49.0,,80.0,33.0,,,,,,
2001-01-02,28079017,13.0,,93.0,62.0,,204.0,29.0,,,,,,
2001-01-02,28079018,21.0,1.8,175.0,78.0,59.0,346.0,14.0,,,,,,
2001-01-02,28079024,8.0,0.5,2.0,13.0,8.0,16.0,45.0,1.2,0.2,,1.31,1.24,0.08
2001-01-02,28079035,23.0,0.4,12.0,38.0,,56.0,44.0,,,,,,
2001-01-02,28079036,8.0,0.4,10.0,40.0,13.0,56.0,,,,,,,
2001-01-02,28079038,25.0,,18.0,31.0,14.0,59.0,,,,,,,
2001-01-02,28079039,,0.7,28.0,38.0,,81.0,37.0,,,,,,
2001-01-02,28079040,6.0,,8.0,32.0,13.0,44.0,,,,,,,
2001-01-03,28079004,15.0,0.6,32.0,65.0,,114.0,,,,,,,
2001-01-03,28079008,11.0,1.0,86.0,69.0,34.0,201.0,17.0,14.2,5.0,3.0,,,
2001-01-03,28079011,,,22.0,43.0,,77.0,,,,,,,
2001-01-03,28079016,,0.7,36.0,59.0,,113.0,21.0,,,,,,
2001-01-03,28079017,14.0,,129.0,72.0,,271.0,19.0,,,,,,
2001-01-03,28079018,23.0,2.2,223.0,75.0,61.0,417.0,11.0,,,,,,
2001-01-03,28079024,9.0,0.6,3.0,26.0,12.0,31.0,31.0,2.9,0.3,,1.34,1.25,0.09
2001-01-03,28079035,23.0,0.5,17.0,47.0,,74.0,29.0,,,,,,
2001-01-03,28079036,9.0,0.6,21.0,50.0,20.0,83.0,,,,,,,
2001-01-03,28079038,27.0,,23.0,42.0,20.0,77.0,,,,,,,
2001-01-03,28079039,,0.8,35.0,45.0,,100.0,23.0,,,,,,
2001-01-03,28079040,7.0,,19.0,50.0,22.0,79.0,,,,,,,
2001-01-04,28079004,15.0,0.5,29.0,63.0,,108.0,,,,,,,
2001-01-04,28079008,12.0,0.9,99.0,71.0,37.0,223.0,18.0,14.8,5.7,3.3,,,
2001-01-04,28079011,,,20.0,40.0,,70.0,,,,,,,
2001-01-04,28079016,,0.8,34.0,57.0,,109.0,22.0,,,,,,
2001-01-04,28079017,12.0,,123.0,71.0,,259.0,20.0,,,,,,
2001-01-04,28079018,23.0,2.2,202.0,70.0,76.0,380.0,11.0,,,,,,
2001-01-04,28079024,8.0,0.6,3.0,21.0,12.0,26.0,35.0,2.3,0.3,,1.33,1.25,0.08
2001-01-04,28079035,25.0,0.5,20.0,46.0,,77.0,29.0,,,,,,
2001-01-04,28079036,8.0,0.5,17.0,48.0,18.0,74.0,,,,,,,
2001-01-04,28079038,27.0,,25.0,39.0,20.0,77.0,,,,,,,
2001-01-04,28079039,,0.8,37.0,42.0,,99.0,26.0,,,,,,
2001-01-04,28079040,6.0,,13.0,42.0,19.0,62.0,,,,,,,
2001-01-05,28079004,16.0,1.0,91.0,57.0,,197.0,,,,,,,
2001-01-05,28079008,10.0,1.2,112.0,63.0,31.0,235.0,11.0,17.9,6.1,4.1,,,
2001-01-05,28079011,,,80.0,43.0,,166.0,,,,,,,
2001-01-05,28079016,,0.8,55.0,57.0,,142.0,11.0,,,,,,
2001-01-05,28079017,12.0,,130.0,61.0,,260.0,12.0,,,,,,
2001-01-05,28079018,22.0,2.7,256.0,52.0,57.0,445.0,9.0,,,,,,
2001-01-05,28079024,11.0,0.6,16.0,39.0,17.0,64.0,13.0,5.2,0.5,,1.45,1.31,0.13
2001-01-05,28079035,27.0,0.7,43.0,46.0,,113.0,11.0,,,,,,
