date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2014-01-01,28079004,4.0,0.3,9.0,30.0,,,45.0,,,,,,,
2014-01-01,28079008,6.0,0.2,16.0,35.0,7.0,9.0,60.0,27.0,0.8,0.5,0.9,,,
2014-01-01,28079011,,,6.0,27.0,,,36.0,,2.0,1.5,0.7,,,
2014-01-01,28079016,,0.3,8.0,36.0,,,48.0,29.0,,,,,,
2014-01-01,28079017,5.0,,7.0,27.0,,,37.0,31.0,,,,,,
2014-01-01,28079018,5.0,0.3,4.0,26.0,,18.0,32.0,39.0,0.5,0.3,1.0,,,
2014-01-01,28079024,2.0,0.2,1.0,11.0,4.0,5.0,12.0,42.0,1.0,0.1,0.8,1.35,1.1,0.25
2014-01-01,28079027,,,4.0,27.0,,,32.0,34.0,,,,1.37,1.18,0.19
2014-01-01,28079035,5.0,0.3,6.0,29.0,,,39.0,31.0,,,,,,
2014-01-01,28079036,2.0,0.3,5.0,25.0,,10.0,32.0,,,,,,,
2014-01-01,28079038,4.0,,7.0,29.0,5.0,7.0,40.0,,0.8,0.4,0.5,,,
2014-01-01,28079039,,0.3,9.0,31.0,,,44.0,29.0,,,,,,
2014-01-01,28079040,2.0,,5.0,29.0,,11.0,36.0,,,,,,,
2014-01-01,28079047,,,2.0,22.0,6.0,6.0,25.0,,,,,,,
2014-01-01,28079048,,,8.0,37.0,5.0,9.0,50.0,,,,,,,
2014-01-01,28079049,,,2.0,29.0,,,33.0,25.0,,,,,,
2014-01-01,28079050,,,19.0,37.0,8.0,10.0,65.0,,,,,,,
2014-01-01,28079055,,,4.0,30.0,,7.0,36.0,,0.9,0.7,0.4,1.47,1.33,0.14
2014-01-01,28079056,,0.3,11.0,29.0,,,46.0,33.0,,,,,,
2014-01-01,28079057,8.0,0.3,3.0,24.0,,4.0,27.0,,,,,,,
2014-01-01,28079058,,,1.0,8.0,,,9.0,36.0,,,,,,
2014-01-01,28079059,,,3.0,13.0,,,18.0,37.0,,,,,,
2014-01-01,28079060,,,3.0,20.0,,6.0,24.0,42.0,,,,,,
2014-01-02,28079004,4.0,0.3,26.0,36.0,,,75.0,,,,,,,
2014-01-02,28079008,6.0,0.2,35.0,45.0,7.0,9.0,98.0,26.0,1.6,0.5,0.6,,,
2014-01-02,28079011,,,17.0,33.0,,,60.0,,3.0,1.4,0.7,,,
2014-01-02,28079016,,0.3,13.0,37.0,,,57.0,33.0,,,,,,
2014-01-02,28079017,5.0,,11.0,27.0,,,43.0,35.0,,,,,,
2014-01-02,28079018,5.0,0.3,9.0,27.0,,6.0,41.0,44.0,1.2,0.2,0.8,,,
2014-01-02,28079024,2.0,0.2,3.0,15.0,4.0,5.0,19.0,43.0,0.9,0.1,0.8,1.32,1.08,0.24
2014-01-02,28079027,,,5.0,29.0,,,37.0,37.0,,,,1.37,1.2,0.17
2014-01-02,28079035,5.0,0.3,13.0,33.0,,,52.0,35.0,,,,,,
2014-01-02,28079036,1.0,0.3,6.0,26.0,,9.0,35.0,,,,,,,
2014-01-02,28079038,3.0,,13.0,32.0,6.0,6.0,51.0,,1.2,0.4,0.6,,,
2014-01-02,28079039,,0.3,19.0,36.0,,,66.0,33.0,,,,,,
2014-01-02,28079040,3.0,,7.0,28.0,,6.0,38.0,,,,,,,
2014-01-02,28079047,,,7.0,27.0,5.0,6.0,38.0,,,,,,,
2014-01-02,28079048,,,20.0,44.0,6.0,9.0,75.0,,,,,,,
2014-01-02,28079049,,,7.0,33.0,,,43.0,20.0,,,,,,
2014-01-02,28079050,,,33.0,42.0,8.0,10.0,94.0,,,,,,,
2014-01-02,28079055,,,8.0,33.0,,6.0,46.0,,1.0,0.4,0.5,1.46,1.34,0.13
2014-01-02,28079056,,0.4,29.0,37.0,,,81.0,33.0,,,,,,
2014-01-02,28079057,9.0,0.3,9.0,30.0,,5.0,44.0,,,,,,,
2014-01-02,28079058,,,1.0,7.0,,,9.0,47.0,,,,,,
2014-01-02,28079059,,,4.0,17.0,,,24.0,34.0,,,,,,
2014-01-02,28079060,,,4.0,21.0,,6.0,27.0,47.0,,,,,,
2014-01-03,28079004,4.0,0.3,29.0,37.0,,,81.0,,,,,,,
2014-01-03,28079008,4.0,0.2,36.0,49.0,8.0,12.0,104.0,26.0,2.4,0.5,0.6,,,
2014-01-03,28079011,,,12.0,31.0,,,50.0,,2.8,1.3,0.7,,,
2014-01-03,28079016,,0.3,14.0,38.0,,,59.0,36.0,,,,,,
2014-01-03,28079017,5.0,,10.0,28.0,,,44.0,37.0,,,,,,
2014-01-03,28079018,4.0,0.3,6.0,28.0,,7.0,37.0,45.0,1.0,0.2,0.8,,,
2014-01-03,28079024,2.0,0.2,1.0,14.0,4.0,6.0,15.0,46.0,0.7,0.1,0.9,1.3,1.07,0.23
2014-01-03,28079027,,,7.0,30.0,,,42.0,39.0,,,,1.34,1.18,0.16
2014-01-03,28079035,5.0,0.3,12.0,35.0,,,52.0,36.0,,,,,,
2014-01-03,28079036,1.0,0.3,8.0,28.0,,9.0,41.0,,,,,,,
2014-01-03,28079038,3.0,,11.0,33.0,6.0,8.0,50.0,,1.5,0.4,0.7,,,
2014-01-03,28079039,,0.3,18.0,38.0,,,65.0,34.0,,,,,,
2014-01-03,28079040,2.0,,8.0,29.0,,8.0,41.0,,,,,,,
2014-01-03,28079047,,,5.0,29.0,6.0,8.0,36.0,,,,,,,
2014-01-03,28079048,,,16.0,43.0,5.0,9.0,68.0,,,,,,,
2014-01-03,28079049,,,4.0,34.0,,,41.0,25.0,,,,,,
2014-01-03,28079050,,,37.0,44.0,8.0,13.0,100.0,,,,,,,
2014-01-03,28079054,,,5.0,16.0,,,24.0,49.0,,,,,,
2014-01-03,28079055,,,9.0,33.0,,7.0,47.0,,1.4,0.4,0.5,1.45,1.32,0.13
2014-01-03,28079056,,0.4,20.0,37.0,,,68.0,35.0,,,,,,
2014-01-03,28079057,8.0,0.3,12.0,34.0,,6.0,53.0,,,,,,,
2014-01-03,28079058,,,1.0,10.0,,,11.0,45.0,,,,,,
2014-01-03,28079059,,,5.0,16.0,,,23.0,38.0,,,,,,
2014-01-03,28079060,,,6.0,25.0,,6.0,33.0,46.0,,,,,,
2014-01-04,28079004,4.0,0.2,10.0,23.0,,,39.0,,,,,,,
2014-01-04,28079008,4.0,0.1,14.0,32.0,5.0,8.0,53.0,46.0,0.9,0.4,0.9,,,
2014-01-04,28079011,,,7.0,21.0,,,32.0,,2.1,1.1,0.8,,,
2014-01-04,28079016,,0.3,4.0,22.0,,,27.0,60.0,,,,,,
2014-01-04,28079017,5.0,,5.0,16.0,,,24.0,59.0,,,,,,
2014-01-04,28079018,4.0,0.2,1.0,13.0,,6.0,14.0,71.0,0.4,0.2,1.0,,,
2014-01-04,28079024,2.0,0.2,1.0,3.0,3.0,5.0,4.0,66.0,0.9,0.1,1.0,,,
2014-01-04,28079027,,,1.0,13.0,,,15.0,61.0,,,,1.32,1.17,0.16
2014-01-04,28079035,5.0,0.2,7.0,25.0,,,35.0,53.0,,,,,,
2014-01-04,28079036,2.0,0.3,4.0,19.0,,9.0,24.0,,,,,,,
2014-01-04,28079038,3.0,,5.0,18.0,4.0,6.0,25.0,,,,,,,
2014-01-04,28079039,,0.3,7.0,22.0,,,33.0,56.0,,,,,,
2014-01-04,28079040,2.0,,3.0,17.0,,7.0,22.0,,,,,,,
2014-01-04,28079047,,,1.0,13.0,4.0,6.0,15.0,,,,,,,
2014-01-04,28079048,,,5.0,26.0,3.0,7.0,34.0,,,,,,,
2014-01-04,28079049,,,2.0,18.0,,,20.0,50.0,,,,,,
2014-01-04,28079050,,,16.0,27.0,5.0,9.0,52.0,,,,,,,
2014-01-04,28079054,,,3.0,8.0,,,13.0,68.0,,,,,,
2014-01-04,28079055,,,2.0,16.0,,5.0,19.0,,0.6,0.3,0.7,1.43,1.3,0.13
2014-01-04,28079056,,0.3,6.0,21.0,,,30.0,58.0,,,,,,
2014-01-04,28079057,8.0,0.2,4.0,17.0,,6.0,24.0,,,,,,,
2014-01-04,28079058,,,1.0,3.0,,,4.0,64.0,,,,,,
2014-01-04,28079059,,,3.0,5.0,,,9.0,56.0,,,,,,
2014-01-04,28079060,,,2.0,13.0,,7.0,16.0,64.0,,,,,,
2014-01-05,28079004,4.0,0.3,18.0,32.0,,,60.0,,,,,,,
2014-01-05,28079008,4.0,0.2,16.0,36.0,8.0,14.0,61.0,38.0,1.1,0.5,0.7,,,
2014-01-05,28079011,,,5.0,24.0,,,31.0,,2.2,1.3,0.8,,,
2014-01-05,28079016,,0.3,7.0,34.0,,,45.0,44.0,,,,,,
2014-01-05,28079017,4.0,,6.0,21.0,,,30.0,48.0,,,,,,
2014-01-05,28079018,4.0,0.3,2.0,20.0,,10.0,24.0,59.0,0.3,0.2,1.0,,,
2014-01-05,28079024,2.0,0.2,1.0,6.0,5.0,9.0,7.0,57.0,1.0,0.1,1.0,1.35,1.1,0.26
2014-01-05,28079027,,,4.0,30.0,,,37.0,43.0,,,,1.41,1.22,0.19
2014-01-05,28079035,5.0,0.3,5.0,25.0,,,33.0,47.0,,,,,,
2014-01-05,28079036,1.0,0.3,4.0,23.0,,14.0,29.0,,,,,,,
2014-01-05,28079038,3.0,,7.0,25.0,8.0,10.0,36.0,,,,,,,
2014-01-05,28079039,,0.3,8.0,28.0,,,40.0,45.0,,,,,,
2014-01-05,28079040,2.0,,4.0,24.0,,12.0,30.0,,,,,,,
2014-01-05,28079047,,,2.0,21.0,7.0,11.0,25.0,,,,,,,
2014-01-05,28079048,,,8.0,34.0,6.0,16.0,46.0,,,,,,,
2014-01-05,28079049,,,2.0,24.0,,,27.0,40.0,,,,,,
2014-01-05,28079050,,,20.0,32.0,8.0,14.0,63.0,,,,,,,
2014-01-05,28079054,,,4.0,11.0,,,17.0,61.0,,,,,,
2014-01-05,28079055,,,6.0,32.0,,11.0,41.0,,1.0,0.5,0.5,1.51,1.37,0.15
2014-01-05,28079056,,0.4,10.0,31.0,,,46.0,45.0,,,,,,
2014-01-05,28079057,7.0,0.3,8.0,26.0,,11.0,38.0,,,,,,,
2014-01-05,28079058,,,1.0,6.0,,,7.0,53.0,,,,,,
2014-01-05,28079059,,,4.0,12.0,,,18.0,46.0,,,,,,
2014-01-05,28079060,,,3.0,18.0,,11.0,22.0,56.0,,,,,,
2014-01-06,28079004,4.0,0.3,15.0,45.0,,,69.0,,,,,,,
2014-01-06,28079008,4.0,0.2,18.0,43.0,9.0,16.0,69.0,28.0,1.0,0.5,0.8,,,
2014-01-06,28079011,,,12.0,40.0,,,59.0,,3.8,1.6,0.5,,,
2014-01-06,28079016,,0.3,10.0,43.0,,,58.0,32.0,,,,,,
2014-01-06,28079017,5.0,,8.0,32.0,,,45.0,32.0,,,,,,
2014-01-06,28079018,5.0,0.3,6.0,37.0,,13.0,46.0,40.0,0.6,0.2,1.0,,,
2014-01-06,28079024,2.0,0.2,1.0,23.0,7.0,13.0,25.0,38.0,0.8,0.1,0.8,1.38,1.11,0.27
2014-01-06,28079027,,,7.0,36.0,,,47.0,32.0,,,,1.59,1.38,0.2
2014-01-06,28079035,6.0,0.3,7.0,37.0,,,48.0,34.0,,,,,,
2014-01-06,28079036,2.0,0.3,8.0,35.0,,13.0,46.0,,,,,,,
2014-01-06,28079038,5.0,,11.0,40.0,7.0,14.0,57.0,,,,,,,
2014-01-06,28079039,,0.3,9.0,41.0,,,55.0,30.0,,,,,,
2014-01-06,28079040,2.0,,7.0,35.0,,14.0,46.0,,,,,,,
2014-01-06,28079047,,,5.0,34.0,8.0,13.0,42.0,,,,,,,
2014-01-06,28079048,,,9.0,46.0,6.0,11.0,60.0,,,,,,,
2014-01-06,28079049,,,4.0,31.0,,,37.0,26.0,,,,,,
2014-01-06,28079050,,,22.0,48.0,10.0,21.0,82.0,,,,,,,
2014-01-06,28079054,,,5.0,17.0,,,25.0,48.0,,,,,,
2014-01-06,28079055,,,14.0,43.0,,12.0,65.0,,1.1,0.5,1.1,1.77,1.59,0.18
2014-01-06,28079056,,0.4,30.0,52.0,,,98.0,25.0,,,,,,
2014-01-06,28079057,9.0,0.3,5.0,37.0,,10.0,44.0,,,,,,,
2014-01-06,28079058,,,1.0,11.0,,,13.0,30.0,,,,,,
2014-01-06,28079059,,,4.0,18.0,,,25.0,35.0,,,,,,
2014-01-06,28079060,,,5.0,31.0,,12.0,38.0,42.0,,,,,,
2014-01-07,28079004,6.0,0.4,42.0,54.0,,,118.0,,,,,,,
2014-01-07,28079008,6.0,0.3,38.0,56.0,12.0,20.0,115.0,16.0,2.6,0.8,0.6,,,
2014-01-07,28079011,,,26.0,50.0,,,91.0,,4.3,2.1,0.8,,,
2014-01-07,28079016,,0.4,16.0,46.0,,,71.0,22.0,,,,,,
2014-01-07,28079017,7.0,,43.0,49.0,,,114.0,19.0,,,,,,
2014-01-07,28079018,5.0,0.3,20.0,45.0,,17.0,76.0,28.0,1.2,0.3,0.8,,,
2014-01-07,28079024,3.0,0.2,8.0,33.0,9.0,15.0,46.0,26.0,0.6,0.1,0.7,1.56,1.26,0.3
2014-01-07,28079027,,,11.0,36.0,,,53.0,25.0,,,,1.42,1.23,0.19
2014-01-07,28079035,7.0,0.4,28.0,51.0,,,94.0,21.0,,,,,,
2014-01-07,28079036,7.0,0.5,22.0,49.0,,21.0,83.0,,,,,,,
2014-01-07,28079038,7.0,,38.0,57.0,12.0,21.0,115.0,,,,,,,
2014-01-07,28079039,,0.4,27.0,52.0,,,93.0,19.0,,,,,,
2014-01-07,28079040,3.0,,18.0,47.0,,19.0,75.0,,,,,,,
2014-01-07,28079047,,,19.0,46.0,11.0,18.0,75.0,,,,,,,
2014-01-07,28079048,,,20.0,53.0,9.0,16.0,83.0,,,,,,,
2014-01-07,28079049,,,14.0,43.0,,,65.0,16.0,,,,,,
2014-01-07,28079050,,,24.0,50.0,24.0,21.0,87.0,,,,,,,
2014-01-07,28079054,,,34.0,38.0,,,89.0,27.0,,,,,,
2014-01-07,28079055,,,20.0,45.0,,16.0,75.0,,1.4,0.6,0.5,1.55,1.38,0.16
2014-01-07,28079056,,0.5,63.0,65.0,,,161.0,16.0,,,,,,
