station,date,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
28079004,2019-01-01,18.0,0.8,105.0,71.0,,,232.0,,,,,,,
28079008,2019-01-01,12.0,0.6,48.0,72.0,19.0,32.0,145.0,14.0,2.4,1.2,0.4,1.95,1.81,0.13
28079011,2019-01-01,,,39.0,68.0,,,127.0,,2.0,0.9,0.4,,,
28079016,2019-01-01,,0.6,43.0,58.0,,,123.0,17.0,,,,,,
28079017,2019-01-01,17.0,,187.0,85.0,,,371.0,14.0,,,,,,
28079018,2019-01-01,18.0,0.9,76.0,63.0,,,179.0,10.0,1.8,0.7,0.3,,,
28079024,2019-01-01,6.0,0.5,33.0,51.0,23.0,26.0,102.0,11.0,2.2,1.1,0.2,1.38,1.25,0.13
28079027,2019-01-01,,,47.0,61.0,,,133.0,12.0,,,,,,
28079035,2019-01-01,20.0,0.5,81.0,65.0,,,189.0,13.0,,,,,,
28079036,2019-01-01,11.0,0.6,59.0,70.0,,31.0,160.0,,,,,,,
28079038,2019-01-01,20.0,,93.0,88.0,27.0,37.0,231.0,,4.2,1.5,0.8,,,
28079039,2019-01-01,,0.8,111.0,84.0,,,255.0,8.0,,,,,,
28079040,2019-01-01,12.0,,42.0,67.0,,29.0,132.0,,,,,,,
28079047,2019-01-01,,,74.0,60.0,20.0,27.0,174.0,,,,,,,
28079048,2019-01-01,,,32.0,60.0,,,109.0,,,,,,,
28079049,2019-01-01,,,31.0,52.0,,,99.0,10.0,,,,,,
28079050,2019-01-01,,,37.0,66.0,18.0,25.0,123.0,,,,,,,
28079054,2019-01-01,,,64.0,64.0,,,161.0,13.0,,,,,,
28079055,2019-01-01,,,62.0,71.0,,28.0,165.0,,0.8,0.5,0.2,1.84,1.63,0.21
28079056,2019-01-01,,0.6,98.0,74.0,27.0,37.0,224.0,11.0,,,,,,
28079057,2019-01-01,16.0,0.5,31.0,60.0,,20.0,108.0,,,,,,,
28079058,2019-01-01,,,14.0,35.0,,,56.0,12.0,,,,,,
28079059,2019-01-01,,,24.0,38.0,,,75.0,21.0,,,,,,
28079060,2019-01-01,,,35.0,52.0,,19.0,106.0,14.0,,,,,,
28079004,2019-01-02,20.0,1.0,163.0,84.0,,,334.0,,,,,,,
28079008,2019-01-02,14.0,0.7,110.0,90.0,21.0,37.0,258.0,9.0,6.0,1.9,1.0,2.02,1.82,0.2
28079011,2019-01-02,,,93.0,87.0,,,229.0,,7.7,1.6,1.2,,,
28079016,2019-01-02,,0.7,72.0,73.0,,,184.0,8.0,,,,,,
28079017,2019-01-02,21.0,,222.0,100.0,,,440.0,8.0,,,,,,
28079018,2019-01-02,16.0,0.8,88.0,75.0,,,210.0,4.0,3.0,0.6,0.5,,,
28079024,2019-01-02,6.0,0.4,32.0,53.0,17.0,21.0,103.0,9.0,2.9,0.9,0.2,1.37,1.25,0.12
28079027,2019-01-02,,,77.0,74.0,,,192.0,8.0,,,,,,
28079035,2019-01-02,20.0,0.5,90.0,72.0,,,211.0,10.0,,,,,,
28079036,2019-01-02,12.0,0.7,94.0,83.0,,37.0,227.0,,,,,,,
28079038,2019-01-02,18.0,,111.0,87.0,23.0,36.0,258.0,,6.6,1.6,1.2,,,
28079039,2019-01-02,,0.8,130.0,88.0,,,288.0,8.0,,,,,,
28079040,2019-01-02,14.0,,77.0,81.0,,25.0,200.0,,,,,,,
28079047,2019-01-02,,,113.0,76.0,23.0,37.0,249.0,,,,,,,
28079048,2019-01-02,,,67.0,73.0,,,175.0,,,,,,,
