date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2005-01-01,2462,1894,5.6,0.0,3.1,8.2,6.0,4.2,9.7,8.0,823.1,821.0
2005-01-01,3110C,1030,9.0,0.0,1.5,16.4,31.0,2.8,10.0,,910.7,904.7
2005-01-01,3129,609,4.9,0.0,-2.6,12.4,15.0,0.6,6.1,8.9,964.2,961.0
2005-01-01,3175,607,6.0,0.0,-1.5,13.5,5.0,0.8,5.3,7.5,960.0,957.3
2005-01-01,3191E,1004,8.8,0.0,4.6,13.0,25.0,1.1,3.6,8.3,916.1,914.5
2005-01-01,3195,667,7.1,0.0,2.8,11.4,7.0,1.1,4.7,8.2,953.7,951.4
2005-01-01,3196,690,7.1,0.0,1.0,13.2,24.0,1.4,4.2,8.7,951.7,949.4
2005-01-01,3200,620,7.0,0.0,0.5,13.5,28.0,0.8,4.7,8.7,960.1,957.3
2005-01-01,3266A,1532,3.1,0.0,-1.6,7.8,26.0,4.7,11.4,,861.4,858.2
2005-01-01,3338,763,8.6,0.0,0.3,16.9,32.0,1.1,10.8,,946.9,943.4
2005-01-02,2462,1894,1.5,0.0,-3.4,6.4,35.0,2.2,8.1,4.9,824.7,822.2
2005-01-02,3110C,1030,5.2,0.0,-0.1,10.4,32.0,1.9,12.8,,913.7,910.0
2005-01-02,3129,609,6.0,0.0,-2.4,14.4,3.0,2.5,8.6,7.9,967.3,964.2
2005-01-02,3175,607,6.8,0.0,-0.8,14.5,5.0,2.2,7.8,6.9,962.5,960.0
2005-01-02,3191E,1004,7.0,0.0,2.0,12.1,3.0,1.9,10.3,7.1,918.1,915.9
2005-01-02,3194U,664,,,,,,1.4,,,,
2005-01-02,3195,667,7.8,0.0,2.7,12.8,3.0,2.5,10.3,5.9,956.7,953.5
2005-01-02,3196,690,7.4,0.0,1.0,13.8,3.0,2.2,5.8,7.6,954.9,951.3
2005-01-02,3200,620,7.1,0.0,-0.2,14.4,3.0,2.8,6.7,7.5,962.9,959.7
2005-01-02,3266A,1532,0.0,0.0,-2.5,2.6,27.0,4.7,10.6,,863.5,860.9
2005-01-02,3338,763,8.2,0.0,0.8,15.5,31.0,0.8,7.8,,949.9,945.8
2005-01-03,2462,1894,0.3,0.0,-4.6,5.2,15.0,2.5,13.9,8.1,824.1,822.2
2005-01-03,3110C,1030,2.5,0.0,-3.9,8.9,32.0,1.9,6.4,,914.7,910.0
2005-01-03,3129,609,4.5,0.0,-2.2,11.2,36.0,1.9,8.1,8.9,968.2,964.9
2005-01-03,3175,607,5.2,0.0,-1.2,11.6,8.0,1.9,9.7,8.0,963.6,961.2
2005-01-03,3191E,1004,4.2,0.0,0.2,8.2,9.0,2.2,8.3,8.2,919.0,916.9
2005-01-03,3194U,664,4.4,0.0,-2.4,11.3,7.0,1.7,8.9,,,
2005-01-03,3195,667,6.4,0.0,3.1,9.8,8.0,1.9,10.3,8.3,957.4,954.7
2005-01-03,3196,690,5.8,0.0,1.0,10.5,8.0,2.2,9.2,8.9,954.7,952.2
2005-01-03,3200,620,6.1,0.0,1.2,11.0,3.0,2.2,10.0,8.0,963.9,961.0
2005-01-03,3266A,1532,0.7,0.0,-3.1,4.5,28.0,3.3,10.3,,863.0,859.9
