date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2013-01-01,28079004,4.0,0.4,33.0,43.0,,,94.0,,,,,,,
2013-01-01,28079008,8.0,0.4,29.0,40.0,10.0,7.0,86.0,19.0,2.1,1.0,0.7,,,
2013-01-01,28079011,,,24.0,50.0,,,86.0,,4.1,2.3,0.8,,,
2013-01-01,28079016,,0.5,35.0,48.0,,,103.0,17.0,,,,,,
2013-01-01,28079017,4.0,,29.0,35.0,,,80.0,25.0,,,,,,
2013-01-01,28079018,8.0,0.4,26.0,39.0,,11.0,80.0,20.0,1.2,0.4,0.8,,,
2013-01-01,28079024,2.0,,8.0,24.0,7.0,7.0,37.0,27.0,0.9,0.6,0.5,1.42,1.15,0.27
2013-01-01,28079027,,,25.0,43.0,,,82.0,18.0,,,,1.49,1.3,0.2
2013-01-01,28079035,5.0,0.4,23.0,38.0,,,73.0,21.0,,,,,,
2013-01-01,28079036,5.0,0.4,32.0,34.0,,12.0,82.0,,,,,,,
2013-01-01,28079038,5.0,,25.0,43.0,9.0,10.0,82.0,,1.9,0.7,0.6,,,
2013-01-01,28079039,,0.4,28.0,42.0,,,85.0,21.0,,,,,,
2013-01-01,28079040,4.0,,20.0,41.0,,13.0,71.0,,,,,,,
2013-01-01,28079047,,,30.0,32.0,9.0,11.0,77.0,,,,,,,
2013-01-01,28079048,,,21.0,41.0,8.0,12.0,72.0,,,,,,,
2013-01-01,28079049,,,10.0,29.0,,,45.0,20.0,,,,,,
2013-01-01,28079050,,,36.0,49.0,11.0,15.0,104.0,,,,,,,
2013-01-01,28079054,,,15.0,25.0,,,49.0,27.0,,,,,,
2013-01-01,28079055,,,39.0,47.0,,13.0,107.0,,2.1,0.9,0.4,1.77,1.56,0.21
2013-01-01,28079056,,0.4,77.0,59.0,,,176.0,21.0,,,,,,
2013-01-01,28079057,6.0,0.4,30.0,44.0,,14.0,89.0,,,,,,,
2013-01-01,28079058,,,9.0,15.0,,,29.0,20.0,,,,,,
2013-01-01,28079059,,,26.0,25.0,,,66.0,16.0,,,,,,
2013-01-01,28079060,,,21.0,37.0,,10.0,69.0,21.0,,,,,,
2013-01-02,28079004,8.0,0.6,110.0,59.0,,,228.0,,,,,,,
2013-01-02,28079008,14.0,0.6,105.0,62.0,14.0,10.0,222.0,13.0,5.9,2.0,1.5,,,
2013-01-02,28079011,,,42.0,63.0,,,127.0,,6.1,2.6,0.9,,,
