fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,dir,racha,horaracha
2006-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,8",Ip,"-3,9",Varias,"-1,8",03:08,"6,4","0,0","812,3",Varias,"807,9",06,,,
2006-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,0","1,5","-4,3",02:22,"-1,7",17:55,"4,4","0,0","816,1",24,"812,2",06,,,
2006-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,4","0,7","-4,5",23:59,"-2,4",15:22,"3,1","0,0","816,6",12,"814,9",Varias,,,
2006-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,2","0,5","-5,8",08:13,"-0,5",Varias,"0,8","2,5","814,9",00,"808,6",24,,,
2006-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,4","0,4","-2,7",23:45,"-0,1",Varias,"1,7","4,4","808,6",00,"802,5",24,,,
2006-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,1","24,0","-3,0",23:59,"-1,2",15:00,"1,9","0,0","802,5",00,"799,7",15,,,
2006-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,0","0,4","-3,2",00:49,"-0,8",14:19,"3,6","0,0","804,9",23,"801,7",Varias,,,
2006-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,8","1,0","-3,0",07:15,"-0,5",13:39,"1,1","0,0","812,5",24,"804,7",00,,,
2006-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,2","2,4","-4,8",23:59,"-1,6",12:15,"1,1","0,0","814,7",11,"812,2",24,,,
2006-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,9",Ip,"-6,0",05:15,"-1,8",17:00,"3,1","0,0","817,3",24,"811,3",Varias,,,
2006-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,9","0,0","-3,4",Varias,"1,6",14:15,"1,4","7,2","819,7",23,"816,9",01,,,
2006-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,8","0,0","-2,7",01:00,"4,4",12:30,"0,3","8,3","819,5",00,"814,5",24,,,
2006-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,8","0,0","-4,5",20:21,"2,8",12:49,"2,2","8,0","814,5",00,"812,7",06,,,
2006-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,9",Ip,"-5,1",06:45,"1,3",12:41,"1,9","2,8","813,7",11,"811,5",24,,,
