fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,velmedia,sol,presMax,horaPresMax,presMin,horaPresMin,dir,racha,horaracha
2008-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,0","0,8","-2,8",23:59,"6,8",10:48,"1,7","7,6","814,6",00,"806,4",24,,,
2008-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,4","13,2","-3,8",00:18,"1,0",02:28,"4,4","0,0","806,4",00,"797,5",24,,,
2008-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,4","6,5","-3,8",Varias,"-1,1",Varias,"5,0","0,0","797,5",00,"789,6",13,,,
2008-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,2","1,5","-4,6",06:52,"0,2",13:18,"1,1","0,5","809,8",24,"794,0",08,,,
2008-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,2","19,2","-3,1",00:30,"5,4",20:01,"8,6","0,0","816,4",24,"809,8",00,27,"17,2",19:12
2008-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,1","0,8","2,3",09:18,"7,9",15:06,"1,9","5,9","819,8",Varias,"816,4",00,,,
2008-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,2","0,0","-0,3",07:20,"6,6",12:51,"3,6","0,3","820,2",00,"817,0",24,,,
2008-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,8","1,3","2,4",02:05,"7,2",14:17,"3,3","0,5","817,0",00,"813,1",16,,,
2008-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,0","0,7","0,6",21:23,"3,3",00:00,"2,8","0,0","814,4",21,"813,2",06,,,
2008-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,2","6,3","0,4",23:59,"2,0",11:13,"3,9","0,0","814,1",00,"810,6",24,,,
2008-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,8","17,9","-6,3",23:03,"0,8",13:05,"7,8","0,0","810,6",00,"803,0",13,23,"22,8",12:23
2008-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,6","0,0","-6,3",00:05,"-2,9",14:40,"1,7","1,5","813,1",11,"808,5",01,36,"8,3",00:38
2008-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,4","2,2","-4,8",06:11,"0,1",13:22,"9,4","6,5","811,0",00,"804,6",24,24,"20,6",13:53
2008-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,2","0,3","-3,4",06:22,"-1,0",Varias,"3,3","0,0","810,3",24,"804,2",02,22,"11,4",00:04
2008-01-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,2","1,6","-3,0",04:43,"2,5",12:57,"5,8","2,9","810,4",Varias,"805,0",23,29,"26,7",23:20
2008-01-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,3","6,5","-2,6",10:37,"2,0",00:00,"9,4","0,0","812,6",24,"803,6",04,27,"27,8",00:02
2008-01-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,3","0,2","-2,5",00:33,"1,9",13:40,"5,0","0,0","819,1",24,"812,6",00,35,"22,5",19:46
2008-01-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,2","0,0","0,7",08:15,"9,8",14:24,"3,1","7,7","823,3",22,"819,1",00,04,"14,4",00:06
2008-01-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"10,3","0,0","6,3",04:08,"14,3",12:39,"1,9","8,4","823,9",11,"822,3",05,18,"7,8",01:29
2008-01-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,"10,0","0,0","5,5",02:43,"14,5",11:57,"1,1","8,4","823,3",00,"821,1",17,17,"8,6",02:28
2008-01-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,4","0,0","3,5",17:49,"9,3",12:18,"3,9","8,4","822,9",11,"821,1",05,07,"9,7",21:22
2008-01-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,9","0,0","1,8",07:11,"8,0",13:05,"6,1","8,5","823,2",11,"821,7",17,36,"10,8",06:20
2008-01-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,4","0,0","1,5",06:01,"11,3",13:07,"2,5","8,5","822,3",Varias,"818,2",16,17,"10,8",19:38
2008-01-24,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,4","0,0","0,8",02:52,"6,1",12:04,"3,3","7,5","822,2",23,"817,5",03,17,"10,8",00:59
2008-01-25,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,6","0,0","-0,2",05:23,"7,3",11:59,"3,6","6,6","823,3",11,"821,6",05,15,"15,6",22:42
2008-01-26,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,3","0,0","-0,5",06:08,"7,1",12:55,"2,8","7,8","823,7",21,"821,6",04,16,"13,3",00:00
2008-01-27,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,2","0,0","-0,2",02:15,"10,5",12:37,"0,6","8,5","825,0",11,"823,0",04,15,"8,9",00:09
2008-01-28,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,7","0,0","1,3",08:42,"10,1",13:04,"0,8","8,5","824,2",00,"819,5",24,16,"9,2",23:40
2008-01-29,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,5","0,0","-0,2",23:30,"9,2",12:38,"3,3","8,5","819,5",Varias,"817,3",06,18,"9,2",01:39
2008-01-30,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,5","0,0","-3,2",23:59,"6,2",13:15,"3,6","6,5","820,5",Varias,"818,9",16,04,"9,4",19:14
