fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,3","0,0","-0,7",23:00,"7,3",13:40,21,"2,5","10,8",23:50,"8,1","818,8",00,"810,4",24
2017-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,6","0,0","-0,5",00:00,"7,6",14:20,22,"5,0","13,3",03:30,"5,3","814,4",23,"809,7",Varias
2017-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,8",Ip,"-0,3",08:00,"5,9",12:10,21,"2,2","10,0",01:50,"2,7","818,1",24,"813,6",05
2017-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,0","0,4","0,5",23:59,"3,6",13:00,36,"3,3","9,2",13:50,"0,0","818,6",11,"817,2",Varias
2017-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,8","0,0","-1,4",07:30,"4,9",14:40,35,"2,2","9,2",00:10,"5,2","817,8",00,"816,4",06
2017-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,4","0,0","1,4",19:50,"9,5",12:40,05,"2,5","8,3",04:00,"8,0","819,1",Varias,"817,2",Varias
2017-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,8","0,0","1,7",05:50,"9,9",12:00,15,"0,8","6,1",02:20,"8,1","820,1",11,"818,4",02
2017-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,5","0,0","-1,1",23:10,"10,1",12:10,02,"1,7","7,8",21:00,"8,1","820,1",11,"818,0",24
2017-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,3","0,0","-2,0",Varias,"6,6",12:00,04,"2,5","8,9",18:10,"8,1","818,3",11,"815,5",24
2017-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","3,2","-2,4",Varias,"0,4",00:10,02,"7,2","15,6",09:10,"0,0","815,5",00,"809,6",14
2017-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,3","0,8","-0,8",00:20,"3,4",14:10,02,"6,4","23,6",05:40,"0,8","819,3",23,"811,3",01
2017-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,8","0,0","0,1",23:30,"7,4",10:00,31,"3,6","19,2",21:10,"4,6","818,9",00,"813,0",24
2017-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,9","0,0","-5,9",Varias,"0,1",00:30,34,"6,7","20,8",05:00,"0,2","813,4",24,"810,6",06
2017-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,3","0,0","-7,2",Varias,"-5,4",14:30,32,"5,3","15,3",23:50,"0,0","815,9",23,"813,2",Varias
2017-01-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-5,0","0,6","-6,7",05:40,"-3,3",20:40,33,"6,7","15,8",09:00,"0,0","817,3",19,"815,2",05
2017-01-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,2","2,4","-4,8",08:10,"-1,6",21:30,35,"6,9","18,3",21:40,"0,0","817,0",00,"812,6",Varias
2017-01-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,9","1,7","-12,5",22:00,"-1,3",06:30,34,"7,2","19,7",11:50,"3,1","812,6",00,"807,1",24
2017-01-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-9,6","0,0","-13,8",07:40,"-5,4",12:20,33,"1,9","16,4",02:00,"8,0","808,0",23,"805,9",02
2017-01-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,3","3,4","-10,7",01:30,"-1,9",13:00,06,"4,2","23,6",22:40,"7,1","808,7",11,"806,3",24
2017-01-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,4","8,4","-5,6",00:00,"-1,1",14:20,06,"4,2","22,8",00:20,"0,8","808,7",23,"805,1",04
2017-01-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,2","0,0","-3,7",05:40,"1,2",12:40,09,"3,1","15,3",06:40,"6,2","810,1",23,"807,8",06
2017-01-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,4","0,0","-5,7",23:30,"-1,0",13:00,34,"2,8","7,2",15:10,"5,7","809,9",00,"807,4",15
2017-01-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,6","0,0","-5,9",04:00,"-1,2",10:30,99,"2,8","8,6",Varias,"0,0","812,6",23,"808,5",Varias
2017-01-24,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,4","0,0","-6,8",05:30,"1,9",13:50,01,"3,6","9,4",02:30,"8,5","814,7",Varias,"811,8",Varias
2017-01-25,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","0,0","-4,2",23:59,"2,1",11:50,36,"3,1","6,9",20:40,"8,5","813,9",00,"808,1",24
2017-01-26,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,6","23,0","-4,4",00:30,"3,3",11:40,15,"5,0","21,4",22:00,"2,9","808,1",00,"801,2",24
2017-01-27,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,0","18,0","-4,2",23:59,"-1,7",12:40,14,"4,4","18,9",00:20,"0,0","806,2",24,"798,9",05
2017-01-28,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,6","0,4","-5,2",07:30,"-2,0",15:00,32,"5,0","17,2",00:10,"0,0","814,9",23,"806,2",00
2017-01-29,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,2","20,6","-2,8",Varias,"3,1",Varias,30,"4,2","14,2",17:20,"0,0","816,1",Varias,"814,1",15
2017-01-30,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,7","1,1","-0,4",23:50,"5,8",11:30,19,"3,9","15,3",22:00,"0,8","815,9",00,"810,7",Varias
2017-01-31,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,4","0,0","-1,1",07:40,"3,8",13:40,18,"7,2","17,2",23:40,"4,0","810,7",00,"808,8",15
2017-02-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,8","14,1","-0,4",23:59,"2,1",00:00,20,"4,2","16,1",00:30,"0,0","810,8",10,"807,8",24
2017-02-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,6","5,4","-2,4",21:10,"1,1",13:30,21,"8,1","24,7",12:30,"0,0","808,7",22,"803,6",14
2017-02-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,0","8,5","-2,1",01:00,"2,0",20:10,28,"7,8","25,8",11:20,"0,0","808,3",11,"805,5",07
2017-02-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,6","13,6","1,5",21:00,"3,6",12:20,24,"8,6","27,5",01:50,"0,0","809,1",11,"805,3",24
2017-02-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,4","3,1","-5,1",08:40,"2,3",00:10,30,"7,5","31,7",05:30,"0,0","815,7",22,"803,3",05
2017-02-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,7","7,1","-4,1",00:00,"0,7",Varias,32,"6,1","22,8",02:20,"0,0","818,0",Varias,"814,7",03
2017-02-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","7,3","-4,9",23:59,"2,9",11:10,32,"4,7","21,9",22:30,"0,0","817,3",00,"813,1",22
2017-02-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-5,6","0,0","-7,2",06:00,"-4,0",15:00,32,"6,4","19,7",00:30,"1,4","816,2",11,"813,4",00
2017-02-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,4","0,0","-7,3",00:10,"6,4",14:40,16,"3,9","15,8",23:30,"5,4","814,7",00,"803,5",24
2017-02-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,2","12,6","-4,0",08:20,"-0,5",00:00,14,"5,6","17,8",19:20,"0,2","803,5",Varias,"801,1",04
2017-02-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,2","35,2","-3,7",04:00,"-0,7",13:30,15,"3,3","21,1",01:10,"0,0","803,6",Varias,"797,6",24
2017-02-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,4","137,4","-1,7",07:00,"1,0",19:20,14,"11,9","30,3",11:30,"0,0","797,6",00,"794,4",23
2017-02-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,3","13,4","-2,0",23:40,"1,4",14:40,17,"4,7","30,3",01:20,"0,2","808,5",24,"794,1",05
2017-02-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","1,0","-3,1",05:30,"1,1",15:30,17,"6,7","14,4",10:30,"0,9","817,9",24,"808,4",00
2017-02-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,9","0,0","-0,7",01:10,"4,5",14:00,14,"4,4","17,2",23:40,"5,9","820,8",11,"817,8",02
2017-02-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,2","0,0","-0,6",04:40,"7,1",13:40,16,"3,3","15,0",00:20,"5,8","821,0",11,"819,5",16
2017-02-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,0","0,0","-0,3",07:40,"8,3",15:30,12,"1,1","6,4",02:00,"8,7","819,9",00,"816,4",24
2017-02-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,2","0,0","-0,7",05:50,"5,2",11:30,09,"2,2","11,9",23:59,"4,8","816,5",00,"810,2",23
2017-02-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,4","0,0","-0,8",05:00,"5,7",14:00,10,"2,8","15,3",03:20,"9,4","817,0",Varias,"810,4",00
2017-02-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,2","0,0","-0,6",02:50,"9,1",14:00,07,"3,9","10,8",22:20,"9,9","816,9",00,"815,6",04
2017-02-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,2","0,0","1,8",04:30,"10,7",13:30,14,"1,9","12,8",23:00,"9,2","816,6",00,"814,9",16
2017-02-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,"7,4","0,0","4,0",01:30,"10,9",15:00,11,"4,7","12,5",19:40,"9,4","815,5",00,"813,4",18
2017-02-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,2","0,0","2,9",22:40,"7,4",11:00,14,"3,9","13,3",02:50,"0,0","813,5",00,"808,5",17
2017-02-24,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,0","0,0","-1,4",20:50,"5,5",11:50,33,"4,2","9,7",15:30,"5,3","812,1",23,"807,8",Varias
2017-02-25,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,7","0,0","1,4",00:30,"10,0",14:20,32,"2,5","7,2",11:30,"10,1","814,8",22,"811,3",02
2017-02-26,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,3","0,0","1,6",23:50,"11,0",14:20,32,"1,9","6,7",15:40,"10,2","814,7",00,"811,7",24
2017-02-27,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,0","0,0","-1,4",09:40,"7,3",13:00,28,"2,8","13,9",18:30,"5,0","811,7",00,"807,3",24
2017-02-28,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,4","0,0","-2,0",04:00,"1,1",12:20,31,"4,4","18,9",19:30,"0,6","810,9",23,"805,9",05
2017-03-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,2","0,0","-1,3",06:10,"9,7",15:00,33,"1,9","15,3",00:30,"6,2","813,8",23,"810,5",00
2017-03-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,4","0,0","0,6",00:10,"10,1",13:10,21,"3,1","12,5",20:30,"10,2","813,3",00,"808,1",24
2017-03-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,6","16,1","-6,0",22:40,"2,7",00:10,18,"6,9","21,4",12:50,"0,0","808,1",00,"794,5",19
2017-03-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,9","3,8","-8,0",06:40,"-1,8",15:00,27,"2,8","17,5",00:40,"2,1","805,9",24,"796,6",04
2017-03-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,6","9,9","-3,1",00:00,"4,3",15:30,29,"5,6","18,6",06:20,"0,0","814,7",22,"805,5",01
2017-03-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,0","0,2","1,5",02:50,"4,6",16:20,34,"5,3","18,1",14:00,"2,2","819,0",21,"813,9",04
2017-03-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,6","0,0","-0,3",07:50,"5,6",14:10,33,"5,6","16,7",00:40,"3,3","820,9",22,"817,4",05
2017-03-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"9,3","0,0","2,7",00:00,"15,9",14:30,02,"2,8","8,1",06:20,"10,3","822,9",22,"819,9",04
2017-03-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"12,4","0,0","7,2",01:30,"17,7",14:30,99,"3,9","8,3",Varias,"10,7","823,2",11,"821,4",Varias
2017-03-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"13,6","0,0","9,2",23:59,"18,1",14:10,23,"3,3","7,8",13:30,"9,8","821,4",00,"817,8",17
2017-03-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"9,8","0,0","2,1",23:59,"17,6",12:10,35,"2,2","11,9",23:40,"8,6","818,0",00,"813,8",17
