fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2010-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,8","6,9","-5,6",07:24,"-2,1",13:48,30,"3,9","8,3",10:10,"0,0","806,1",24,"796,0",00
2010-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,4","0,0","-4,6",01:49,"-0,2",15:13,26,"2,2","6,1",20:17,"0,2","811,9",11,"806,1",00
2010-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,0","6,0","-3,2",02:53,"3,1",10:25,28,"4,4","18,9",14:23,"0,0","809,5",00,"806,8",18
2010-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,1","19,8","-0,1",Varias,"2,3",10:15,17,"7,8","15,6",13:16,"0,0","807,7",00,"794,8",24
2010-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,9","3,0","-2,3",23:49,"0,5",00:29,17,"2,5","7,5",00:00,"0,0","796,3",21,"793,9",05
2010-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,2","3,3","-6,6",08:10,"-1,8",12:38,02,"1,9","5,8",04:26,"2,2","796,7",12,"793,8",24
2010-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-7,8","18,3","-10,3",23:59,"-5,4",11:17,01,"3,6","8,6",16:18,"0,0","793,8",00,"790,0",15
2010-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-10,9","4,1","-11,5",08:39,"-10,3",Varias,35,"2,5","7,2",01:56,"0,0","799,4",24,"792,5",00
2010-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-11,1","0,8","-12,2",23:59,"-10,0",Varias,,"1,1",,,"0,0","803,2",24,"798,8",07
2010-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-8,6","4,8","-12,7",07:07,"-4,5",23:59,,"3,9",,,"0,0","803,2",00,"799,6",18
2010-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,4","0,0","-5,4",05:44,"-1,4",Varias,,"1,1",,,"5,9","808,3",24,"799,9",00
2010-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,6","16,4","-3,5",22:29,"0,4",15:30,,"9,4",,,"0,0","808,3",00,"799,4",Varias
2010-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,6","16,0","-4,5",05:32,"1,3",23:37,24,"5,6","21,1",23:21,"0,0","804,5",10,"795,4",24
2010-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,8","0,9","-2,8",Varias,"1,1",01:43,27,"9,4","31,4",03:37,"0,0","808,9",24,"793,1",04
2010-01-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,8","0,0","-4,4",Varias,"2,8",15:57,22,"1,9","12,2",21:43,"2,6","814,2",23,"808,5",01
2010-01-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,8","4,1","1,9",00:28,"5,6",11:30,28,"7,5","18,1",16:20,"0,2","814,5",23,"812,6",15
2010-01-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,9",Ip,"1,8",03:41,"4,0",12:00,26,"5,8","14,7",06:46,"0,0","814,9",13,"813,2",07
2010-01-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,4",Ip,"0,8",06:22,"4,0",11:00,22,"5,6","14,7",03:24,"3,8","813,9",00,"810,6",15
2010-01-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,5","0,8","-0,8",23:59,"5,8",12:34,29,"3,6","13,3",14:17,"2,2","812,2",00,"809,7",14
2010-01-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,6","1,2","-2,0",04:00,"0,7",07:42,34,"5,3","15,6",10:21,"0,0","813,8",22,"810,6",06
2010-01-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,6","0,0","-3,2",05:00,"2,1",15:16,03,"1,9","6,7",00:20,"4,8","814,3",23,"812,2",05
2010-01-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,0","0,3","-0,4",02:59,"6,3",14:56,20,"1,7","7,5",23:52,"0,4","813,9",00,"810,1",24
2010-01-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,2","2,0","-1,2",Varias,"3,5",12:35,15,"4,7","15,8",10:11,"3,3","810,1",00,"806,6",18
