fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2011-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,8","1,1","-0,8",23:59,"2,4",10:45,02,"3,1","6,9",18:35,"2,1","811,4",11,"810,0",02
2011-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","1,9","-2,6",Varias,"0,5",11:34,04,"3,9","10,3",20:25,"0,0","810,6",20,"809,2",07
2011-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,5","0,4","-4,0",08:00,"3,0",13:35,,"1,7",,,"4,4","810,5",Varias,"809,8",07
2011-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,3","3,1","-2,0",Varias,"2,6",12:41,,"3,1",,,"0,0","810,0",00,"808,2",24
2011-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,8","2,3","1,0",09:24,"4,6",12:56,25,"6,1","15,0",19:28,"0,1","808,2",00,"804,4",14
2011-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,2","38,1","1,6",00:30,"4,8",13:05,23,"9,2","20,8",21:51,"0,0","806,8",11,"805,5",07
2011-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,3","9,7","1,0",23:19,"3,6",00:00,23,"8,9","20,8",00:28,"0,0","808,9",23,"805,2",06
2011-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,6","24,3","-0,5",Varias,"1,8",02:00,,"8,9",,,"0,0","808,6",01,"806,2",Varias
2011-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,6","3,9","-1,8",08:14,"0,5",13:28,,"1,9",,,"0,2","810,5",24,"806,9",Varias
2011-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,4","19,1","-3,3",08:27,"2,5",22:52,33,"3,3","16,4",21:18,"3,3","813,4",23,"810,5",00
2011-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,5","5,0","0,2",05:32,"2,8",17:00,,"8,1",,,"0,0","817,2",24,"812,2",06
2011-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,8","0,0","0,6",05:40,"9,0",14:30,,"1,4",,,"8,0","820,2",24,"817,2",00
2011-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"7,6","0,0","3,4",23:59,"11,8",13:15,19,"3,1","11,4",23:02,"8,2","820,2",00,"815,8",24
2011-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,4","0,0","2,4",18:05,"10,3",12:44,20,"3,3","11,1",00:28,"8,3","818,5",24,"815,2",05
2011-01-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,0","0,0","1,5",23:59,"10,4",11:54,,"5,8",,,"8,4","819,0",16,"818,1",24
2011-01-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,5","0,0","0,8",02:45,"10,2",13:30,23,"4,2","10,6",06:37,"8,5","818,2",24,"816,6",11
2011-01-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,8","0,0","0,6",09:00,"4,9",13:30,,"1,7",,,"0,4","820,6",13,"818,2",00
2011-01-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,4","0,5","0,4",01:30,"4,5",13:48,,"0,8",,,"0,0","818,6",00,"815,3",24
2011-01-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,9","4,0","-1,2",19:00,"5,0",11:12,10,"1,9","6,7",16:52,"0,0","815,3",00,"812,6",24
2011-01-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,9","0,0","-4,7",23:59,"2,9",12:26,07,"3,3","6,7",05:48,"0,0","812,8",Varias,"812,1",Varias
2011-01-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-5,4","0,0","-9,0",19:54,"-1,8",12:31,10,"3,6","13,3",01:50,"8,5","812,8",00,"810,7",24
2011-01-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,7","0,0","-11,9",22:23,"-1,5",13:45,09,"3,9","9,7",10:16,"8,5","810,7",00,"805,9",24
2011-01-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,7","0,0","-11,8",03:33,"-1,6",16:46,10,"3,6","13,6",07:19,"8,6","806,7",24,"803,4",06
2011-01-24,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,4","0,0","-6,1",00:42,"3,2",13:34,11,"2,5","11,7",02:29,"8,7","808,2",24,"806,2",15
2011-01-25,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","0,0","-6,0",22:00,"4,0",12:09,16,"3,1","8,3",22:00,"8,6","808,2",00,"805,2",24
2011-01-26,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,1","0,0","-5,8",23:59,"3,6",14:15,18,"3,9","10,0",21:53,"8,5","805,2",00,"792,6",24
2011-01-27,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,6","13,5","-6,7",01:37,"-2,6",12:12,17,"4,4","11,9",23:15,"0,0","795,0",24,"791,0",Varias
2011-01-28,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,4","6,0","-4,4",23:59,"-2,5",12:43,18,"2,5","10,0",00:12,"0,0","797,1",24,"794,3",06
2011-01-29,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,1","1,0","-5,3",Varias,"-2,9",13:16,33,"1,4","3,6",06:29,"0,0","800,9",24,"797,1",00
2011-01-30,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-5,0","3,7","-6,7",23:59,"-3,4",11:39,36,"1,4","2,8",15:18,"0,0","804,3",24,"799,8",06
2011-01-31,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-7,1","0,0","-8,2",08:03,"-6,0",10:03,03,"1,1","2,2",00:34,"0,1","810,5",24,"804,1",05
2011-02-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-7,0","0,0","-9,0",06:54,"-4,9",11:22,,"1,9",,,"0,0","816,0",21,"810,5",00
2011-02-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,8","0,0","-9,0",07:30,"-0,6",12:31,,"1,7",,,"7,2","819,4",24,"815,2",00
2011-02-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,3","0,0","-4,0",03:51,"3,4",13:25,06,"3,9","11,4",08:10,"6,9","822,6",24,"818,3",Varias
2011-02-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,5","0,0","-1,6",00:00,"8,6",12:16,02,"2,5","8,3",00:30,"9,0","825,0",23,"821,8",03
2011-02-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"7,4","0,0","3,2",00:12,"11,5",14:30,09,"1,4","8,3",21:17,"9,0","824,9",00,"823,2",15
2011-02-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"7,4","0,0","3,5",22:00,"11,3",14:08,23,"2,8","6,9",12:42,"9,8","823,4",00,"820,0",24
2011-02-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,0","0,0","2,4",03:42,"9,5",15:19,16,"4,4","10,0",11:04,"9,0","820,0",00,"815,6",24
2011-02-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,1","0,0","-0,2",22:27,"8,4",13:47,20,"3,6","8,6",23:38,"9,1","815,6",00,"812,3",18
2011-02-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,1","0,0","-0,2",00:19,"8,4",12:52,23,"3,1","9,4",02:32,"8,7","813,8",24,"812,0",04
2011-02-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,1","0,0","0,0",Varias,"8,2",11:50,22,"5,0","9,7",21:40,"8,5","815,2",11,"813,4",24
2011-02-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,4","0,0","-1,9",07:24,"6,8",13:39,20,"3,9","9,7",05:55,"7,0","813,4",00,"810,8",16
2011-02-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,7",Ip,"-2,4",03:42,"3,8",11:45,25,"3,1","7,2",18:00,"3,2","812,7",11,"809,4",24
2011-02-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,8","7,7","-4,0",23:59,"0,4",12:49,25,"8,1","17,8",16:16,"0,0","809,4",00,"799,0",18
2011-02-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,0","4,4","-6,2",08:00,"-1,7",23:23,31,"2,8","9,7",00:13,"1,8","803,5",11,"797,7",24
2011-02-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,6","16,6","-5,0",23:55,"-0,2",04:00,26,"2,5","10,0",00:31,"0,0","797,9",00,"793,4",18
2011-02-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,3","19,0","-6,6",21:31,"-2,0",14:54,,"3,6",,,"0,0","795,8",24,"785,8",24
2011-02-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,3","28,4","-6,6",07:38,"-2,0",19:07,,"3,6",,,"0,0","804,2",24,"785,8",00
2011-02-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,3","3,4","-5,2",Varias,"0,6",13:21,,"1,4",,,"3,4","809,2",21,"804,2",00
2011-02-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,6","6,4","0,0",Varias,"3,2",14:39,24,"2,8","10,0",00:24,"0,0","808,8",00,"806,3",18
