fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2005-01-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,6","0,0","3,1",23:54,"8,2",11:27,06,"4,2","9,7",02:02,"8,0","823,1",23,"821,0",05
2005-01-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,5","0,0","-3,4",23:59,"6,4",11:12,35,"2,2","8,1",20:48,"4,9","824,7",11,"822,2",04
2005-01-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,3","0,0","-4,6",05:52,"5,2",14:09,15,"2,5","13,9",23:34,"8,1","824,1",00,"822,2",Varias
2005-01-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,3","0,0","-3,2",02:28,"5,8",12:27,14,"1,9","14,2",00:26,"8,1","824,3",23,"822,3",02
2005-01-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,8","0,0","-0,4",04:45,"8,0",13:38,20,"1,9","7,8",03:44,"7,9","826,2",23,"823,3",03
2005-01-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,6","0,0","0,8",00:36,"10,5",13:09,17,"1,9","8,3",23:41,"8,1","827,7",11,"825,0",05
2005-01-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,6","0,0","2,2",21:12,"11,0",12:53,23,"3,6","13,1",22:58,"8,1","825,8",00,"823,5",24
2005-01-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"6,8","0,0","1,8",20:00,"11,7",12:58,20,"1,9","12,8",00:05,"8,1","823,5",00,"821,4",24
2005-01-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,1","0,0","1,0",21:43,"9,2",11:00,18,"5,6","11,7",23:14,"8,1","821,5",10,"819,4",24
2005-01-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,4","0,0","0,0",07:41,"8,9",13:41,22,"4,7","11,9",04:46,"6,4","820,6",21,"818,3",05
2005-01-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,4","0,0","-3,0",23:22,"9,8",13:20,31,"2,5","8,1",07:31,"8,2","820,9",10,"819,7",Varias
2005-01-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","1,1","-3,5",03:56,"1,4",10:53,33,"4,7","8,6",15:33,"0,0","820,5",11,"818,5",05
2005-01-13,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,0","1,0","-0,5",00:13,"4,5",14:26,34,"2,2","8,3",00:15,"0,3","820,9",11,"819,5",04
2005-01-14,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,8","0,0","0,8",07:37,"6,9",12:03,18,"1,4","10,6",21:35,"4,7","819,9",00,"816,1",24
2005-01-15,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,0","0,0","0,0",06:30,"6,0",14:00,20,"7,8","15,3",12:23,"6,5","816,1",00,"813,9",Varias
2005-01-16,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,2","0,0","0,1",05:20,"8,4",12:20,18,"2,5","11,9",02:11,"8,2","818,3",22,"814,3",02
2005-01-17,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,7","0,0","-0,5",23:59,"7,9",11:56,34,"2,2","7,5",18:53,"8,2","818,5",10,"815,9",18
2005-01-18,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,0","0,0","-3,5",23:59,"1,4",13:55,35,"7,8","20,8",17:32,"1,7","816,9",00,"812,3",17
2005-01-19,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,7","0,0","-5,8",07:21,"0,4",18:46,35,"2,5","9,4",00:41,"0,0","819,3",23,"813,5",00
2005-01-20,2462,PUERTO DE NAVACERRADA,MADRID,1894,"1,4","0,0","-1,2",01:22,"4,0",23:59,09,"1,9","9,4",21:11,"5,6","822,5",10,"819,0",00
2005-01-21,2462,PUERTO DE NAVACERRADA,MADRID,1894,"5,8","0,0","2,8",01:00,"8,8",10:53,35,"3,1","8,9",07:36,"8,6","820,5",00,"817,1",24
2005-01-22,2462,PUERTO DE NAVACERRADA,MADRID,1894,"4,1","0,0","0,8",18:21,"7,4",13:26,35,"3,9","7,8",15:35,"8,6","817,3",00,"813,4",17
2005-01-23,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,6","0,0","-1,9",23:42,"7,2",13:00,36,"3,3","9,2",23:59,"8,3","814,1",00,"809,5",17
2005-01-24,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-5,2","0,3","-9,3",23:59,"-1,2",00:54,02,"4,7","15,0",17:22,"6,5","810,3",00,"807,4",22
2005-01-25,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-9,8","8,8","-11,0",08:30,"-8,5",17:40,,"4,2",,,"0,0","808,5",11,"804,6",24
2005-01-26,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-11,2","4,2","-13,7",22:00,"-8,8",Varias,,"3,1",,,"0,0","804,6",00,"798,3",19
2005-01-27,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-13,0","0,8","-15,0",06:45,"-10,9",11:40,,"4,4",,,"0,0","803,5",24,"800,3",Varias
2005-01-28,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-10,4","1,0","-15,0",03:04,"-5,8",13:26,,"1,9",,,"0,0","806,3",11,"803,1",04
2005-01-29,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,5","2,1","-8,3",23:59,"-4,7",11:45,,"3,6",,,"0,0","809,8",24,"804,7",05
2005-01-30,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-7,2","0,0","-9,8",23:38,"-4,5",14:27,,"2,5",,,"3,9","815,1",22,"809,4",01
2005-01-31,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-6,4","0,0","-10,2",00:39,"-2,7",15:03,,"2,8",,,"6,3","817,4",22,"814,5",05
2005-02-01,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-3,8","0,0","-7,6",02:50,"0,0",11:35,36,"2,5","7,8",20:14,"3,7","817,7",23,"815,8",04
2005-02-02,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,3","0,0","-4,6",05:23,"2,0",12:37,08,"1,9","9,4",20:10,"3,0","818,9",22,"816,7",06
2005-02-03,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,5","0,0","-4,3",21:42,"5,3",11:47,10,"1,9","10,0",05:34,"8,7","818,5",00,"813,7",24
2005-02-04,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-0,8","0,0","-4,8",04:22,"3,1",13:52,19,"6,1","11,7",22:10,"7,1","813,8",10,"812,5",05
2005-02-05,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,0","5,0","-4,3",23:06,"0,4",10:59,21,"3,1","10,0",13:06,"2,5","813,0",00,"806,9",24
2005-02-06,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,6","32,8","-5,5",05:47,"-3,6",13:11,16,"3,9","11,7",09:27,"0,0","806,9",00,"803,3",16
2005-02-07,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-4,0","44,2","-5,0",07:48,"-3,0",23:59,12,"6,1","13,3",06:22,"0,0","807,1",24,"803,0",05
2005-02-08,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-1,8","0,0","-4,1",21:51,"0,6",14:04,13,"2,5","11,1",00:46,"4,7","814,1",24,"806,7",02
2005-02-09,2462,PUERTO DE NAVACERRADA,MADRID,1894,"-2,4","0,0","-5,0",06:54,"0,1",11:48,09,"5,0","9,4",12:52,"0,9","821,8",24,"814,1",Varias
2005-02-10,2462,PUERTO DE NAVACERRADA,MADRID,1894,"0,5","0,0","-3,3",03:07,"4,3",14:30,36,"3,1","6,9",21:07,"9,1","825,7",24,"821,8",Varias
2005-02-11,2462,PUERTO DE NAVACERRADA,MADRID,1894,"2,2","0,0","-2,0",07:38,"6,4",12:32,35,"2,8","5,0",07:05,"9,0","826,5",11,"824,2",24
2005-02-12,2462,PUERTO DE NAVACERRADA,MADRID,1894,"3,2","0,0","0,4",23:30,"6,0",10:20,01,"4,2","9,4",22:33,"3,0","824,2",00,"819,5",24
